@RELATION climate_dengue_data


@ATTRIBUTE TempBulboSeco					NUMERIC
@ATTRIBUTE TempBulboUmido					NUMERIC
@ATTRIBUTE UmidadeRelativa					NUMERIC
@ATTRIBUTE PressaoAtmEstacao				NUMERIC
@ATTRIBUTE DirecaoVento       				NUMERIC
@ATTRIBUTE VelocidadeVentoNebulosidade		NUMERIC
@ATTRIBUTE incidencia						NUMERIC
@ATTRIBUTE nivel							{1,2,3,4,5}

@DATA
1.77719,7.49507,9.11869,1.63516,8.11770,5.66849,4.40000,2
1.98000,6.06699,9.42595,1.43672,2.67509,4.42350,6.06900,2
1.93595,6.61045,9.31120,9.65595,1.34307,5.00643,6.73900,2
1.98606,7.09233,0.00000,1.80021,1.73849,4.81294,2.99700,2
1.87572,8.92160,8.90967,1.26320,6.48516,6.10000,1.53600,2
2.08999,6.04749,9.59652,1.37717,1.85905,3.83767,2.91600,2
1.88400,7.43114,9.17678,1.23457,1.07127,5.77857,4.77000,2
1.84912,8.28577,9.11567,1.76501,2.43158,6.26194,2.51900,2
2.02815,5.83156,9.57727,0.00000,0.00000,6.27398,9.86150,5
2.11621,6.13909,9.55852,6.91050,5.15160,4.29703,1.04150,3
2.01888,7.47224,9.47252,1.61269,1.21859,6.35571,1.52400,2
2.28861,7.58895,9.61326,1.91772,1.53078,5.94247,7.20000,2
1.94743,7.69990,9.41739,1.77769,1.54662,5.47233,4.96500,2
1.83492,6.89315,9.13204,1.18055,1.43264,5.79635,7.83000,2
1.83320,7.18239,9.14100,1.50513,2.08756,5.45095,5.77000,2
2.20650,8.64333,9.35204,1.71278,1.61723,6.50000,4.99600,2
2.07518,5.30559,9.50953,1.16486,3.39658,5.36937,3.72500,2
2.05433,8.02857,9.36211,0.00000,0.00000,8.17727,1.40000,2
2.06810,6.59111,0.00000,1.10898,1.49688,3.09258,1.75300,2
1.94312,6.00584,0.00000,9.79249,1.10373,5.64546,0.00000,1
1.99913,6.76307,9.42532,1.07338,9.62037,5.83230,8.08000,2
2.14271,7.19860,9.44786,1.71597,9.29855,5.53892,7.69230,5
1.86088,7.66795,9.22789,1.10312,4.59762,6.56233,0.00000,1
2.09814,6.09826,0.00000,1.57014,1.54388,4.99977,5.99200,2
1.90937,6.62171,9.27043,2.14182,2.18821,6.33647,5.80600,2
2.03792,6.91909,0.00000,1.18064,1.40795,4.08676,0.00000,1
1.67825,7.40295,0.00000,1.65401,0.00000,6.36507,5.80600,2
1.94218,7.03513,9.08907,1.85769,1.70114,4.87436,5.69900,2
1.90594,6.75050,0.00000,0.00000,0.00000,6.26557,0.00000,1
1.89649,6.91772,9.03045,2.67288,1.66511,5.68584,7.95900,2
2.04440,6.62424,9.34411,1.48028,2.72453,5.16820,8.98400,2
1.81881,6.13059,9.13452,1.50563,9.56304,5.25320,4.12500,2
