IBGE;Reginal;Município;IIP;Status;A1 e A2;B e C;D1, D2 e E;Predominante
314650;Divinópolis;Pains;9;Risco de Epidemia;2;17;10;Depósitos domiciliares
314110;Belo Horizonte;Matozinhos;8;Risco de Epidemia;42;23;28;Reservatórios de água
314700;Unaí;Paracatu;7,6;Risco de Epidemia;47;50;27;Depósitos domiciliares
314030;Coronel Fabriciano;Marliéria;7,5;Risco de Epidemia;14;10;3;Reservatórios de água
312320;Divinópolis;Dores do Indaiá;6,9;Risco de Epidemia;5;19;10;Depósitos domiciliares
311180;Ituiutaba;Canápolis;6,9;Risco de Epidemia;14;18;15;Depósitos domiciliares
315130;Ubá;Piraúba;6,8;Risco de Epidemia;2;11;2;Depósitos domiciliares
314170;Coronel Fabriciano;Mesquita;6,6;Risco de Epidemia;13;1;11;Reservatórios de água
311750;Itabira;Conceição do Mato Dentro;6,5;Risco de Epidemia;10;3;10;mais de um predominante
312770;Governador Valadares;Governador Valadares;6,5;Risco de Epidemia;75;283;51;Depósitos domiciliares
315410;Leopoldina;Recreio;6,4;Risco de Epidemia;6;10;1;Depósitos domiciliares
313110;Sete Lagoas;Inimutaba;6,4;Risco de Epidemia;7;8;2;Depósitos domiciliares
310980;Ituiutaba;Cachoeira Dourada;6,3;Risco de Epidemia;9;16;5;Depósitos domiciliares
314150;Governador Valadares;Mendes Pimentel;6;Risco de Epidemia;13;10;0;Reservatórios de água
313410;Governador Valadares;Itueta;6;Risco de Epidemia;1;15;2;Depósitos domiciliares
314585;Ponte Nova;Oratórios;6;Risco de Epidemia;15;3;3;Reservatórios de água
315150;Passos;Piumhi;6;Risco de Epidemia;7;36;21;Depósitos domiciliares
310630;Coronel Fabriciano;Belo Oriente;5,9;Risco de Epidemia;14;6;6;Reservatórios de água
310740;Divinópolis;Bom Despacho;5,9;Risco de Epidemia;14;45;22;Depósitos domiciliares
310420;Divinópolis;Arcos;5,8;Risco de Epidemia;25;36;22;Depósitos domiciliares
313660;Belo Horizonte;Nova União;5,7;Risco de Epidemia;0;3;3;mais de um predominante
312470;Divinópolis;Estrela do Indaiá;5,5;Risco de Epidemia;2;16;4;Depósitos domiciliares
315720;Itabira;Santa Bárbara;5,5;Risco de Epidemia;23;13;12;Reservatórios de água
312610;Divinópolis;Formiga;5,5;Risco de Epidemia;48;36;30;Reservatórios de água
315010;Juiz de Fora;Piau;5,4;Risco de Epidemia;14;0;3;Reservatórios de água
314280;Uberlândia;Monte Alegre de Minas;5,3;Risco de Epidemia;3;5;17;Lixo
311455;Uberaba;Carneirinho;5,2;Risco de Epidemia;5;5;2;mais de um predominante
315110;Leopoldina;Pirapetinga;5,2;Risco de Epidemia;4;6;2;Depósitos domiciliares
313880;Divinópolis;Luz;5,2;Risco de Epidemia;1;22;8;Depósitos domiciliares
313375;Passos;Itaú de Minas;5,1;Risco de Epidemia;6;4;5;Reservatórios de água
317050;Ponte Nova;Urucânia;5;Risco de Epidemia;12;2;1;Reservatórios de água
313720;Divinópolis;Lagoa da Prata;5;Risco de Epidemia;8;39;22;Depósitos domiciliares
311265;Governador Valadares;Capitão Andrade;4,9;Risco de Epidemia;9;1;0;Reservatórios de água
315060;Divinópolis;Piracema;4,9;Risco de Epidemia;8;1;5;Reservatórios de água
313925;Montes Claros;Mamonas;4,7;Risco de Epidemia;12;0;0;Reservatórios de água
314240;Divinópolis;Moema;4,7;Risco de Epidemia;2;10;1;Depósitos domiciliares
314560;Divinópolis;Oliveira;4,7;Risco de Epidemia;12;20;12;Depósitos domiciliares
310445;Diamantina;Aricanduva;4,6;Risco de Epidemia;23;0;0;Reservatórios de água
