Id,d1 (18-17),d1 (18-17) ABS,negpos1,d2 (19-18),d2 (19-18) ABS,negpos2,d1 (18-17)p,d2 (19-18)p
Abadia dos Dourados,13.9,13.9,1,861.29,861.29,1,13.9,861.29
Abaeté,-4.29,4.29,0,1722.64,1722.64,1,0,1722.64
Abre Campo,7.28,7.28,1,118.97,118.97,1,7.28,118.97
Acaiaca,73.8,73.8,1,-73.8,73.8,0,73.8,0
Açucena,61.57,61.57,1,-149.16,149.16,0,61.57,0
Água Boa,0.3,0.3,1,758.14,758.14,1,0.3,758.14
Água Comprida,49.15,49.15,1,1851.81,1851.81,1,49.15,1851.81
Aguanil,21.8,21.8,1,-45.09,45.09,0,21.8,0
Águas Formosas,-82.93,82.93,0,250.58,250.58,1,0,250.58
Águas Vermelhas,-193.56,193.56,0,66.94,66.94,1,0,66.94
Aimorés,-163.5,163.5,0,465.54,465.54,1,0,465.54
Aiuruoca,0,0,0,0,0,0,0,0
Alagoa,0,0,0,74.54,74.54,1,0,74.54
Albertina,-32.97,32.97,0,66.6,66.6,1,0,66.6
Além Paraíba,22.29,22.29,1,17.38,17.38,1,22.29,17.38
Alfenas,103.31,103.31,1,541.49,541.49,1,103.31,541.49
Alfredo Vasconcelos,14.76,14.76,1,14.52,14.52,1,14.76,14.52
Almenara,-358.44,358.44,0,2.41,2.41,1,0,2.41
Alpercata,-294.2,294.2,0,53.97,53.97,1,0,53.97
Alpinópolis,4.99,4.99,1,845.83,845.83,1,4.99,845.83
Alterosa,-62.58,62.58,0,14.14,14.14,1,0,14.14
Alto Caparaó,0,0,0,0,0,0,0,0
Alto Jequitibá,0,0,0,0,0,0,0,0
Alto Rio Doce,8.55,8.55,1,-8.55,8.55,0,8.55,0
Alvarenga,263.51,263.51,1,4776.08,4776.08,1,263.51,4776.08
Alvinópolis,44.94,44.94,1,1787.17,1787.17,1,44.94,1787.17
Alvorada de Minas,0,0,0,83.19,83.19,1,0,83.19
Amparo do Serra,20.31,20.31,1,21.79,21.79,1,20.31,21.79
Andradas,9.75,9.75,1,51.52,51.52,1,9.75,51.52
Andrelândia,-8,8,0,24.51,24.51,1,0,24.51
Angelândia,-11.82,11.82,0,624.93,624.93,1,0,624.93
Antônio Carlos,-8.65,8.65,0,17.49,17.49,1,0,17.49
Antônio Dias,321.78,321.78,1,-246.31,246.31,0,321.78,0
Antônio Prado de Minas,0,0,0,186.45,186.45,1,0,186.45
Araçaí,42.23,42.23,1,427.65,427.65,1,42.23,427.65
Aracitaba,47.37,47.37,1,-47.37,47.37,0,47.37,0
Araçuaí,-231,231,0,247.06,247.06,1,0,247.06
Araguari,18.47,18.47,1,1847.05,1847.05,1,18.47,1847.05
Arantina,0,0,0,0,0,0,0,0
Araponga,0,0,0,47.48,47.48,1,0,47.48
Araporã,318.29,318.29,1,143.91,143.91,1,318.29,143.91
Arapuá,34.69,34.69,1,1377.24,1377.24,1,34.69,1377.24
Araújos,576.3,576.3,1,460.06,460.06,1,576.3,460.06
Araxá,54.16,54.16,1,686.47,686.47,1,54.16,686.47
Arceburgo,46.9,46.9,1,1022.31,1022.31,1,46.9,1022.31
Arcos,1059.9,1059.9,1,7084.65,7084.65,1,1059.9,7084.65
Areado,-6.98,6.98,0,187.23,187.23,1,0,187.23
Argirita,-34.6,34.6,0,72.7,72.7,1,0,72.7
Aricanduva,-39.08,39.08,0,96.32,96.32,1,0,96.32
