Id,Incidência-2017,Incidência - 2018,Incidência - 2019,,d1 (18-17),negpos1,d2 (19-18),negpos2,
Abadia dos Dourados,42.77,56.67,917.96,,13.9,1,861.29,1,13.9
Abaeté,17,12.71,1735.35,,-4.29,0,1722.64,1,FALSE
Abre Campo,0,7.28,126.25,,7.28,1,118.97,1,
Acaiaca,0,73.8,0,,73.8,1,-73.8,0,
Açucena,108.48,170.05,20.89,,61.57,1,-149.16,0,
Água Boa,13.62,13.92,772.06,,0.3,1,758.14,1,
Água Comprida,193.8,242.95,2094.76,,49.15,1,1851.81,1,
Aguanil,45.77,67.57,22.48,,21.8,1,-45.09,0,
Águas Formosas,93.23,10.3,260.88,,-82.93,0,250.58,1,
Águas Vermelhas,215.66,22.1,89.04,,-193.56,0,66.94,1,
Aimorés,217.95,54.45,519.99,,-163.5,0,465.54,1,
Aiuruoca,0,0,0,,0,0,0,0,
Alagoa,0,0,74.54,,0,0,74.54,1,
Albertina,32.97,0,66.6,,-32.97,0,66.6,1,
Além Paraíba,2.8,25.09,42.47,,22.29,1,17.38,1,
Alfenas,66.06,169.37,710.86,,103.31,1,541.49,1,
Alfredo Vasconcelos,0,14.76,29.28,,14.76,1,14.52,1,
Almenara,363.23,4.79,7.2,,-358.44,0,2.41,1,
Alpercata,294.2,0,53.97,,-294.2,0,53.97,1,
Alpinópolis,5.09,10.08,855.91,,4.99,1,845.83,1,
Alterosa,90.07,27.49,41.63,,-62.58,0,14.14,1,
Alto Caparaó,0,0,0,,0,0,0,0,
Alto Jequitibá,0,0,0,,0,0,0,0,
Alto Rio Doce,0,8.55,0,,8.55,1,-8.55,0,
Alvarenga,69.9,333.41,5109.49,,263.51,1,4776.08,1,
Alvinópolis,51.22,96.16,1883.33,,44.94,1,1787.17,1,
Alvorada de Minas,0,0,83.19,,0,0,83.19,1,
Amparo do Serra,0,20.31,42.1,,20.31,1,21.79,1,
Andradas,4.99,14.74,66.26,,9.75,1,51.52,1,
Andrelândia,8,0,24.51,,-8,0,24.51,1,
Angelândia,11.82,0,624.93,,-11.82,0,624.93,1,
Antônio Carlos,8.65,0,17.49,,-8.65,0,17.49,1,
Antônio Dias,20.65,342.43,96.12,,321.78,1,-246.31,0,
Antônio Prado de Minas,0,0,186.45,,0,0,186.45,1,
Araçaí,0,42.23,469.88,,42.23,1,427.65,1,
Aracitaba,0,47.37,0,,47.37,1,-47.37,0,
Araçuaí,335.39,104.39,351.45,,-231,0,247.06,1,
Araguari,26.66,45.13,1892.18,,18.47,1,1847.05,1,
Arantina,0,0,0,,0,0,0,0,
Araponga,0,0,47.48,,0,0,47.48,1,
Araporã,375.54,693.83,837.74,,318.29,1,143.91,1,
Arapuá,0,34.69,1411.93,,34.69,1,1377.24,1,
Araújos,68.43,644.73,1104.79,,576.3,1,460.06,1,
Araxá,25.43,79.59,766.06,,54.16,1,686.47,1,
Arceburgo,19.28,66.18,1088.49,,46.9,1,1022.31,1,
Arcos,7.64,1067.54,8152.19,,1059.9,1,7084.65,1,
Areado,20.35,13.37,200.6,,-6.98,0,187.23,1,
Argirita,34.6,0,72.7,,-34.6,0,72.7,1,
Aricanduva,39.08,0,96.32,,-39.08,0,96.32,1,
Arinos,241.48,104.15,654.07,,-137.33,0,549.92,1,
Astolfo Dutra,14.35,155.83,85.2,,141.48,1,-70.63,0,
Ataléia,128.21,7.27,38.27,,-120.94,0,31,1,
Augusto de Lima,19.84,39.82,3866.61,,19.98,1,3826.79,1,
Baependi,20.85,5.18,31.42,,-15.67,0,26.24,1,
Baldim,24.78,12.42,764.23,,-12.36,0,751.81,1,
Bambuí,37.74,49.96,1582.69,,12.22,1,1532.73,1,
Bandeira,99.62,0,0,,-99.62,0,0,0,
