Id,Incidência-2017,Incidência - 2018,Incidência - 2019
Abadia dos Dourados,42.77,56.67,917.96
Abaeté,17,12.71,1735.35
Abre Campo,0,7.28,126.25
Acaiaca,0,73.8,0
Açucena,108.48,170.05,20.89
Água Boa,13.62,13.92,772.06
Água Comprida,193.8,242.95,2094.76
Aguanil,45.77,67.57,22.48
Águas Formosas,93.23,10.3,260.88
Águas Vermelhas,215.66,22.1,89.04
Aimorés,217.95,54.45,519.99
Aiuruoca,0,0,0
Alagoa,0,0,74.54
Albertina,32.97,0,66.6
Além Paraíba,2.8,25.09,42.47
Alfenas,66.06,169.37,710.86
Alfredo Vasconcelos,0,14.76,29.28
Almenara,363.23,4.79,7.2
Alpercata,294.2,0,53.97
Alpinópolis,5.09,10.08,855.91
Alterosa,90.07,27.49,41.63
Alto Caparaó,0,0,0
Alto Jequitibá,0,0,0
Alto Rio Doce,0,8.55,0
Alvarenga,69.9,333.41,5109.49
Alvinópolis,51.22,96.16,1883.33
Alvorada de Minas,0,0,83.19
Amparo do Serra,0,20.31,42.1
Andradas,4.99,14.74,66.26
Andrelândia,8,0,24.51
Angelândia,11.82,0,624.93
Antônio Carlos,8.65,0,17.49
Antônio Dias,20.65,342.43,96.12
Antônio Prado de Minas,0,0,186.45
Araçaí,0,42.23,469.88
Aracitaba,0,47.37,0
Araçuaí,335.39,104.39,351.45
Araguari,26.66,45.13,1892.18
Arantina,0,0,0
Araponga,0,0,47.48
Araporã,375.54,693.83,837.74
Arapuá,0,34.69,1411.93
Araújos,68.43,644.73,1104.79
Araxá,25.43,79.59,766.06
Arceburgo,19.28,66.18,1088.49
Arcos,7.64,1067.54,8152.19
Areado,20.35,13.37,200.6
Argirita,34.6,0,72.7
Aricanduva,39.08,0,96.32
Arinos,241.48,104.15,654.07
Astolfo Dutra,14.35,155.83,85.2
Ataléia,128.21,7.27,38.27
Augusto de Lima,19.84,39.82,3866.61
Baependi,20.85,5.18,31.42
Baldim,24.78,12.42,764.23
Bambuí,37.74,49.96,1582.69
Bandeira,99.62,0,0
Bandeira do Sul,17.62,0,17.5
Barão de Cocais,15.99,6.26,962.28
Barão de Monte Alto,17.53,17.71,183.72
Barbacena,14.82,15.36,22
Barra Longa,0,17.78,19.05
Barroso,9.67,28.73,159.27
Bela Vista de Minas,0,0,761.12
Belmiro Braga,0,28.55,203.9
Belo Horizonte,69.45,41.25,2942.43
Belo Oriente,93.68,1093.36,238.67
Belo Vale,12.79,204.06,1063.55
Berilo,8.04,8.09,208.42
Berizal,0,0,0
Bertópolis,0,0,152.11
Betim,179.24,34.18,6894.3
Bias Fortes,0,0,0
Bicas,0,20.63,679.09
Biquinhas,113.64,76.37,78.99
Boa Esperança,29.79,9.87,884.31
Bocaina de Minas,0,0,0
Bocaiúva,191.53,900.97,2272.64
Bom Despacho,121.86,29.97,119.6
Bom Jardim de Minas,45.09,0,0
Bom Jesus da Penha,48.19,47.59,167.06
Bom Jesus do Amparo,0,116.32,3697.56
Bom Jesus do Galho,32.17,64.69,186.54
Bom Repouso,0,0,0
Bom Sucesso,5.6,106.1,28.41
Bonfim,285.06,213.68,683.54
Bonfinópolis de Minas,17.15,0,252.53
Bonito de Minas,9.37,0,1677.49
Borda da Mata,5.35,5.25,36.45
Botelhos,13.05,13.05,13.34
Botumirim,15.21,107.03,629.92
Brás Pires,43.44,43.96,205.76
Brasilândia de Minas,31.79,93.14,741.38
Brasília de Minas,1716.62,9.17,2217.54
Brasópolis,20.09,0,13.79
Braúnas,39.64,59.96,20.68
Brumadinho,79.25,38.6,708.5
Bueno Brandão,0,0,9.08
Buenópolis,18.89,84.95,1830.97
Bugre,96.76,48.24,98.18
Buritis,53.39,0,4156.02
Buritizeiro,113.62,35.29,1786.48
Cabeceira Grande,87.45,86.46,2084.24
Cabo Verde,13.99,0,21.31
Cachoeira da Prata,80.62,26.95,884.96
Cachoeira de Minas,8.65,0,43.43
Cachoeira de Pajeú,53.13,0,21.32
Cachoeira Dourada,789.18,445.93,1195.37
Caetanópolis,743.06,175.45,635.06
Caeté,16,33.8,1602.18
Caiana,18.68,0,0
Cajuri,24.27,0,99.95
Caldas,6.95,6.88,0
Camacho,0,0,102.25
Camanducaia,4.55,0,4.6
Cambuí,6.98,0,3.42
Cambuquira,53.74,22.98,7.8
Campanário,1500.13,319.4,350.31
Campanha,60.86,96.23,36.22
Campestre,0,4.66,9.5
Campina Verde,39.96,353.6,1160.2
Campo Azul,520.43,181.21,2887.14
Campo Belo,16.64,18.36,686.89
Campo do Meio,25.3,16.84,343.11
Campo Florido,91.21,76.08,1295.3
Campos Altos,19.76,773.38,273.51
Campos Gerais,3.46,0,1309.97
Cana Verde,52.29,17.44,124.73
Canaã,0,21.28,0
Canápolis,499.79,709.75,2162.16
Candeias,6.62,52.82,1767.12
Cantagalo,22.4,0,867.05
Caparaó,0,0,55.31
Capela Nova,0,0,42.8
Capelinha,34.82,5.28,124.15
Capetinga,27.84,0,1323.36
Capim Branco,31.46,20.67,3988.02
Capinópolis,242.06,769.23,2216.15
Capitão Andrade,0,18.5,36.9
Capitão Enéas,26.54,131.26,897.51
Capitólio,69.67,0,953.38
Caputira,0,0,75.37
Caraí,33.94,8.41,33.92
Caranaíba,0,60.62,62.5
Carandaí,15.97,27.59,122.4
Carangola,11.95,8.94,333.45
Caratinga,50.67,15.24,25.14
Carbonita,0,0,223.5
Careaçu,0,0,282.7
Carlos Chagas,175.25,35.44,57.87
Carmésia,0,38.04,76.42
Carmo da Cachoeira,48.77,24.29,0
Carmo da Mata,26.14,17.3,113.65
Carmo de Minas,0,0,6.77
Carmo do Cajuru,64.41,22.59,1051.35
Carmo do Paranaíba,12.99,9.72,567.21
Carmo do Rio Claro,9.37,13.98,821.53
Carmópolis de Minas,48.34,31.59,2110.32
Carneirinho,190.29,29.79,590.83
Carrancas,0,0,123.64
Carvalhópolis,0,0,56.18
Carvalhos,0,0,22.25
Casa Grande,86.66,43.31,0
Cascalho Rico,0,65.13,490.68
Cássia,0,11.08,941.43
Cataguases,36.4,29.32,117.82
Catas Altas,38.24,18.81,93.81
Catas Altas da Noruega,0,27.28,220.45
Catuji,29.93,15.12,0
Catuti,270.58,873.62,2036.74
Caxambu,31.49,22.51,115.19
Cedro do Abaeté,0,82.71,768.57
Central de Minas,226.24,28.12,0
Centralina,414.94,593.11,1755.4
Chácara,230.11,0,1025.31
Chalé,34.38,0,17.52
Chapada do Norte,0,6.38,6.51
Chapada Gaúcha,56.02,61.68,2679.7
Chiador,0,0,0
Cipotânea,0,0,14.76
Claraval,20.83,0,623.7
Claro dos Poções,12.72,89.53,2305.67
Cláudio,43.12,17.68,313.76
Coimbra,0,26.46,159.64
Coluna,21.79,0,561.36
Comendador Gomes,96.28,0,386.72
Comercinho,38.29,0,0
Conceição da Aparecida,48.53,28.92,68.22
Conceição da Barra de Minas,0,49.38,75.72
Conceição das Alagoas,172.96,626.44,1648.13
Conceição das Pedras,0,34.99,71.15
Conceição de Ipanema,0,0,0
Conceição do Mato Dentro,32.97,49.65,2788.96
Conceição do Pará,18.32,90.66,1149.64
Conceição do Rio Verde,0,0,7.36
Conceição dos Ouros,17.76,0,8.68
Cônego Marinho,105.76,39.35,5095.46
Confins,108.06,60.53,886.29
Congonhal,17.45,0,25.4
Congonhas,24.61,16.72,470.51
Congonhas do Norte,0,0,19.83
Conquista,145.03,201.15,2417.49
Conselheiro Lafaiete,17.54,29.05,330.88
Conselheiro Pena,367.31,94.66,152.89
Consolação,0,0,56.12
Contagem,135.64,83.36,3807.33
Coqueiral,52.85,31.81,108.8
Coração de Jesus,33.37,25.88,2094.61
Cordisburgo,11.11,11.08,1058.2
Cordislândia,27.99,27.88,28.3
Corinto,130.98,36.91,3525.65
Coroaci,67.35,9.67,39.84
Coromandel,24.6,24.55,982.77
Coronel Fabriciano,779.06,2874.21,129.79
Coronel Murta,53.19,0,86.69
Coronel Pacheco,0,0,876.62
Coronel Xavier Chaves,86.93,28.81,116.75
Córrego Danta,29.49,59.54,246.84
Córrego do Bom Jesus,0,0,26.93
Córrego Fundo,32.22,0,222.58
Córrego Novo,98.94,33.67,0
Couto de Magalhães de Minas,747.96,0,1387.63
Crisólita,0,45.24,15.05
Cristais,8.12,0,5315.96
Cristália,16.64,165.51,335.57
Cristiano Otoni,19.22,38.28,194.36
Cristina,0,28.62,9.75
Crucilândia,39.89,19.77,757.88
Cruzeiro da Fortaleza,24.15,47.92,991.78
Cruzília,19.52,0,13.02
Cuparaque,363.86,880.88,826.61
Curral de Dentro,120.14,13.12,287.36
Curvelo,124.21,17.53,4434.54
Datas,18.38,36.56,203.74
Delfim Moreira,0,12.19,0
Delfinópolis,14,0,803.04
Delta,10.53,1140.95,3041.49
Descoberto,19.96,59.44,600.48
Desterro de Entre Rios,0,0,248.89
Desterro do Melo,0,0,856.46
Diamantina,379.55,58.06,1413.36
Diogo de Vasconcelos,0,51.11,26.22
Dionísio,0,0,674.99
Divinésia,29.1,144.72,0
Divino,0,0,75.44
Divino das Laranjeiras,1928.37,0,0
Divinolândia de Minas,13.38,0,26.57
Divinópolis,34.22,35.33,1092.48
Divisa Alegre,46.31,0,1223.52
Divisa Nova,530.59,329.6,100.07
Divisópolis,0,0,0
Dom Bosco,52.03,0,2514.19
Dom Cavati,18.96,57.18,19.62
Dom Joaquim,0,0,44.62
Dom Silvério,0,0,362.39
Dom Viçoso,0,0,0
Dona Euzébia,46.62,61.28,61.32
Dores de Campos,20.09,0,624.94
Dores de Guanhães,37.54,0,0
Dores do Indaiá,85.82,495.58,472.64
Dores do Turvo,0,90.15,69.95
Doresópolis,65.83,65.23,460.22
Douradoquara,208.33,0,1259.84
Durandé,0,0,25.6
Elói Mendes,341.06,3.61,115.01
Engenheiro Caldas,456.12,27.03,45.19
Engenheiro Navarro,0,0,1822.2
Entre Folhas,18.57,36.74,2144.72
Entre Rios de Minas,0,19.62,262.92
Ervália,5.3,10.52,10.62
Esmeraldas,202.36,79.7,1695.16
Espera Feliz,0,16.13,56.51
Espinosa,3.11,37.25,1258.54
Espírito Santo do Dourado,21.41,0,42.8
Estiva,0,0,0
Estrela Dalva,0,0,0
Estrela do Indaiá,973.3,1476.32,2109.46
Estrela do Sul,0,87.71,781.25
Eugenópolis,44.77,53.17,793.37
Ewbank da Câmara,0,0,128.07
Extrema,9.07,2.91,11.28
Fama,247.63,82.44,210.17
Faria Lemos,0,0,30.66
Felício dos Santos,0,0,104.08
Felisburgo,54.51,13.46,40.49
Felixlândia,198.97,111.31,6353.79
Fernandes Tourinho,181.6,29.68,235.71
Ferros,9.42,19.17,110.56
Fervedouro,18.29,0,410.7
Florestal,277.43,27.24,3696.18
Formiga,36.74,42.38,1046.79
Formoso,22.06,0,561.98
Fortaleza de Minas,0,45.38,1618.42
Fortuna de Minas,0,68.21,888.28
Francisco Badaró,0,9.47,2020.69
Francisco Dumont,0,19.18,3643.72
Francisco Sá,99.17,155.14,1657.69
Franciscópolis,104.44,17.63,91.81
Frei Gaspar,149.3,16.6,33.95
Frei Inocêncio,84.33,0,31.4
Frei Lagonegro,0,0,317.09
Fronteira,79.27,140.58,2480.09
Fronteira dos Vales,126.21,21.13,43.47
Fruta de Leite,0,17.52,1507.08
Frutal,126.31,149.74,2881.52
Funilândia,47.66,46.76,4089.22
Galiléia,269.08,42.65,29.22
Gameleiras,0,876.86,3494.73
Glaucilândia,223.64,537.97,2806.12
Goiabeira,30.5,721.15,30.05
Goianá,0,75.91,1192.89
Gonçalves,0,0,0
Gonzaga,242.4,0,455.66
Gouvêa,16.6,24.87,1276.09
Governador Valadares,1052.58,57.32,105.5
Grão Mogol,0,0,1064.71
Grupiara,282.49,0,7343.41
Guanhães,14.9,14.68,82.22
Guapé,6.94,0,309.14
Guaraciaba,0,18.97,0
Guaraciama,100.77,1679.66,2563.58
Guaranésia,56.88,5.16,1734.56
Guarani,22.19,618.99,3740.31
Guarará,25.23,25.39,209.53
Guarda-Mor,44.52,222.68,6584.74
Guaxupé,44.31,49.72,214.49
Guidoval,54.59,1123.29,56.3
Guimarânia,178.78,75.41,2132.73
Guiricema,34.2,1227.91,118.46
Gurinhatã,826.86,503.44,876.58
Heliodora,30.81,0,0
Iapu,82.8,54.73,64.42
Ibertioga,38.79,0,0
Ibiá,32.28,23.9,475.33
Ibiaí,12.03,35.71,1903.96
Ibiracatu,2288.11,486.62,1271.97
Ibiraci,45.1,44.2,445.68
Ibirité,41.98,37.75,3012.04
Ibitiúra de Minas,0,0,0
Ibituruna,0,0,0
Icaraí de Minas,8.6,321.08,353.57
Igarapé,120.68,17.02,5498.75
Igaratinga,97.22,161.18,793.72
Iguatama,24.41,244.74,5206.37
Ijaci,63.01,15.48,123.3
Ilicínea,8.19,8.09,48.77
Imbé de Minas,102.59,86.97,101.97
Inconfidentes,68.59,13.59,150.75
Indaiabira,26.57,13.29,665.49
Indianópolis,0,29.39,1478.99
Ingaí,36.18,0,0
Inhapim,471.11,28.23,45.45
Inhaúma,97.43,48.08,2552.99
Inimutaba,81.11,13.35,1352.62
Ipaba,874.47,897.96,260.33
Ipanema,5.14,5.07,319.52
Ipatinga,501.66,679.17,178.31
Ipiaçu,257.67,186.7,2703.34
Ipuiúna,0,9.88,39.84
Iraí de Minas,14.52,28.7,648.04
Itabira,63.76,23.47,52.86
Itabirinha de Mantena,175.95,0,61.16
Itabirito,24.11,9.84,132.6
Itacambira,0,0,186.81
Itacarambi,16.32,59.64,1681.18
Itaguara,68.33,7.5,2477.78
Itaipé,7.95,7.86,7.89
Itajubá,6.25,10.31,42.54
Itamarandiba,37.95,5.77,162.19
Itamarati de Minas,0,0,0
Itambacuri,2124.23,118.46,1167.5
Itambé do Mato Dentro,0,0,0
Itamogi,0,0,68.43
Itamonte,26.43,0,19.43
Itanhandu,19.86,6.54,19.69
Itanhomi,72.93,16.14,0
Itaobim,23.19,0,4.74
Itapagipe,771.1,99.73,927.03
Itapecerica,85.94,139.9,408.95
Itapeva,10.6,10.4,10.33
Itatiaiuçu,9.28,27.32,5200.69
Itaú de Minas,75.49,105.71,1055.33
Itaúna,17.5,19.42,548.83
Itaverava,0,17.57,91.41
Itinga,391.79,0,40.12
Itueta,16.43,16.34,2500.41
Ituiutaba,212.9,642.9,1576.87
Itumirim,16.03,0,16.53
Iturama,82.23,137.72,806.24
Itutinga,0,25.47,78.76
Jaboticatubas,83.98,35.81,2845.2
Jacinto,271.2,445.82,89.22
Jacuí,0,0,26.04
Jacutinga,4.01,0,35.04
Jaguaraçu,350.77,411.65,64.02
Jaíba,8.1,23.72,80.7
Jampruca,242.49,18.47,0
Janaúba,273.68,2115.75,1220.8
Januária,20.51,29.16,1410.66
Japaraíba,0,394.61,2132.59
Japonvar,914.03,115.17,5025.71
Jeceaba,37.78,153.58,4846.17
Jenipapo de Minas,0,0,52.32
Jequeri,15.45,0,152.49
Jequitaí,75.24,0,1711.2
Jequitibá,0,18.8,3624.16
Jequitinhonha,67.02,3.91,7.9
Jesuânia,20.41,0,0
Joaíma,269.89,0,0
Joanésia,136.11,560.45,85.58
João Monlevade,34.36,10.05,1274.77
João Pinheiro,12.45,385.63,3268.05
Joaquim Felício,43.41,0,1737.45
Jordânia,36.95,0,9.28
José Gonçalves de Minas,0,0,2369.35
José Raydan,0,20.43,121.51
Josenópolis,0,0,61.93
Juatuba,255.11,69.57,4836.88
Juiz de Fora,16.75,25.19,386.67
Juramento,0,0,2710.84
Juruaia,79.01,19.34,57.47
Juvenília,0,273.04,523.29
Ladainha,261.46,0,0
Lagamar,12.82,12.83,1756.92
Lagoa da Prata,19.92,1072.18,2798.4
Lagoa dos Patos,70.22,47.08,630.46
Lagoa Dourada,7.73,15.32,84.92
Lagoa Formosa,44.35,0,1739.76
Lagoa Grande,53.8,1631.36,3807.91
Lagoa Santa,43.5,51.82,5449.9
Lajinha,24.68,19.7,170.61
Lambari,19.35,9.58,14.48
Lamim,56.96,28.59,411.28
Laranjal,44.12,14.59,58.94
Lassance,45.02,120.05,2545.23
Lavras,32.92,7.83,210.26
Leandro Ferreira,30.32,60.61,1391.9
Leme do Prado,581.98,0,590.03
Leopoldina,62.09,48.73,197.97
Liberdade,37.41,0,19.57
Lima Duarte,11.88,11.83,719.81
Limeira do Oeste,94.81,93.5,681.73
Lontra,33.56,55.29,3030.64
Luisburgo,15.61,0,15.94
Luislândia,462,59.21,3398.2
Luminárias,1023.16,0,568.39
Luz,21.87,184.78,3857.58
Machacalis,96.97,0,182.84
Machado,14.5,4.77,43.02
Madre de Deus de Minas,0,0,0
Malacacheta,46.9,5.22,69.52
Mamonas,30.34,1509.66,673.61
Manga,45.87,794.96,414.11
Manhuaçu,12.67,7.9,266.65
Manhumirim,0,0,190.2
Mantena,24.95,213.28,502.89
Mar de Espanha,31.82,7.85,353.63
Maravilhas,38.74,126.97,6085.53
Maria da Fé,0,20.71,14.15
Mariana,8.5,26.73,231.12
Marilac,46.78,23.51,2539.91
Mário Campos,109.41,33.36,7233.51
Maripá de Minas,0,67.14,135.18
Marliéria,121.15,2276.58,148.37
Marmelópolis,0,0,0
Martinho Campos,285.41,409.35,5618.9
Martins Soares,0,0,325.34
Mata Verde,11.87,11.71,0
Materlândia,0,21.65,2030.34
Mateus Leme,79.59,42.38,4211.31
Mathias Lobato,88.94,0,30.99
Matias Barbosa,7,0,111.23
Matias Cardoso,18.48,36.37,1583.71
Matipó,5.34,0,175.46
Mato Verde,240.4,980.62,2230.57
Matozinhos,24.51,29.46,3188.96
Matutina,0,26,106.44
Medeiros,0,0,344.74
Medina,1766.16,0,19.16
Mendes Pimentel,0,0,0
Mercês,9.25,9.2,401.12
Mesquita,100.12,169.18,17.65
Minas Novas,9.4,9.37,85.79
Minduri,0,0,0
Mirabela,7.33,626.55,4366.75
Miradouro,18.59,129.19,111.93
Miraí,20.33,80.29,26.82
Miravânia,0,40.94,4196.67
Moeda,60.95,20.17,448.61
Moema,26.85,877.08,66.85
Monjolos,680.27,214.87,1562.5
Monsenhor Paulo,1066.3,22.96,23.13
Montalvânia,177.45,1499.71,286.44
Monte Alegre de Minas,599.35,80.59,533.36
Monte Azul,13.64,119.36,1394.11
Monte Belo,37.19,7.43,1031.87
Monte Carmelo,233.64,33.16,1298.18
Monte Formoso,0,0,0
Monte Santo de Minas,13.69,18.22,334.35
Monte Sião,0,4.27,568.54
Montes Claros,27.64,60.69,800.63
Montezuma,0,0,867.97
Morada Nova de Minas,171.15,282.17,1656.27
Morro da Garça,38.02,0,2532.15
Morro do Pilar,0,89.85,62.29
Munhoz,0,0,0
Muriaé,99.75,144.65,721.47
Mutum,145.49,14.53,88.9
Muzambinho,9.52,4.76,67.98
Nacip Raydan,0,0,0
Nanuque,358.6,16.75,61.22
Naque,29.31,259.74,57.65
Natalândia,29.59,0,875.08
Natércia,0,0,0
Nazareno,0,0,58.45
Nepomuceno,37.18,44.36,2452.36
Ninheira,9.71,9.64,9.74
Nova Belém,28.1,57.72,61.44
Nova Era,22.22,11.11,170.39
Nova Lima,189.1,58.58,603.78
Nova Módica,0,0,82.71
Nova Ponte,55.23,140.62,935.86
Nova Porteirinha,65.48,1333.68,1825.69
Nova Resende,12.17,6.01,30.1
Nova Serrana,66.77,674.9,3061.04
Nova União,103.82,120.61,1399.09
Novo Cruzeiro,72.32,0,6.38
Novo Oriente de Minas,18.51,9.2,18.64
Novorizonte,0,0,227.57
Olaria,52.27,0,56.34
Olhos-d'Água,34.44,33.65,631.44
Olímpio Noronha,0,0,0
Oliveira,28.87,9.54,310.63
Oliveira Fortes,0,0,0
Onça de Pitangui,31.46,31.33,604.33
Oratórios,0,0,215.19
Orizânia,0,0,25.14
Ouro Branco,2.61,12.84,276.07
Ouro Fino,0,8.9,26.88
Ouro Preto,14.86,5.36,114.87
Ouro Verde de Minas,97.91,16.37,67.18
Padre Carvalho,16,15.78,4421.98
Padre Paraíso,350.51,69.39,54.86
Pai Pedro,64.91,339.59,1660.09
Paineiras,42.76,193.55,1685.14
Pains,59.87,107.26,1632.41
Paiva,0,0,0
Palma,14.82,14.81,0
Palmópolis,0,0,0
Papagaios,32.74,58,1988.03
Pará de Minas,184.3,24.8,1992.46
Paracatu,150.5,89.84,2205.99
Paraguaçu,0,9.27,23.34
Paraisópolis,14.49,4.77,4.78
Paraopeba,219.83,73.69,484.1
Passa Quatro,0,24.29,12.27
Passa Tempo,23.95,0,295.86
Passa Vinte,0,0,0
Passabém,0,0,0
Passos,119.34,138.92,2526.36
Patis,0,16.73,1666.11
Patos de Minas,367.7,56.99,2795.14
Patrocínio,49.63,96.68,2244.53
Patrocínio do Muriaé,17.8,0,1539.28
Paula Cândido,0,0,10.46
Paulistas,0,0,309.34
Pavão,0,0,0
Peçanha,0,0,0
Pedra Azul,397.03,8.08,57.57
Pedra Bonita,14.18,0,14.15
Pedra do Anta,0,61.16,32.26
Pedra do Indaiá,24.87,24.79,277.15
Pedra Dourada,0,40.78,0
Pedralva,25.81,0,0
Pedras de Maria da Cruz,0,8.78,550.07
Pedrinópolis,0,27.23,2647.55
Pedro Leopoldo,50.83,14.1,1431.28
Pedro Teixeira,0,0,165.93
Pequeri,0,59.76,845.92
Pequi,115.15,1319.68,6394.15
Perdigão,230.41,184.4,1777.94
Perdizes,12.79,31.4,287.34
Perdões,23.54,18.65,1733.13
Periquito,56.31,0,0
Pescador,559.05,46.39,141.31
Piau,139.47,105.26,760.04
Piedade de Caratinga,62.44,72.75,23.74
Piedade de Ponte Nova,0,308.57,652.17
Piedade do Rio Grande,0,0,44.17
Piedade dos Gerais,20.3,0,444
Pimenta,69.32,34.4,7264.51
Pingo d'Água,480.27,41.04,0
Pintópolis,26.53,0,1281.71
Piracema,0,0,1074.6
Pirajuba,361.4,328.15,3888.15
Piranga,16.79,33.49,62.44
Piranguçu,18.26,36.27,18.33
Piranguinho,0,0,81.87
Pirapetinga,0,18.39,27.96
Pirapora,24.9,33.51,1467.76
Piraúba,135.12,2301.44,3864.64
Pitangui,18.33,54.14,2186.99
Piuí,2.93,141.93,574.65
Planura,95.58,415.4,2807.49
Poço Fundo,0,5.92,5.98
Poços de Caldas,3.67,4.82,12.04
Pocrane,0,0,1633.76
Pompéu,163.58,88.57,1725.61
Ponte Nova,0,33.13,203
Ponto Chique,0,986.15,1203.68
Ponto dos Volantes,49.93,16.48,16.58
Porteirinha,1237.09,219.41,363.64
Porto Firme,0,35.57,62.46
