Id,Label,timeset,incidência-2017,incidência - 2018,incidência - 2019,modularity_class,pageranks
Campo Belo,Campo Belo,,16.64,18.36,686.89,6,0.002153
Santa Juliana,Santa Juliana,,38.64,336.32,909.55,6,0.002113
Bonfinópolis de Minas,Bonfinópolis de Minas,,17.15,0,252.53,5,0.000982
Sete Lagoas,Sete Lagoas,,14.22,15.66,1587.96,5,0.006259
Pedrinópolis,Pedrinópolis,,0,27.23,2647.55,6,0.001303
Mato Verde,Mato Verde,,240.4,980.62,2230.57,5,0.001717
Pai Pedro,Pai Pedro,,64.91,339.59,1660.09,5,0.000649
Belo Horizonte,Belo Horizonte,,69.45,41.25,2942.43,0,0.031683
Rio Acima,Rio Acima,,60.46,39.51,1117.32,0,0.000508
Capim Branco,Capim Branco,,31.46,20.67,3988.02,5,0.000541
Pedro Leopoldo,Pedro Leopoldo,,50.83,14.1,1431.28,5,0.00142
Raposos,Raposos,,117.07,24.41,221.17,0,0.000508
Nova Lima,Nova Lima,,189.1,58.58,603.78,0,0.000615
Gonzaga,Gonzaga,,242.4,0,455.66,0,0.00106
Governador Valadares,Governador Valadares,,1052.58,57.32,105.5,1,0.007744
Pará de Minas,Pará de Minas,,184.3,24.8,1992.46,6,0.003763
Perdizes,Perdizes,,12.79,31.4,287.34,6,0.001987
Porteirinha,Porteirinha,,1237.09,219.41,363.64,5,0.002527
Estrela Dalva,Estrela Dalva,,0,0,0,2,0.000513
Volta Grande,Volta Grande,,0,0,324.24,2,0.000707
Florestal,Florestal,,277.43,27.24,3696.18,6,0.000447
Juatuba,Juatuba,,255.11,69.57,4836.88,6,0.003584
Betim,Betim,,179.24,34.18,6894.3,6,0.005051
Brumadinho,Brumadinho,,79.25,38.6,708.5,6,0.000974
Formiga,Formiga,,36.74,42.38,1046.79,6,0.00339
Buritis,Buritis,,53.39,0,4156.02,5,0.001339
Marilac,Marilac,,46.78,23.51,2539.91,0,0.000485
Virgolândia,Virgolândia,,17.66,35.63,295.2,0,0.001196
Guaxupé,Guaxupé,,44.31,49.72,214.49,4,0.002467
Juruaia,Juruaia,,79.01,19.34,57.47,4,0.000453
Monte Alegre de Minas,Monte Alegre de Minas,,599.35,80.59,533.36,6,0.00153
Nova Serrana,Nova Serrana,,66.77,674.9,3061.04,6,0.003968
Orizânia,Orizânia,,0,0,25.14,3,0.001139
Santa Margarida,Santa Margarida,,12.51,0,6.21,3,0.001181
Cônego Marinho,Cônego Marinho,,105.76,39.35,5095.46,5,0.00043
Januária,Januária,,20.51,29.16,1410.66,5,0.002528
Pirapetinga,Pirapetinga,,0,18.39,27.96,2,0.000628
Eugenópolis,Eugenópolis,,44.77,53.17,793.37,3,0.000769
Tombos,Tombos,,0,11.4,170.71,3,0.001048
Icaraí de Minas,Icaraí de Minas,,8.6,321.08,353.57,5,0.000259
São Francisco,São Francisco,,354.47,59.85,1436.89,5,0.002269
Itaobim,Itaobim,,23.19,0,4.74,1,0.002826
Mata Verde,Mata Verde,,11.87,11.71,0,1,0.000815
Juramento,Juramento,,0,0,2710.84,5,0.000528
Montes Claros,Montes Claros,,27.64,60.69,800.63,5,0.006596
Manga,Manga,,45.87,794.96,414.11,5,0.001423
Miravânia,Miravânia,,0,40.94,4196.67,5,0.000522
Nova Porteirinha,Nova Porteirinha,,65.48,1333.68,1825.69,5,0.000366
Confins,Confins,,108.06,60.53,886.29,5,0.000362
Esmeraldas,Esmeraldas,,202.36,79.7,1695.16,0,0.000374
Contagem,Contagem,,135.64,83.36,3807.33,6,0.000806
Santana do Manhuaçu,Santana do Manhuaçu,,11.31,0,11.52,3,0.001253
