source,target,weight
Campo Belo,Santa Juliana,26.1
Bonfinópolis de Minas,Sete Lagoas,22.7
Campo Belo,Pedrinópolis,26.1
Mato Verde,Pai Pedro,7.0
Belo Horizonte,Rio Acima,6.05
Capim Branco,Pedro Leopoldo,2.95
Belo Horizonte,Raposos,6.05
Nova Lima,Rio Acima,3.85
Gonzaga,Governador Valadares,7.9
Pará de Minas,Perdizes,25.0
Pai Pedro,Porteirinha,5.0
Estrela Dalva,Volta Grande,1.67
Florestal,Juatuba,2.95
Betim,Brumadinho,6.75
Formiga,Santa Juliana,39.75
Bonfinópolis de Minas,Buritis,59.95
Marilac,Virgolândia,4.78
Guaxupé,Juruaia,3.5
Monte Alegre de Minas,Nova Serrana,32.4
Formiga,Pedrinópolis,39.75
Orizânia,Santa Margarida,8.25
Cônego Marinho,Januária,8.6
Pirapetinga,Volta Grande,4.8
Eugenópolis,Tombos,5.95
Icaraí de Minas,São Francisco,12.0
Itaobim,Mata Verde,30.0
Juramento,Montes Claros,6.0
Manga,Miravânia,18.0
Nova Porteirinha,Pai Pedro,10.0
Capim Branco,Confins,7.1
Formiga,Perdizes,39.75
Belo Horizonte,Esmeraldas,9.2
Contagem,Florestal,8.2
Santana do Manhuaçu,São José do Mantimento,4.1
Berilo,Virgem da Lapa,10.9
Belo Horizonte,Florestal,11.5
Araújos,Perdigão,3.15
Santana do Manhuaçu,Taparuba,5.25
Nova Serrana,Perdizes,29.0
Bugre,Ipatinga,10.05
Congonhas,Jeceaba,6.35
Passos,São João Batista do Glória,4.25
Estrela Dalva,Pirapetinga,3.19
Belo Horizonte,Itatiaiuçu,10.65
Carangola,Faria Lemos,3.2
Claro dos Poções,Montes Claros,19.35
Chapada do Norte,Virgem da Lapa,19.45
Delfim Moreira,Itajubá,6.5
Itajubá,Marmelópolis,13.0
Astolfo Dutra,Rodeiro,4.35
Baldim,Funilândia,4.35
Nova Serrana,Patrocínio,30.0
Muriaé,Pedra Dourada,16.4
Caparaó,Espera Feliz,4.95
Pedra do Anta,Teixeiras,3.3
Manhuaçu,Reduto,2.2
Eugenópolis,Pedra Dourada,11.1
Almenara,Bandeira,10.0
Patos de Minas,São Gonçalo do Abaeté,10.0
Manhuaçu,São João do Manhuaçu,4.45
Funilândia,Sete Lagoas,3.35
Belo Horizonte,Rio Manso,10.65
Mantena,Nova Belém,13.5
Dona Eusébia,Ubá,12.4
Nova Módica,São José do Divino,3.4
Andradas,Jacutinga,12.5
Berilo,Chapada do Norte,8.55
Cataguases,Rodeiro,11.45
Cambuí,Gonçalves,12.6
Alto Caparaó,Alto Jequitibá,3.45
Caparaó,Alto Jequitibá,6.9
Chapada Gaúcha,Itacarambi,45.0
Muzambinho,Nova Resende,12.15
Córrego do Bom Jesus,Gonçalves,11.0
Arinos,Manga,70.0
Gameleiras,Monte Azul,14.0
Cambuí,Senador Amaral,5.85
