source,target,weight
Campo Belo,Santa Juliana,14.0
Bonfinópolis de Minas,Sete Lagoas,14.0
Campo Belo,Pedrinópolis,14.0
Mato Verde,Pai Pedro,1.0
Belo Horizonte,Rio Acima,470.0
Capim Branco,Pedro Leopoldo,474.0
Belo Horizonte,Raposos,743.0
Nova Lima,Rio Acima,518.0
Gonzaga,Governador Valadares,70.0
Pará de Minas,Perdizes,14.0
Pai Pedro,Porteirinha,12.0
Estrela Dalva,Volta Grande,87.0
Florestal,Juatuba,286.0
Betim,Brumadinho,68.0
Formiga,Santa Juliana,21.0
Bonfinópolis de Minas,Buritis,21.0
Marilac,Virgolândia,21.0
Guaxupé,Juruaia,41.0
Monte Alegre de Minas,Nova Serrana,21.0
Formiga,Pedrinópolis,21.0
Orizânia,Santa Margarida,14.0
Cônego Marinho,Januária,12.0
Pirapetinga,Volta Grande,87.0
Eugenópolis,Tombos,42.0
Icaraí de Minas,São Francisco,22.0
Itaobim,Mata Verde,1.0
Juramento,Montes Claros,67.0
Manga,Miravânia,6.0
Nova Porteirinha,Pai Pedro,8.0
Capim Branco,Confins,20.0
Formiga,Perdizes,28.0
Belo Horizonte,Esmeraldas,28.0
Contagem,Florestal,188.0
Santana do Manhuaçu,São José do Mantimento,21.0
Berilo,Virgem da Lapa,2.0
Belo Horizonte,Florestal,42.0
Araújos,Perdigão,77.0
Santana do Manhuaçu,Taparuba,27.0
Nova Serrana,Perdizes,14.0
Bugre,Ipatinga,5.0
Congonhas,Jeceaba,15.0
Passos,São João Batista do Glória,172.0
Estrela Dalva,Pirapetinga,86.0
Belo Horizonte,Itatiaiuçu,42.0
Carangola,Faria Lemos,108.0
Claro dos Poções,Montes Claros,38.0
Chapada do Norte,Virgem da Lapa,2.0
Delfim Moreira,Itajubá,126.0
Itajubá,Marmelópolis,14.0
Astolfo Dutra,Rodeiro,69.0
Baldim,Funilândia,5.0
Nova Serrana,Patrocínio,42.0
Muriaé,Pedra Dourada,42.0
Caparaó,Espera Feliz,56.0
Pedra do Anta,Teixeiras,64.0
Manhuaçu,Reduto,280.0
Eugenópolis,Pedra Dourada,42.0
Almenara,Bandeira,12.0
Patos de Minas,São Gonçalo do Abaeté,36.0
Manhuaçu,São João do Manhuaçu,85.0
Funilândia,Sete Lagoas,42.0
Belo Horizonte,Rio Manso,27.0
Mantena,Nova Belém,13.0
Dona Eusébia,Ubá,77.0
Nova Módica,São José do Divino,13.0
Andradas,Jacutinga,42.0
Berilo,Chapada do Norte,2.0
Cataguases,Rodeiro,100.0
Cambuí,Gonçalves,12.0
Alto Caparaó,Alto Jequitibá,133.0
Caparaó,Alto Jequitibá,28.0
Chapada Gaúcha,Itacarambi,7.0
Muzambinho,Nova Resende,13.0
Córrego do Bom Jesus,Gonçalves,12.0
Arinos,Manga,21.0
Gameleiras,Monte Azul,6.0
Cambuí,Senador Amaral,60.0
Alto Caparaó,Manhumirim,140.0
Carrancas,Lavras,28.0
Arcos,Santa Juliana,14.0
Almenara,Santa Maria do Salto,12.0
Águas Vermelhas,Divisa Alegre,12.0
Caranaíba,Cristiano Otoni,16.0
Mar de Espanha,Senador Cortes,82.0
Caputira,Manhuaçu,84.0
Carrancas,Itutinga,28.0
Itaú de Minas,Pratápolis,84.0
Chapada Gaúcha,Januária,35.0
Conceição das Pedras,Pedralva,28.0
Leme do Prado,Minas Novas,24.0
Chapada Gaúcha,Montalvânia,14.0
Ipanema,São José do Mantimento,18.0
Carangola,Alto Jequitibá,84.0
Belo Horizonte,Rio do Prado,7.0
Arinos,Januária,49.0
Marilac,Nacip Raydan,14.0
Caparaó,Manhumirim,28.0
Arinos,Montalvânia,21.0
Belo Horizonte,São João do Pacuí,4.0
Coração de Jesus,São João do Pacuí,36.0
Cruzília,São Thomé das Letras,14.0
Itacarambi,Manga,28.0
Itacarambi,São João das Missões,28.0
Miravânia,Montalvânia,6.0
Muriaé,Tombos,63.0
Nova Módica,Pescador,13.0
Rio Pardo de Minas,Taiobeiras,26.0
Martins Soares,Reduto,77.0
Cipotânea,Desterro do Melo,44.0
Barroso,Carandaí,6.0
Leopoldina,Tombos,28.0
Arcos,Pedrinópolis,14.0
Nova Lima,Raposos,664.0
Leopoldina,Rodeiro,42.0
Divisa Alegre,Taiobeiras,8.0
Poté,Teófilo Otoni,168.0
Açucena,Guanhães,28.0
Itabirinha,Mantena,12.0
Passabém,São Sebastião do Rio Preto,28.0
Belo Horizonte,Mamonas,14.0
Reduto,São João do Manhuaçu,14.0
Arceburgo,Monte Santo de Minas,56.0
Caiana,Carangola,56.0
Caratinga,Piedade de Caratinga,191.0
Divinópolis,São Sebastião do Oeste,121.0
Córrego Fundo,Formiga,192.0
Guiricema,Visconde do Rio Branco,98.0
Guaxupé,São Pedro da União,14.0
Carangola,Manhumirim,70.0
Pedra Bonita,Santa Margarida,10.0
Ibiraci,Passos,42.0
Astolfo Dutra,Ubá,105.0
Dona Eusébia,Rodeiro,100.0
Arinos,Buritis,49.0
Capelinha,Nova Serrana,3.0
Chapada Gaúcha,São Francisco,12.0
Delfim Moreira,Marmelópolis,14.0
Delta,Uberaba,180.0
Divinópolis,São Gonçalo do Pará,177.0
Ibiracatu,Varzelândia,5.0
Monte Formoso,Padre Paraíso,5.0
Nova Serrana,Perdigão,106.0
Raul Soares,Vermelho Novo,14.0
Antônio Prado de Minas,Pedra Dourada,63.0
Abre Campo,Sericita,26.0
Coronel Xavier Chaves,Resende Costa,18.0
Guidoval,Ubá,230.0
Itanhomi,Tarumirim,35.0
Caeté,Taquaraçu de Minas,15.0
Itajubá,Wenceslau Braz,98.0
Oratórios,Ponte Nova,127.0
Chapada do Norte,Coronel Murta,2.0
Capim Branco,Sete Lagoas,62.0
Alto Rio Doce,Cipotânea,44.0
Rubelita,Salinas,46.0
Sacramento,Serra do Salitre,12.0
Ipatinga,Nova Serrana,11.0
Cristália,Montes Claros,14.0
Além Paraíba,Volta Grande,60.0
Belo Oriente,Timóteo,14.0
Belmiro Braga,Juiz de Fora,74.0
Caeté,Sabará,125.0
Iapu,São João do Oriente,56.0
Mata Verde,Ponto dos Volantes,1.0
Lambari,Pouso Alegre,28.0
Alfenas,Fama,66.0
Alto Rio Doce,Desterro do Melo,68.0
Aracitaba,Oliveira Fortes,72.0
Carmo de Minas,São Lourenço,793.0
Casa Grande,Queluzito,60.0
Ladainha,Novo Cruzeiro,28.0
Matozinhos,Pedro Leopoldo,538.0
Aimorés,Ipanema,26.0
Antônio Prado de Minas,Tombos,63.0
Caparaó,Reduto,28.0
