data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,notif_accum_year
2017-12-31,201801,4.0,4,4,4,0.7202149999999999,35.439,0,1,3109907020180118031,2019-05-15,nan
2018-01-07,201802,3.0,3,3,3,0.563756,26.5793,0,1,3109907020180218031,2019-05-15,nan
2018-01-14,201803,5.0,5,5,5,0.7556470000000001,44.2988,0,1,3109907020180318031,2019-05-15,nan
2018-01-21,201804,4.0,4,4,4,0.554362,35.439,0,1,3109907020180418031,2019-05-15,nan
2018-01-28,201805,1.0,1,1,1,0.07416110000000001,8.85975,0,1,3109907020180518031,2019-05-15,nan
2018-02-04,201806,2.0,2,2,2,0.280814,17.7195,0,1,3109907020180618031,2019-05-15,nan
2018-02-11,201807,3.0,3,3,3,0.599751,26.5793,0,1,3109907020180718031,2019-05-15,nan
2018-02-18,201808,4.0,4,4,4,0.760367,35.439,0,1,3109907020180818031,2019-05-15,nan
2018-02-25,201809,7.0,7,7,7,0.900576,62.0182,0,1,3109907020180918031,2019-05-15,nan
2018-03-04,201810,0.0,0,0,0,0.0,0.0,0,1,3109907020181018031,2019-05-15,nan
2018-03-11,201811,2.0,2,2,2,0.21792899999999998,17.7195,0,1,3109907020181118031,2019-05-15,nan
2018-03-18,201812,5.0,5,5,5,0.785504,44.2988,0,1,3109907020181218031,2019-05-15,nan
2018-03-25,201813,1.0,1,1,1,0.168975,8.85975,0,1,3109907020181318031,2019-05-15,nan
2018-04-01,201814,3.0,3,3,3,0.5495479999999999,26.5793,0,1,3109907020181418031,2019-05-15,nan
2018-04-04,201815,1.0,1,1,1,0.180518,8.85975,0,1,3109907020181518031,2019-05-15,nan
2018-04-15,201816,2.0,2,2,2,0.48311499999999996,17.7195,0,1,3109907020181618031,2019-05-15,nan
2018-04-22,201817,3.0,3,3,3,0.704244,26.5793,0,1,3109907020181718031,2019-05-15,nan
2018-04-29,201818,1.0,1,1,1,0.257502,8.85975,0,1,3109907020181818031,2019-05-15,nan
2018-05-06,201819,0.0,0,0,0,0.0,0.0,0,1,3109907020181918031,2019-05-15,nan
