data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,notif_accum_year
2017-12-31,201801,4.0,4,4,4,0.556349,5.037719999999999,0,1,3120904020180118031,2019-05-15,nan
2018-01-07,201802,6.0,6,6,6,0.8336680000000001,7.55658,0,1,3120904020180218031,2019-05-15,nan
2018-01-14,201803,1.0,1,1,1,0.0902608,1.2594299999999998,0,1,3120904020180318031,2019-05-15,nan
2018-01-21,201804,7.0,7,7,7,0.8376120000000001,8.81601,0,1,3120904020180418031,2019-05-15,nan
2018-01-28,201805,6.0,6,6,6,0.717804,7.55658,0,1,3120904020180518031,2019-05-15,nan
2018-02-04,201806,5.0,5,5,5,0.50746,6.29715,0,1,3120904020180618031,2019-05-15,nan
2018-02-11,201807,4.0,4,4,4,0.32505700000000004,5.037719999999999,0,1,3120904020180718031,2019-05-15,nan
2018-02-18,201808,10.0,10,10,10,0.885217,12.5943,0,1,3120904020180818031,2019-05-15,nan
2018-02-25,201809,12.0,12,12,12,0.9087729999999999,15.1132,0,1,3120904020180918031,2019-05-15,nan
2018-03-04,201810,4.0,4,4,4,0.11692000000000001,5.037719999999999,0,1,3120904020181018031,2019-05-15,nan
2018-03-11,201811,4.0,4,4,4,0.11218199999999999,5.037719999999999,0,2,3120904020181118031,2019-05-15,nan
2018-03-18,201812,4.0,4,4,4,0.225306,5.037719999999999,0,2,3120904020181218031,2019-05-15,nan
2018-03-25,201813,6.0,6,6,6,0.64145,7.55658,0,1,3120904020181318031,2019-05-15,nan
2018-04-01,201814,6.0,6,6,6,0.660983,7.55658,0,1,3120904020181418031,2019-05-15,nan
2018-04-04,201815,6.0,6,6,6,0.5921390000000001,7.55658,0,1,3120904020181518031,2019-05-15,nan
2018-04-15,201816,4.0,4,4,4,0.300555,5.037719999999999,0,1,3120904020181618031,2019-05-15,nan
2018-04-22,201817,1.0,1,1,1,0.0315095,1.2594299999999998,0,1,3120904020181718031,2019-05-15,nan
2018-04-29,201818,0.0,0,0,0,0.0,0.0,0,1,3120904020181818031,2019-05-15,nan
2018-05-06,201819,1.0,1,1,1,0.259171,1.2594299999999998,0,1,3120904020181918031,2019-05-15,nan
2018-05-13,201820,2.0,2,2,2,0.7330479999999999,2.5188599999999997,0,1,3120904020182018031,2019-05-15,nan
2018-05-20,201821,2.0,2,2,2,0.71842,2.5188599999999997,0,1,3120904020182118031,2019-05-15,nan
2018-05-27,201822,0.0,0,0,0,0.0,0.0,0,1,3120904020182218031,2019-05-15,nan
2018-06-03,201823,1.0,1,1,1,0.405544,1.2594299999999998,0,1,3120904020182318031,2019-05-15,nan
2018-06-10,201824,3.0,3,3,3,0.8518479999999999,3.77829,0,1,3120904020182418031,2019-05-15,nan
2018-06-17,201825,0.0,0,0,0,0.0,0.0,0,1,3120904020182518031,2019-05-15,nan
2018-06-24,201826,1.0,1,1,1,0.39310300000000004,1.2594299999999998,0,1,3120904020182618031,2019-05-15,nan
2018-07-01,201827,1.0,1,1,1,0.46387700000000004,1.2594299999999998,0,1,3120904020182718031,2019-05-15,nan
2018-07-08,201828,1.0,1,1,1,0.530825,1.2594299999999998,0,1,3120904020182818031,2019-05-15,nan
2018-07-15,201829,4.0,4,4,4,0.91899,5.037719999999999,0,1,3120904020182918031,2019-05-15,nan
2018-07-22,201830,1.0,1,1,1,0.31277699999999997,1.2594299999999998,0,1,3120904020183018031,2019-05-15,nan
2018-07-29,201831,1.0,1,1,1,0.253449,1.2594299999999998,0,1,3120904020183118031,2019-05-15,nan
2018-08-05,201832,4.0,4,4,4,0.8216,5.037719999999999,0,1,3120904020183218031,2019-05-15,nan
2018-08-12,201833,1.0,1,1,1,0.261065,1.2594299999999998,0,1,3120904020183318031,2019-05-15,nan
2018-08-19,201834,1.0,1,1,1,0.245667,1.2594299999999998,0,1,3120904020183418031,2019-05-15,nan
2018-08-26,201835,2.0,2,2,2,0.551379,2.5188599999999997,0,1,3120904020183518031,2019-05-15,nan
2018-09-02,201836,0.0,0,0,0,0.0,0.0,0,1,3120904020183618031,2019-05-15,nan
2018-09-09,201837,4.0,4,4,4,0.896641,5.037719999999999,0,1,3120904020183718031,2019-05-15,nan
2018-09-16,201838,2.0,2,2,2,0.574702,2.5188599999999997,0,1,3120904020183818031,2019-05-15,nan
2018-09-23,201839,1.0,1,1,1,0.23907399999999998,1.2594299999999998,0,1,3120904020183918031,2019-05-15,nan
2018-09-30,201840,4.0,4,4,4,0.7823680000000001,5.037719999999999,0,1,3120904020184018031,2019-05-15,nan
2018-10-07,201841,5.0,5,5,5,0.8369,6.29715,0,1,3120904020184118031,2019-05-15,nan
