data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,notif_accum_year
2017-12-31,201801,9.0,9,9,9,0.497586,59.2963,0,2,3125705020180118031,2019-05-15,nan
2018-01-07,201802,8.0,8,8,8,0.487254,52.7079,0,2,3125705020180218031,2019-05-15,nan
2018-01-14,201803,4.0,4,4,4,0.141486,26.3539,0,2,3125705020180318031,2019-05-15,nan
2018-01-21,201804,1.0,1,1,1,0.0119442,6.588480000000001,0,1,3125705020180418031,2019-05-15,nan
2018-01-28,201805,0.0,0,0,0,0.0,0.0,0,1,3125705020180518031,2019-05-15,nan
2018-02-04,201806,3.0,3,3,3,0.624904,19.7654,0,1,3125705020180618031,2019-05-15,nan
2018-02-11,201807,2.0,2,2,2,0.602244,13.177,0,1,3125705020180718031,2019-05-15,nan
2018-02-18,201808,3.0,3,3,3,0.713281,19.7654,0,1,3125705020180818031,2019-05-15,nan
2018-02-25,201809,0.0,0,0,0,0.0,0.0,0,1,3125705020180918031,2019-05-15,nan
2018-03-04,201810,0.0,0,0,0,0.0,0.0,0,1,3125705020181018031,2019-05-15,nan
2018-03-11,201811,1.0,1,1,1,0.500918,6.588480000000001,0,1,3125705020181118031,2019-05-15,nan
2018-03-18,201812,0.0,0,0,0,0.0,0.0,0,1,3125705020181218031,2019-05-15,nan
2018-03-25,201813,0.0,0,0,0,0.0,0.0,0,1,3125705020181318031,2019-05-15,nan
2018-04-01,201814,1.0,1,1,1,0.8000729999999999,6.588480000000001,0,1,3125705020181418031,2019-05-15,nan
2018-04-04,201815,0.0,0,0,0,0.0,0.0,0,1,3125705020181518031,2019-05-15,nan
2018-04-15,201816,1.0,1,1,1,0.742282,6.588480000000001,0,1,3125705020181618031,2019-05-15,nan
2018-04-22,201817,1.0,1,1,1,0.6811119999999999,6.588480000000001,0,1,3125705020181718031,2019-05-15,nan
2018-04-29,201818,5.0,5,5,5,0.9651270000000001,32.9424,0,1,3125705020181818031,2019-05-15,nan
2018-05-06,201819,0.0,0,0,0,0.0,0.0,0,1,3125705020181918031,2019-05-15,nan
2018-05-13,201820,1.0,1,1,1,0.239108,6.588480000000001,0,1,3125705020182018031,2019-05-15,nan
2018-05-20,201821,0.0,0,0,0,0.0,0.0,0,1,3125705020182118031,2019-05-15,nan
2018-05-27,201822,0.0,0,0,0,0.0,0.0,0,1,3125705020182218031,2019-05-15,nan
2018-06-03,201823,0.0,0,0,0,0.0,0.0,0,1,3125705020182318031,2019-05-15,nan
2018-06-10,201824,0.0,0,0,0,0.0,0.0,0,1,3125705020182418031,2019-05-15,nan
2018-06-17,201825,0.0,0,0,0,0.0,0.0,0,1,3125705020182518031,2019-05-15,nan
2018-06-24,201826,0.0,0,0,0,0.0,0.0,0,1,3125705020182618031,2019-05-15,nan
2018-07-01,201827,0.0,0,0,0,0.0,0.0,0,1,3125705020182718031,2019-05-15,nan
2018-07-08,201828,0.0,0,0,0,0.0,0.0,0,1,3125705020182818031,2019-05-15,nan
2018-07-15,201829,0.0,0,0,0,0.0,0.0,0,1,3125705020182918031,2019-05-15,nan
2018-07-22,201830,0.0,0,0,0,0.0,0.0,0,1,3125705020183018031,2019-05-15,nan
2018-07-29,201831,0.0,0,0,0,0.0,0.0,0,1,3125705020183118031,2019-05-15,nan
2018-08-05,201832,0.0,0,0,0,0.0,0.0,0,1,3125705020183218031,2019-05-15,nan
2018-08-12,201833,0.0,0,0,0,0.0,0.0,0,1,3125705020183318031,2019-05-15,nan
2018-08-19,201834,0.0,0,0,0,0.0,0.0,0,1,3125705020183418031,2019-05-15,nan
2018-08-26,201835,0.0,0,0,0,0.0,0.0,0,1,3125705020183518031,2019-05-15,nan
2018-09-02,201836,0.0,0,0,0,0.0,0.0,0,1,3125705020183618031,2019-05-15,nan
