data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,notif_accum_year
2017-12-31,201801,0.0,0,0,0,0.0,0.0,0,1,3142502020180118031,2019-05-15,nan
2018-01-07,201802,1.0,1,1,1,0.9441219999999999,42.7533,0,1,3142502020180218031,2019-05-15,nan
2018-01-14,201803,0.0,0,0,0,0.0,0.0,0,1,3142502020180318031,2019-05-15,nan
2018-01-21,201804,2.0,2,2,2,0.884338,85.5066,0,1,3142502020180418031,2019-05-15,nan
2018-01-28,201805,0.0,0,0,0,0.0,0.0,0,1,3142502020180518031,2019-05-15,nan
2018-02-04,201806,0.0,0,0,0,0.0,0.0,0,1,3142502020180618031,2019-05-15,nan
2018-02-11,201807,0.0,0,0,0,0.0,0.0,0,1,3142502020180718031,2019-05-15,nan
2018-02-18,201808,1.0,1,1,1,0.840909,42.7533,0,1,3142502020180818031,2019-05-15,nan
2018-02-25,201809,0.0,0,0,0,0.0,0.0,0,1,3142502020180918031,2019-05-15,nan
2018-03-04,201810,2.0,2,2,2,0.8836709999999999,85.5066,0,1,3142502020181018031,2019-05-15,nan
2018-03-11,201811,0.0,0,0,0,0.0,0.0,0,1,3142502020181118031,2019-05-15,nan
2018-03-18,201812,3.0,3,3,3,0.875592,128.26,0,1,3142502020181218031,2019-05-15,nan
2018-03-25,201813,4.0,4,4,4,0.8784770000000001,171.013,0,1,3142502020181318031,2019-05-15,nan
2018-04-01,201814,0.0,0,0,0,0.0,0.0,0,1,3142502020181418031,2019-05-15,nan
2018-04-04,201815,0.0,0,0,0,0.0,0.0,0,1,3142502020181518031,2019-05-15,nan
2018-04-15,201816,0.0,0,0,0,0.0,0.0,0,1,3142502020181618031,2019-05-15,nan
2018-04-22,201817,1.0,1,1,1,0.7277819999999999,42.7533,0,1,3142502020181718031,2019-05-15,nan
2018-04-29,201818,0.0,0,0,0,0.0,0.0,0,1,3142502020181818031,2019-05-15,nan
2018-05-06,201819,0.0,0,0,0,0.0,0.0,0,1,3142502020181918031,2019-05-15,nan
2018-05-13,201820,1.0,1,1,1,0.8021510000000001,42.7533,0,1,3142502020182018031,2019-05-15,nan
2018-05-20,201821,0.0,0,0,0,0.0,0.0,0,1,3142502020182118031,2019-05-15,nan
2018-05-27,201822,1.0,1,1,1,0.742284,42.7533,0,1,3142502020182218031,2019-05-15,nan
2018-06-03,201823,0.0,0,0,0,0.0,0.0,0,1,3142502020182318031,2019-05-15,nan
2018-06-10,201824,0.0,0,0,0,0.0,0.0,0,1,3142502020182418031,2019-05-15,nan
2018-06-17,201825,0.0,0,0,0,0.0,0.0,0,1,3142502020182518031,2019-05-15,nan
2018-06-24,201826,0.0,0,0,0,0.0,0.0,0,1,3142502020182618031,2019-05-15,nan
2018-07-01,201827,0.0,0,0,0,0.0,0.0,0,1,3142502020182718031,2019-05-15,nan
2018-07-08,201828,1.0,1,1,1,0.943318,42.7533,0,1,3142502020182818031,2019-05-15,nan
2018-07-15,201829,0.0,0,0,0,0.0,0.0,0,1,3142502020182918031,2019-05-15,nan
2018-07-22,201830,0.0,0,0,0,0.0,0.0,0,1,3142502020183018031,2019-05-15,nan
2018-07-29,201831,0.0,0,0,0,0.0,0.0,0,1,3142502020183118031,2019-05-15,nan
2018-08-05,201832,1.0,1,1,1,0.891437,42.7533,0,1,3142502020183218031,2019-05-15,nan
2018-08-12,201833,0.0,0,0,0,0.0,0.0,0,1,3142502020183318031,2019-05-15,nan
2018-08-19,201834,0.0,0,0,0,0.0,0.0,0,1,3142502020183418031,2019-05-15,nan
2018-08-26,201835,0.0,0,0,0,0.0,0.0,0,1,3142502020183518031,2019-05-15,nan
2018-09-02,201836,0.0,0,0,0,0.0,0.0,0,1,3142502020183618031,2019-05-15,nan
2018-09-09,201837,0.0,0,0,0,0.0,0.0,0,1,3142502020183718031,2019-05-15,nan
2018-09-16,201838,0.0,0,0,0,0.0,0.0,0,1,3142502020183818031,2019-05-15,nan
2018-09-23,201839,0.0,0,0,0,0.0,0.0,0,1,3142502020183918031,2019-05-15,nan
2018-09-30,201840,0.0,0,0,0,0.0,0.0,0,1,3142502020184018031,2019-05-15,nan
2018-10-07,201841,0.0,0,0,0,0.0,0.0,0,1,3142502020184118031,2019-05-15,nan
2018-10-14,201842,0.0,0,0,0,0.0,0.0,0,1,3142502020184218031,2019-05-15,nan
2018-10-21,201843,0.0,0,0,0,0.0,0.0,0,1,3142502020184318031,2019-05-15,nan
2018-10-28,201844,0.0,0,0,0,0.0,0.0,0,1,3142502020184418031,2019-05-15,nan
2018-11-04,201845,0.0,0,0,0,0.0,0.0,0,1,3142502020184518031,2019-05-15,nan
2018-11-11,201846,0.0,0,0,0,0.0,0.0,0,1,3142502020184618031,2019-05-15,nan
2018-11-18,201847,2.0,2,2,2,0.965335,85.5066,0,1,3142502020184718031,2019-05-15,nan
2018-11-25,201848,0.0,0,0,0,0.0,0.0,0,1,3142502020184818031,2019-05-15,nan
2018-12-02,201849,0.0,0,0,0,0.0,0.0,0,1,3142502020184918031,2019-05-15,nan
2018-12-09,201850,0.0,0,0,0,0.0,0.0,0,1,3142502020185018031,2019-05-15,nan
2018-12-16,201851,0.0,0,0,0,0.0,0.0,0,1,3142502020185118031,2019-05-15,nan
2018-12-23,201852,0.0,0,0,0,0.0,0.0,0,1,3142502020185218031,2019-05-15,nan
2018-12-30,201901,0.0,0,0,0,0.0,0.0,0,1,3142502020190118031,2019-05-15,nan
2019-01-06,201902,4.0,4,4,4,0.987308,171.013,0,1,3142502020190218031,2019-05-15,nan
2019-01-13,201903,2.0,2,2,2,0.721626,85.5066,0,1,3142502020190318031,2019-05-15,nan
2019-01-20,201904,0.0,0,0,0,0.0,0.0,0,1,3142502020190418031,2019-05-15,nan
2019-01-27,201905,1.0,1,1,1,0.310463,42.7533,0,1,3142502020190518031,2019-05-15,nan
2019-02-03,201906,0.0,0,0,0,0.0,0.0,0,1,3142502020190618031,2019-05-15,nan
2019-02-10,201907,0.0,0,0,0,0.0,0.0,0,1,3142502020190718031,2019-05-15,nan
2019-02-17,201908,1.0,1,1,1,0.7834,42.7533,0,1,3142502020190818031,2019-05-15,nan
2019-02-24,201909,0.0,0,0,0,0.0,0.0,0,1,3142502020190918031,2019-05-15,nan
2019-03-03,201910,0.0,0,0,0,0.0,0.0,0,1,3142502020191018031,2019-05-15,nan
2019-03-10,201911,1.0,1,1,1,0.801563,42.7533,0,1,3142502020191118031,2019-05-15,nan
2019-03-17,201912,1.0,1,1,1,0.75745,42.7533,0,1,3142502020191218031,2019-05-15,nan
2019-03-24,201913,0.0,0,0,0,0.0,0.0,0,1,3142502020191318031,2019-05-15,nan
2019-03-31,201914,4.0,4,4,4,0.9469219999999999,171.013,0,1,3142502020191418031,2019-05-15,nan
2019-04-07,201915,7.0,7,8,7,0.971017,299.27299999999997,0,1,3142502020191518031,2019-05-15,nan
2019-04-14,201916,3.0,3,3,3,0.445795,128.26,0,1,3142502020191618031,2019-05-15,nan
2019-04-21,201917,8.0,7,9,7,0.836493,342.027,0,1,3142502020191718031,2019-05-15,nan
