data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,notif_accum_year
2017-12-31,201801,0.0,0,0,0,0.0,0.0,0,1,3143500020180118031,2019-05-15,nan
2018-01-07,201802,1.0,1,1,1,0.823319,11.3469,0,1,3143500020180218031,2019-05-15,nan
2018-01-14,201803,1.0,1,1,1,0.784736,11.3469,0,1,3143500020180318031,2019-05-15,nan
2018-01-21,201804,2.0,2,2,2,0.8213870000000001,22.6937,0,1,3143500020180418031,2019-05-15,nan
2018-01-28,201805,0.0,0,0,0,0.0,0.0,0,1,3143500020180518031,2019-05-15,nan
2018-02-04,201806,0.0,0,0,0,0.0,0.0,0,1,3143500020180618031,2019-05-15,nan
2018-02-11,201807,0.0,0,0,0,0.0,0.0,0,1,3143500020180718031,2019-05-15,nan
2018-02-18,201808,2.0,2,2,2,0.922507,22.6937,0,1,3143500020180818031,2019-05-15,nan
2018-02-25,201809,1.0,1,1,1,0.667432,11.3469,0,1,3143500020180918031,2019-05-15,nan
2018-03-04,201810,1.0,1,1,1,0.505101,11.3469,0,1,3143500020181018031,2019-05-15,nan
2018-03-11,201811,0.0,0,0,0,0.0,0.0,0,1,3143500020181118031,2019-05-15,nan
2018-03-18,201812,1.0,1,1,1,0.567986,11.3469,0,1,3143500020181218031,2019-05-15,nan
2018-03-25,201813,3.0,3,3,3,0.9026790000000001,34.0406,0,1,3143500020181318031,2019-05-15,nan
2018-04-01,201814,1.0,1,1,1,0.42922200000000005,11.3469,0,1,3143500020181418031,2019-05-15,nan
2018-04-04,201815,9.0,9,9,9,0.9856090000000001,102.12200000000001,0,1,3143500020181518031,2019-05-15,nan
2018-04-15,201816,10.0,10,10,10,0.9515610000000001,113.469,0,1,3143500020181618031,2019-05-15,nan
2018-04-22,201817,17.0,17,17,17,0.979618,192.89700000000002,0,3,3143500020181718031,2019-05-15,nan
2018-04-29,201818,12.0,12,12,12,0.621715,136.162,0,4,3143500020181818031,2019-05-15,nan
2018-05-06,201819,8.0,8,8,8,0.166605,90.775,0,2,3143500020181918031,2019-05-15,nan
