data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,notif_accum_year
2017-12-31,201801,0.0,0,0,0,0.0,0.0,0,1,3152006020180118031,2019-05-15,nan
2018-01-07,201802,1.0,1,1,1,0.42463900000000004,3.1846099999999997,0,1,3152006020180218031,2019-05-15,nan
2018-01-14,201803,0.0,0,0,0,0.0,0.0,0,1,3152006020180318031,2019-05-15,nan
2018-01-21,201804,2.0,2,2,2,0.871215,6.369219999999999,0,1,3152006020180418031,2019-05-15,nan
2018-01-28,201805,3.0,3,3,3,0.882108,9.55384,0,1,3152006020180518031,2019-05-15,nan
2018-02-04,201806,3.0,3,3,3,0.745715,9.55384,0,1,3152006020180618031,2019-05-15,nan
2018-02-11,201807,1.0,1,1,1,0.207402,3.1846099999999997,0,1,3152006020180718031,2019-05-15,nan
2018-02-18,201808,0.0,0,0,0,0.0,0.0,0,1,3152006020180818031,2019-05-15,nan
2018-02-25,201809,0.0,0,0,0,0.0,0.0,0,1,3152006020180918031,2019-05-15,nan
2018-03-04,201810,2.0,2,2,2,0.832147,6.369219999999999,0,1,3152006020181018031,2019-05-15,nan
2018-03-11,201811,1.0,1,1,1,0.62268,3.1846099999999997,0,1,3152006020181118031,2019-05-15,nan
2018-03-18,201812,1.0,1,1,1,0.49952799999999997,3.1846099999999997,0,1,3152006020181218031,2019-05-15,nan
2018-03-25,201813,2.0,2,2,2,0.6952520000000001,6.369219999999999,0,1,3152006020181318031,2019-05-15,nan
2018-04-01,201814,1.0,1,1,1,0.410091,3.1846099999999997,0,1,3152006020181418031,2019-05-15,nan
2018-04-04,201815,0.0,0,0,0,0.0,0.0,0,1,3152006020181518031,2019-05-15,nan
2018-04-15,201816,1.0,1,1,1,0.505129,3.1846099999999997,0,1,3152006020181618031,2019-05-15,nan
2018-04-22,201817,4.0,4,4,4,0.9391290000000001,12.7384,0,1,3152006020181718031,2019-05-15,nan
2018-04-29,201818,0.0,0,0,0,0.0,0.0,0,1,3152006020181818031,2019-05-15,nan
2018-05-06,201819,0.0,0,0,0,0.0,0.0,0,1,3152006020181918031,2019-05-15,nan
2018-05-13,201820,0.0,0,0,0,0.0,0.0,0,1,3152006020182018031,2019-05-15,nan
