data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,notif_accum_year
2017-12-31,201801,14.0,14,14,14,0.252728,5.97726,0,1,3167202020180118031,2019-05-15,nan
2018-01-07,201802,39.0,39,39,39,0.9975799999999999,16.6509,0,1,3167202020180218031,2019-05-15,nan
2018-01-14,201803,51.0,51,51,51,0.9994770000000001,21.7743,0,1,3167202020180318031,2019-05-15,nan
2018-01-21,201804,52.0,52,52,52,0.97529,22.2013,0,3,3167202020180418031,2019-05-15,nan
2018-01-28,201805,25.0,25,25,25,0.0188892,10.6737,0,2,3167202020180518031,2019-05-15,nan
2018-02-04,201806,22.0,22,22,22,0.00900915,9.39284,0,2,3167202020180618031,2019-05-15,nan
2018-02-11,201807,17.0,17,17,17,0.0150201,7.2581,0,2,3167202020180718031,2019-05-15,nan
2018-02-18,201808,26.0,26,26,26,0.587493,11.1006,0,2,3167202020180818031,2019-05-15,nan
2018-02-25,201809,29.0,29,29,29,0.830148,12.3815,0,2,3167202020180918031,2019-05-15,nan
2018-03-04,201810,19.0,19,19,19,0.252717,8.112,0,2,3167202020181018031,2019-05-15,nan
2018-03-11,201811,26.0,26,26,26,0.6048,11.1006,0,2,3167202020181118031,2019-05-15,nan
2018-03-18,201812,22.0,22,22,22,0.411508,9.39284,0,2,3167202020181218031,2019-05-15,nan
2018-03-25,201813,18.0,18,18,18,0.23378400000000002,7.68505,0,2,3167202020181318031,2019-05-15,nan
2018-04-01,201814,15.0,15,15,15,0.157966,6.40421,0,1,3167202020181418031,2019-05-15,nan
2018-04-04,201815,11.0,11,11,11,0.0908172,4.69642,0,1,3167202020181518031,2019-05-15,nan
2018-04-15,201816,8.0,8,8,8,0.0745559,3.4155800000000003,0,1,3167202020181618031,2019-05-15,nan
2018-04-22,201817,3.0,3,3,3,0.010305799999999999,1.28084,0,1,3167202020181718031,2019-05-15,nan
2018-04-29,201818,4.0,4,4,4,0.12251600000000001,1.7077900000000001,0,1,3167202020181818031,2019-05-15,nan
2018-05-06,201819,4.0,4,4,4,0.327088,1.7077900000000001,0,1,3167202020181918031,2019-05-15,nan
2018-05-13,201820,5.0,5,5,5,0.604252,2.1347400000000003,0,1,3167202020182018031,2019-05-15,nan
2018-05-20,201821,4.0,4,4,4,0.477025,1.7077900000000001,0,1,3167202020182118031,2019-05-15,nan
2018-05-27,201822,1.0,1,1,1,0.062029499999999994,0.426947,0,1,3167202020182218031,2019-05-15,nan
2018-06-03,201823,0.0,0,0,0,0.0,0.0,0,1,3167202020182318031,2019-05-15,nan
2018-06-10,201824,2.0,2,2,2,0.518804,0.853894,0,1,3167202020182418031,2019-05-15,nan
2018-06-17,201825,2.0,2,2,2,0.675195,0.853894,0,1,3167202020182518031,2019-05-15,nan
2018-06-24,201826,2.0,2,2,2,0.63176,0.853894,0,1,3167202020182618031,2019-05-15,nan
2018-07-01,201827,4.0,4,4,4,0.818882,1.7077900000000001,0,1,3167202020182718031,2019-05-15,nan
2018-07-08,201828,0.0,0,0,0,0.0,0.0,0,1,3167202020182818031,2019-05-15,nan
2018-07-15,201829,3.0,3,3,3,0.640155,1.28084,0,1,3167202020182918031,2019-05-15,nan
2018-07-22,201830,2.0,2,2,2,0.49826000000000004,0.853894,0,1,3167202020183018031,2019-05-15,nan
2018-07-29,201831,4.0,4,4,4,0.7883399999999999,1.7077900000000001,0,1,3167202020183118031,2019-05-15,nan
2018-08-05,201832,1.0,1,1,1,0.18258,0.426947,0,1,3167202020183218031,2019-05-15,nan
2018-08-12,201833,3.0,3,3,3,0.584086,1.28084,0,1,3167202020183318031,2019-05-15,nan
2018-08-19,201834,5.0,5,5,5,0.8236979999999999,2.1347400000000003,0,1,3167202020183418031,2019-05-15,nan
2018-08-26,201835,1.0,1,1,1,0.138266,0.426947,0,1,3167202020183518031,2019-05-15,nan
2018-09-02,201836,4.0,4,4,4,0.6437890000000001,1.7077900000000001,0,1,3167202020183618031,2019-05-15,nan
2018-09-09,201837,9.0,9,9,9,0.951174,3.8425199999999995,0,1,3167202020183718031,2019-05-15,nan
2018-09-16,201838,4.0,4,4,4,0.43253199999999997,1.7077900000000001,0,1,3167202020183818031,2019-05-15,nan
2018-09-23,201839,4.0,4,4,4,0.320302,1.7077900000000001,0,1,3167202020183918031,2019-05-15,nan
2018-09-30,201840,5.0,5,5,5,0.480284,2.1347400000000003,0,1,3167202020184018031,2019-05-15,nan
2018-10-07,201841,2.0,2,2,2,0.150273,0.853894,0,1,3167202020184118031,2019-05-15,nan
2018-10-14,201842,2.0,2,2,2,0.21863200000000002,0.853894,0,1,3167202020184218031,2019-05-15,nan
2018-10-21,201843,6.0,6,6,6,0.8345,2.56168,0,1,3167202020184318031,2019-05-15,nan
2018-10-28,201844,4.0,4,4,4,0.5995739999999999,1.7077900000000001,0,1,3167202020184418031,2019-05-15,nan
2018-11-04,201845,1.0,1,1,1,0.0752911,0.426947,0,1,3167202020184518031,2019-05-15,nan
2018-11-11,201846,2.0,2,2,2,0.263442,0.853894,0,1,3167202020184618031,2019-05-15,nan
2018-11-18,201847,8.0,8,8,8,0.948311,3.4155800000000003,0,1,3167202020184718031,2019-05-15,nan
2018-11-25,201848,4.0,4,4,4,0.571458,1.7077900000000001,0,1,3167202020184818031,2019-05-15,nan
2018-12-02,201849,5.0,5,5,5,0.549183,2.1347400000000003,0,1,3167202020184918031,2019-05-15,nan
2018-12-09,201850,4.0,4,4,4,0.375608,1.7077900000000001,0,1,3167202020185018031,2019-05-15,nan
2018-12-16,201851,0.0,0,0,0,0.0,0.0,0,1,3167202020185118031,2019-05-15,nan
2018-12-23,201852,0.0,0,0,0,0.0,0.0,0,1,3167202020185218031,2019-05-15,nan
2018-12-30,201901,7.0,7,7,7,0.9647100000000001,2.98863,0,1,3167202020190118031,2019-05-15,nan
2019-01-06,201902,15.0,15,15,15,0.998287,6.40421,0,1,3167202020190218031,2019-05-15,nan
2019-01-13,201903,17.0,17,17,17,0.9786090000000001,7.2581,0,1,3167202020190318031,2019-05-15,nan
2019-01-20,201904,31.0,31,32,31,0.996959,13.2354,0,3,3167202020190418031,2019-05-15,nan
2019-01-27,201905,60.0,58,60,58,0.999991,25.6168,0,3,3167202020190518031,2019-05-15,nan
2019-02-03,201906,74.0,72,75,71,0.9998879999999999,31.5941,0,3,3167202020190618031,2019-05-15,nan
2019-02-10,201907,107.0,104,108,101,0.9999809999999999,45.6833,0,3,3167202020190718031,2019-05-15,nan
2019-02-17,201908,120.0,115,122,113,0.999075,51.2337,0,4,3167202020190818031,2019-05-15,nan
2019-02-24,201909,128.0,123,130,119,0.980247,54.6492,0,4,3167202020190918031,2019-05-15,nan
2019-03-03,201910,106.0,102,108,98,0.368395,45.2564,0,4,3167202020191018031,2019-05-15,nan
2019-03-10,201911,189.0,182,191,170,0.999944,80.693,0,4,3167202020191118031,2019-05-15,nan
2019-03-17,201912,257.0,249,260,226,1.0,109.725,0,4,3167202020191218031,2019-05-15,nan
2019-03-24,201913,410.0,399,413,350,1.0,175.048,0,4,3167202020191318031,2019-05-15,nan
2019-03-31,201914,678.0,661,682,557,1.0,289.47,0,4,3167202020191418031,2019-05-15,nan
