data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,notif_accum_year
2017-12-31,201801,0.0,0,0,0,0.0,0.0,0,1,3169356020180118031,2019-05-15,nan
2018-01-07,201802,0.0,0,0,0,0.0,0.0,0,1,3169356020180218031,2019-05-15,nan
2018-01-14,201803,2.0,2,2,2,0.965335,6.37633,0,1,3169356020180318031,2019-05-15,nan
2018-01-21,201804,0.0,0,0,0,0.0,0.0,0,1,3169356020180418031,2019-05-15,nan
2018-01-28,201805,1.0,1,1,1,0.59551,3.18817,0,1,3169356020180518031,2019-05-15,nan
2018-02-04,201806,1.0,1,1,1,0.579276,3.18817,0,1,3169356020180618031,2019-05-15,nan
2018-02-11,201807,2.0,2,2,2,0.777315,6.37633,0,1,3169356020180718031,2019-05-15,nan
2018-02-18,201808,0.0,0,0,0,0.0,0.0,0,1,3169356020180818031,2019-05-15,nan
2018-02-25,201809,0.0,0,0,0,0.0,0.0,0,1,3169356020180918031,2019-05-15,nan
2018-03-04,201810,2.0,2,2,2,0.8220850000000001,6.37633,0,1,3169356020181018031,2019-05-15,nan
2018-03-11,201811,1.0,1,1,1,0.601051,3.18817,0,1,3169356020181118031,2019-05-15,nan
2018-03-18,201812,4.0,4,4,4,0.909749,12.7527,0,1,3169356020181218031,2019-05-15,nan
2018-03-25,201813,4.0,4,4,4,0.801244,12.7527,0,1,3169356020181318031,2019-05-15,nan
2018-04-01,201814,8.0,8,8,8,0.9284120000000001,25.5053,0,1,3169356020181418031,2019-05-15,nan
2018-04-04,201815,22.0,22,22,22,0.999179,70.1396,0,1,3169356020181518031,2019-05-15,nan
2018-04-15,201816,14.0,14,14,14,0.779459,44.6343,0,4,3169356020181618031,2019-05-15,nan
2018-04-22,201817,20.0,20,20,20,0.827411,63.7633,0,4,3169356020181718031,2019-05-15,nan
2018-04-29,201818,5.0,5,5,5,0.0069699,15.9408,0,2,3169356020181818031,2019-05-15,nan
2018-05-06,201819,6.0,6,6,6,0.038283,19.129,0,2,3169356020181918031,2019-05-15,nan
2018-05-13,201820,17.0,17,17,17,0.890099,54.1988,0,2,3169356020182018031,2019-05-15,nan
2018-05-20,201821,9.0,9,9,9,0.42513500000000004,28.6935,0,2,3169356020182118031,2019-05-15,nan
2018-05-27,201822,1.0,1,1,1,0.000987213,3.18817,0,2,3169356020182218031,2019-05-15,nan
2018-06-03,201823,2.0,2,2,2,0.0197235,6.37633,0,1,3169356020182318031,2019-05-15,nan
