# data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,notif_accum_year
2017-01-01,201701,1.0,1,1,1,0.802279,4.24196,0,1,3100203020170117996,2019-04-10,nan
2017-01-08,201702,3.0,3,3,3,0.904968,12.7259,0,2,3100203020170217996,2019-04-10,nan
2017-01-15,201703,6.0,6,6,6,0.9514969999999999,25.4518,0,2,3100203020170317996,2019-04-10,nan
2017-01-22,201704,1.0,1,1,1,0.14282899999999998,4.24196,0,1,3100203020170417996,2019-04-10,nan
2017-01-29,201705,1.0,1,1,1,0.11543699999999998,4.24196,0,1,3100203020170517996,2019-04-10,nan
2017-02-05,201706,1.0,1,1,1,0.199655,4.24196,0,2,3100203020170617996,2019-04-10,nan
2017-02-12,201707,2.0,2,2,2,0.616037,8.48392,0,2,3100203020170717996,2019-04-10,nan
2017-02-19,201708,0.0,0,0,0,0.0,0.0,0,1,3100203020170817996,2019-04-10,nan
2017-02-26,201709,0.0,0,0,0,0.0,0.0,0,1,3100203020170917996,2019-04-10,nan
2017-03-05,201710,2.0,2,2,2,0.821678,8.48392,0,1,3100203020171017996,2019-04-10,nan
2017-03-12,201711,0.0,0,0,0,0.0,0.0,0,1,3100203020171117996,2019-04-10,nan
2017-03-19,201712,0.0,0,0,0,0.0,0.0,0,1,3100203020171217996,2019-04-10,nan
2017-03-26,201713,0.0,0,0,0,0.0,0.0,0,1,3100203020171317996,2019-04-10,nan
2017-04-02,201714,0.0,0,0,0,0.0,0.0,0,1,3100203020171417996,2019-04-10,nan
2017-04-09,201715,0.0,0,0,0,0.0,0.0,0,1,3100203020171517996,2019-04-10,nan
2017-04-16,201716,0.0,0,0,0,0.0,0.0,0,1,3100203020171617996,2019-04-10,nan
2017-04-23,201717,0.0,0,0,0,0.0,0.0,0,1,3100203020171717996,2019-04-10,nan
2017-04-30,201718,1.0,1,1,1,0.9441579999999999,4.24196,0,1,3100203020171817996,2019-04-10,nan
2017-05-07,201719,0.0,0,0,0,0.0,0.0,0,1,3100203020171917996,2019-04-10,nan
2017-05-14,201720,0.0,0,0,0,0.0,0.0,0,1,3100203020172017996,2019-04-10,nan
2017-05-21,201721,1.0,1,1,1,0.802279,4.24196,0,1,3100203020172117996,2019-04-10,nan
2017-05-28,201722,0.0,0,0,0,0.0,0.0,0,1,3100203020172217996,2019-04-10,nan
2017-06-04,201723,0.0,0,0,0,0.0,0.0,0,1,3100203020172317996,2019-04-10,nan
2017-06-11,201724,0.0,0,0,0,0.0,0.0,0,1,3100203020172417996,2019-04-10,nan
2017-06-18,201725,0.0,0,0,0,0.0,0.0,0,1,3100203020172517996,2019-04-10,nan
2017-06-25,201726,0.0,0,0,0,0.0,0.0,0,1,3100203020172617996,2019-04-10,nan
2017-07-02,201727,0.0,0,0,0,0.0,0.0,0,1,3100203020172717996,2019-04-10,nan
2017-07-09,201728,1.0,1,1,1,0.9441219999999999,4.24196,0,1,3100203020172817996,2019-04-10,nan
2017-07-16,201729,0.0,0,0,0,0.0,0.0,0,1,3100203020172917996,2019-04-10,nan
2017-07-23,201730,0.0,0,0,0,0.0,0.0,0,1,3100203020173017996,2019-04-10,nan
2017-07-30,201731,2.0,2,2,2,0.909248,8.48392,0,1,3100203020173117996,2019-04-10,nan
2017-08-06,201732,0.0,0,0,0,0.0,0.0,0,1,3100203020173217996,2019-04-10,nan
2017-08-13,201733,0.0,0,0,0,0.0,0.0,0,1,3100203020173317996,2019-04-10,nan
2017-08-20,201734,0.0,0,0,0,0.0,0.0,0,1,3100203020173417996,2019-04-10,nan
2017-08-27,201735,0.0,0,0,0,0.0,0.0,0,1,3100203020173517996,2019-04-10,nan
2017-09-03,201736,0.0,0,0,0,0.0,0.0,0,1,3100203020173617996,2019-04-10,nan
2017-09-10,201737,0.0,0,0,0,0.0,0.0,0,1,3100203020173717996,2019-04-10,nan
2017-09-17,201738,0.0,0,0,0,0.0,0.0,0,1,3100203020173817996,2019-04-10,nan
2017-09-24,201739,0.0,0,0,0,0.0,0.0,0,1,3100203020173917996,2019-04-10,nan
2017-10-01,201740,0.0,0,0,0,0.0,0.0,0,1,3100203020174017996,2019-04-10,nan
2017-10-08,201741,0.0,0,0,0,0.0,0.0,0,1,3100203020174117996,2019-04-10,nan
2017-10-15,201742,0.0,0,0,0,0.0,0.0,0,1,3100203020174217996,2019-04-10,nan
2017-10-22,201743,0.0,0,0,0,0.0,0.0,0,1,3100203020174317996,2019-04-10,nan
2017-10-29,201744,0.0,0,0,0,0.0,0.0,0,1,3100203020174417996,2019-04-10,nan
2017-11-05,201745,0.0,0,0,0,0.0,0.0,0,1,3100203020174517996,2019-04-10,nan
2017-11-12,201746,1.0,1,1,1,0.944159,4.24196,0,1,3100203020174617996,2019-04-10,nan
2017-11-19,201747,0.0,0,0,0,0.0,0.0,0,1,3100203020174717996,2019-04-10,nan
2017-11-26,201748,0.0,0,0,0,0.0,0.0,0,1,3100203020174817996,2019-04-10,nan
2017-12-03,201749,0.0,0,0,0,0.0,0.0,0,1,3100203020174917996,2019-04-10,nan
2017-12-10,201750,0.0,0,0,0,0.0,0.0,0,1,3100203020175017996,2019-04-10,nan
2017-12-17,201751,0.0,0,0,0,0.0,0.0,0,1,3100203020175117996,2019-04-10,nan
2017-12-24,201752,0.0,0,0,0,0.0,0.0,0,1,3100203020175217996,2019-04-10,nan
2017-12-31,201801,1.0,1,1,1,0.9441219999999999,4.24196,0,1,3100203020180117996,2019-04-10,nan
2018-01-07,201802,1.0,1,1,1,0.8022779999999999,4.24196,0,1,3100203020180217996,2019-04-10,nan
2018-01-14,201803,1.0,1,1,1,0.637158,4.24196,0,1,3100203020180317996,2019-04-10,nan
2018-01-21,201804,0.0,0,0,0,0.0,0.0,0,1,3100203020180417996,2019-04-10,nan
2018-01-28,201805,2.0,2,2,2,0.7997449999999999,8.48392,0,1,3100203020180517996,2019-04-10,nan
