@RELATION info_dengue

@ATTRIBUTE casos      NUMERIC
@ATTRIBUTE p_rt1      NUMERIC
@ATTRIBUTE p_inc100k  NUMERIC
@ATTRIBUTE nivel      {1,2,3,4}

@DATA
1,0.9441219999999999,4.24196,1
1,0.8022779999999999,4.24196,1
1,0.637158,4.24196,1
0,0.0,0.0,1
2,0.7997449999999999,8.48392,1
2,0.758621,8.48392,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
2,0.919201,8.48392,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.925233,4.24196,1
1,0.800851,4.24196,1
1,0.637109,4.24196,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.749849,4.24196,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.944159,4.24196,1
1,0.802279,4.24196,1
0,0.0,0.0,1
2,0.82211,8.48392,1
1,0.546929,4.24196,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
2,0.965335,8.48392,1
2,0.8482200000000001,8.48392,1
2,0.669964,8.48392,1
3,0.716155,12.7259,1
9,0.974303,38.1777,1
8,0.8537299999999999,33.9357,1
6,0.46807,25.4518,1
12,0.8547879999999999,50.9035,1
12,0.7869520000000001,50.9035,4
14,0.831945,63.6294,4
22,0.968117,101.807,4
39,0.999791,195.13,4
43,0.998229,229.06599999999997,4
90,1.0,526.003,4
52,0.863886,339.35699999999997,4
0,0.0,0.0,2
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.944159,42.3549,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.944159,42.3549,1
0,0.0,0.0,1
2,0.884338,84.7099,1
0,0.0,0.0,1
1,0.562257,42.3549,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.9441219999999999,19.8728,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.9346479999999999,19.8728,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.943319,19.8728,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.891437,19.8728,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.944159,19.8728,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
3,0.978987,59.6184,1
1,0.579276,19.8728,1
0,0.0,0.0,1
3,0.8244819999999999,59.6184,1
2,0.6560020000000001,39.7456,1
6,0.9314209999999999,119.23700000000001,1
3,0.49193000000000003,59.6184,1
2,0.23266799999999999,39.7456,1
6,0.794112,119.23700000000001,1
12,0.9849690000000001,258.347,1
4,0.236367,79.4913,1
18,0.9863959999999999,397.45599999999996,1
12,0.745449,278.219,4
33,0.9999180000000001,874.404,4
27,0.9817610000000001,794.913,4
35,0.999044,1291.73,4
0,0.0,0.0,1
1,0.30134099999999997,12.4054,1
2,0.634463,24.8108,1
1,0.425525,12.4054,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.5,0.0,1
0,0.5,0.0,1
0,0.5,0.0,1
1,0.944159,12.4054,1
1,0.802279,12.4054,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.757479,12.4054,1
2,0.884343,24.8108,1
1,0.5354800000000001,12.4054,1
8,0.984958,99.2433,1
6,0.828944,74.4324,1
3,0.254112,37.2162,1
2,0.11823399999999999,24.8108,1
2,0.216703,24.8108,1
6,0.907691,86.8379,1
12,0.994553,186.081,1
7,0.668788,111.649,1
13,0.977719,272.91900000000004,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.944159,38.0228,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.944159,38.0228,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.944159,38.0228,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.944159,38.0228,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
3,0.978987,114.068,1
2,0.785,76.0456,1
3,0.742912,114.068,1
1,0.22416599999999998,38.0228,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.944159,9.441089999999999,1
0,0.0,0.0,1
1,0.749838,9.441089999999999,1
1,0.681719,9.441089999999999,1
3,0.891749,28.3233,1
3,0.777688,28.3233,1
1,0.232589,9.441089999999999,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
2,0.965335,18.8822,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
5,0.992334,47.2054,1
3,0.798951,28.3233,1
10,0.9766440000000001,94.4109,1
8,0.789309,75.5287,1
8,0.60618,75.5287,1
8,0.513034,75.5287,1
4,0.13259100000000001,37.7644,1
3,0.11208399999999999,28.3233,1
6,0.597492,56.6465,1
9,0.8746149999999999,84.9698,1
14,0.9708110000000001,141.616,1
9,0.5010140000000001,84.9698,1
10,0.5284439999999999,103.852,1
34,0.999964,396.526,4
36,0.9995430000000001,453.17199999999997,4
8,0.00125382,103.852,4
5,3.38675e-05,66.0876,2
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.944159,26.9107,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.944159,26.9107,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.944159,26.9107,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.944159,26.9107,1
0,0.0,0.0,1
1,0.749838,26.9107,1
1,0.681719,26.9107,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
0,0.0,0.0,1
3,0.9773790000000001,80.732,1
2,0.784637,53.8213,1
3,0.7429,80.732,1
4,0.75085,107.64299999999999,1
6,0.8402,161.464,1
7,0.8633540000000001,215.285,1
5,0.5493279999999999,161.464,1
2,0.0616996,53.8213,1
4,0.7202149999999999,35.439,1
3,0.563756,26.5793,1
5,0.7556470000000001,44.2988,1
4,0.554362,35.439,1
1,0.07416110000000001,8.85975,1
2,0.280814,17.7195,1
3,0.599751,26.5793,1
4,0.760367,35.439,1
7,0.900576,62.0182,1
0,0.0,0.0,1
2,0.21792899999999998,17.7195,1
5,0.785504,44.2988,1
1,0.168975,8.85975,1
3,0.5495479999999999,26.5793,1
1,0.180518,8.85975,1
2,0.48311499999999996,17.7195,1
3,0.704244,26.5793,1
1,0.257502,8.85975,1
0,0.0,0.0,1
0,0.0,0.0,1
1,0.661042,8.85975,1
