casos,p_rt1,p_inc100k,nivel
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,18,1
16,0,319,1
20,0,413,4
9,0,169,2
5,0,94,2
9,0,188,2
1,0,18,2
30,1,827,2
0,0,0,2
0,0,0,1
1,0,22,1
2,0,45,1
1,0,22,1
0,0,0,1
1,0,22,1
0,0,0,1
0,0,0,1
5,0,114,1
0,0,0,1
1,0,22,1
7,0,160,1
2,0,45,1
17,0,389,1
11,0,251,4
5,0,114,2
2,0,45,2
2,0,45,2
5,0,114,1
1,0,22,1
2,0,45,1
2,0,45,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,22,1
0,0,0,1
1,0,22,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,22,1
2,0,45,1
1,0,22,2
5,0,114,2
8,0,183,2
10,0,228,2
13,0,297,4
16,0,366,4
3,0,68,2
28,0,686,2
5,0,114,2
37,0,961,2
22,0,572,4
26,0,732,4
40,0,1235,4
27,0,892,4
4,0,137,2
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
3,0,114,1
0,0,0,1
0,0,0,1
0,0,0,1
8,0,306,1
4,0,153,1
3,0,114,1
5,0,229,1
8,0,382,1
7,0,421,4
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,9,1
0,0,0,1
1,0,9,1
1,0,9,1
3,0,28,1
3,0,28,1
1,0,9,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
2,0,18,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
5,0,47,1
3,0,28,1
10,0,94,1
8,0,75,1
8,0,75,1
8,0,75,1
4,0,37,1
3,0,28,1
6,0,56,1
9,0,84,1
14,0,141,1
9,0,84,1
10,0,103,1
34,0,396,4
36,0,453,4
8,0,103,4
5,0,66,2
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,21,1
1,0,21,1
0,0,0,1
1,0,21,1
0,0,0,1
2,0,42,1
0,0,0,1
0,0,0,1
1,0,21,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,21,1
1,0,21,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,21,1
2,0,42,1
0,0,0,1
1,0,21,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,21,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,0,21,1
1,0,21,1
0,0,0,1
1,0,21,1
1,0,21,1
2,0,42,1
1,0,21,1
2,0,42,1
5,0,107,1
1,0,21,1
3,0,64,1
7,0,150,1
15,0,364,1
2,0,42,1
22,0,621,1
12,0,364,4
3,0,85,2
0,0,0,1
0,0,0,1
0,0,0,1
1,0,4,1
1,0,4,1
0,0,0,1
1,0,4,1
1,0,4,1
0,0,0,1
1,0,4,1
1,0,4,1
0,0,0,1
1,0,4,1
