freq,casos,p_rt1,p_inc100k,nivel
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,0,0,0,1
236,1,0,18,1
236,16,0,319,1
236,20,0,413,4
236,9,0,169,2
236,5,0,94,2
236,9,0,188,2
236,1,0,18,2
236,30,1,827,2
236,0,0,0,2
417,0,0,0,1
417,1,0,22,1
417,2,0,45,1
417,1,0,22,1
417,0,0,0,1
417,1,0,22,1
417,0,0,0,1
417,0,0,0,1
417,5,0,114,1
417,0,0,0,1
417,1,0,22,1
417,7,0,160,1
417,2,0,45,1
417,17,0,389,1
417,11,0,251,4
417,5,0,114,2
417,2,0,45,2
417,2,0,45,2
417,5,0,114,1
417,1,0,22,1
417,2,0,45,1
417,2,0,45,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,1,0,22,1
417,0,0,0,1
417,1,0,22,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,0,0,0,1
417,1,0,22,1
417,2,0,45,1
417,1,0,22,2
417,5,0,114,2
417,8,0,183,2
417,10,0,228,2
417,13,0,297,4
417,16,0,366,4
417,3,0,68,2
417,28,0,686,2
417,5,0,114,2
417,37,0,961,2
417,22,0,572,4
417,26,0,732,4
417,40,0,1235,4
417,27,0,892,4
417,4,0,137,2
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,3,0,114,1
20,0,0,0,1
20,0,0,0,1
20,0,0,0,1
20,8,0,306,1
20,4,0,153,1
20,3,0,114,1
20,5,0,229,1
20,8,0,382,1
20,7,0,421,4
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,1,0,9,1
1525,0,0,0,1
1525,1,0,9,1
1525,1,0,9,1
1525,3,0,28,1
1525,3,0,28,1
1525,1,0,9,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,2,0,18,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,0,0,0,1
1525,5,0,47,1
1525,3,0,28,1
1525,10,0,94,1
1525,8,0,75,1
1525,8,0,75,1
1525,8,0,75,1
1525,4,0,37,1
1525,3,0,28,1
1525,6,0,56,1
1525,9,0,84,1
