--------------------
BDMEP - INMET
--------------------
Estação           : ARAXA - MG (OMM: 83579)
Latitude  (graus) : -19.6
Longitude (graus) : -46.94
Altitude  (metros): 1023.61
Estação Operante
Inicio de operação: 07/09/1916
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83579;01/01/2018;0000;21;20;90;903;27;0.8;10;
83579;01/01/2018;1200;21;19.4;85;902.5;27;2.5;7;
83579;01/01/2018;1800;28.4;22;56;899.2;27;3.3;7;
83579;02/01/2018;0000;23.2;20.4;76;899.4;27;0.8;7;
83579;02/01/2018;1200;22.2;20.2;82;899.8;27;2.5;8;
83579;02/01/2018;1800;28.2;21.8;55;898.6;27;1.6;6;
83579;03/01/2018;0000;20.4;19.4;91;899.8;27;1.6;10;
83579;03/01/2018;1200;20;19.2;93;899.3;27;1.6;10;
83579;03/01/2018;1800;27;22.8;69;898.1;27;1.6;8;
83579;04/01/2018;0000;20.2;19.6;93;899.7;27;0.8;10;
83579;04/01/2018;1200;21;19.8;88;899.8;27;0.8;10;
83579;04/01/2018;1800;23;21.8;90;898.4;27;1.6;8;
83579;05/01/2018;0000;19.8;19.4;95;902.1;27;1.6;10;
83579;05/01/2018;1200;20.2;19.4;92;901.3;27;2.5;10;
83579;05/01/2018;1800;21.2;20.6;95;900.4;27;1.6;8;
83579;06/01/2018;0000;19.4;19.2;97;904.3;27;1.6;10;
83579;06/01/2018;1200;20;19.2;93;902;27;1.6;10;
83579;06/01/2018;1800;25;21.6;74;900.9;27;2.5;8;
83579;07/01/2018;0000;21;20.2;92;901.9;27;0.8;10;
83579;07/01/2018;1200;21.6;20;86;901.2;27;0.8;8;
83579;07/01/2018;1800;22;20;83;900.8;27;1.6;8;
83579;08/01/2018;0000;19.4;19;95;903;27;0.8;10;
83579;08/01/2018;1200;20;19;91;902;27;0.8;8;
83579;08/01/2018;1800;21;19;82;901;27;0.8;8;
83579;09/01/2018;0000;20.2;18.8;86;904.5;27;2.5;6;
83579;09/01/2018;1200;21.6;19;78;905.2;27;1.6;7;
83579;09/01/2018;1800;27.6;21.8;59;903.5;27;1.6;6;
83579;10/01/2018;0000;22.4;18.8;70;906.3;27;1.6;6;
83579;10/01/2018;1200;23.6;19.6;67;906.4;27;2.5;5;
83579;10/01/2018;1800;28.8;22;53;903.9;27;1.6;7;
83579;11/01/2018;0000;23.6;20.2;72;905.5;27;1.6;6;
83579;11/01/2018;1200;23;19.4;71;905.6;27;1.6;6;
83579;11/01/2018;1800;28;21;51;903.2;27;1.6;7;
83579;12/01/2018;0000;24.4;19.4;62;904.7;27;0.8;6;
83579;12/01/2018;1200;22.8;19.6;73;903.6;27;0.8;10;
83579;12/01/2018;1800;28;20.6;49;901.2;27;1.6;7;
83579;13/01/2018;0000;21.4;19.4;82;901.4;27;0.8;10;
83579;13/01/2018;1200;24.6;20.2;65;902.2;27;0.8;5;
83579;13/01/2018;1800;29;20.8;46;899.2;27;1.6;6;
83579;14/01/2018;0000;21.2;19;81;902;27;0.8;4;
83579;14/01/2018;1200;23;20.4;79;903.5;27;0.8;7;
83579;14/01/2018;1800;23.4;19.6;70;900.8;27;1.6;8;
83579;15/01/2018;0000;20.4;18.2;81;905.5;27;6.6;10;
83579;15/01/2018;1200;24;20.4;72;903.6;27;0.8;5;
83579;15/01/2018;1800;28;21.8;56;901.3;27;1.6;8;
83579;16/01/2018;0000;19.4;18.6;91;904.4;27;1.6;10;
83579;16/01/2018;1200;24;20.8;75;903.4;27;1.6;6;
83579;16/01/2018;1800;29;23;59;900.6;27;0.8;7;
83579;17/01/2018;0000;23.4;20.6;77;905.1;27;0.8;4;
83579;17/01/2018;1200;25.2;21.2;69;902.9;27;1.6;4;
83579;17/01/2018;1800;30.4;22.4;48;900.9;27;1.6;6;
83579;18/01/2018;0000;24.6;20;64;903.1;27;1.6;3;
83579;18/01/2018;1200;25.2;19;54;903.4;27;2.5;2;
83579;18/01/2018;1800;30.4;20.4;38;901.6;27;1.6;6;
83579;19/01/2018;0000;25.4;19.4;56;904.4;27;1.6;7;
83579;19/01/2018;1200;26.8;20.2;52;904;27;0.8;3;
83579;19/01/2018;1800;31;22;43;902.3;27;1.6;7;
83579;20/01/2018;0000;25.4;19.8;58;903.1;27;0.8;7;
83579;20/01/2018;1200;27;20;51;902;27;1.6;2;
83579;20/01/2018;1800;31.6;21;37;900.1;27;1.6;6;
83579;21/01/2018;0000;26;19.6;54;901.7;27;0.8;3;
83579;21/01/2018;1200;27.2;20;50;902.2;27;1.6;2;
83579;21/01/2018;1800;30;21;44;900.3;27;0.8;7;
83579;22/01/2018;0000;25.6;19.8;56;901.2;27;0.8;2;
83579;22/01/2018;1200;27;20.2;52;900.6;27;1.6;2;
83579;22/01/2018;1800;32.2;23;45;898.8;27;1.6;6;
83579;23/01/2018;0000;26.6;20.4;56;900.9;27;0.8;3;
83579;23/01/2018;1200;25.4;21.2;68;901.9;27;0.8;4;
83579;23/01/2018;1800;30.6;22.4;48;898.9;27;1.6;8;
83579;24/01/2018;0000;21.2;19.4;84;901.2;27;0.8;7;
83579;24/01/2018;1200;23.4;19.8;71;902.1;27;1.6;8;
83579;24/01/2018;1800;30.8;23.4;53;899.4;27;0.8;7;
83579;25/01/2018;0000;21;19.4;85;901.2;27;0.8;6;
83579;25/01/2018;1200;23.8;20.4;73;900.2;27;0.8;5;
83579;25/01/2018;1800;29;22.8;58;897.7;27;1.6;6;
83579;26/01/2018;0000;21.8;20.4;87;899.3;27;0.8;8;
83579;26/01/2018;1200;22.8;20.4;80;900.8;27;1.6;7;
83579;26/01/2018;1800;29.8;22;49;897.6;27;1.6;7;
83579;27/01/2018;0000;23.4;19.8;71;900.4;27;0.8;9;
83579;27/01/2018;1200;25;20.8;68;900.7;27;1.6;3;
83579;27/01/2018;1800;27;22;63;898.1;27;1.6;8;
83579;28/01/2018;0000;22.6;20.6;82;899.9;27;0.8;9;
83579;28/01/2018;1200;24.8;21;70;900.8;27;1.6;5;
83579;28/01/2018;1800;29.6;22.2;51;897.7;27;1.6;6;
83579;29/01/2018;0000;25.2;21.2;69;898.8;27;1.6;8;
83579;29/01/2018;1200;24.4;22;81;899.7;27;0.8;8;
83579;29/01/2018;1800;29.2;23.6;62;896.4;27;0.8;7;
83579;30/01/2018;0000;20;19.6;96;900;27;3.3;10;
83579;30/01/2018;1200;22.6;21.2;87;898.3;27;0.8;7;
83579;30/01/2018;1800;23.4;22;88;896.8;27;3.3;10;
83579;31/01/2018;0000;21.4;20.8;94;898.2;27;0.8;9;
83579;31/01/2018;1200;21.2;20.6;95;897.8;27;1.6;10;
83579;31/01/2018;1800;24;22;84;897.2;27;0.8;8;
83579;01/02/2018;0000;21.6;21.6;100;904.8;27;1;10;
83579;01/02/2018;1200;21;20;90;898.4;27;1.6;10;
83579;01/02/2018;1800;29.2;24;65;897.3;27;0.8;8;
83579;02/02/2018;0000;22.6;21.2;87;898.1;27;1.6;10;
83579;02/02/2018;1200;21;20.4;94;898;27;0.8;10;
83579;02/02/2018;1800;21.4;20;87;896.9;27;0.8;8;
83579;03/02/2018;0000;21.4;20.8;94;897.2;27;1.6;8;
83579;03/02/2018;1200;22;20.4;86;897.3;27;1.6;8;
83579;03/02/2018;1800;20;18.2;84;896.4;27;1.6;8;
83579;04/02/2018;0000;21.6;20.4;90;897;27;1.6;10;
83579;04/02/2018;1200;20.2;18.2;81;898.5;27;2.5;8;
83579;04/02/2018;1800;25.4;20;60;896.9;27;1.6;8;
83579;05/02/2018;0000;19;18.4;93;899.1;27;0.8;10;
83579;05/02/2018;1200;20;18;82;898;27;2.5;8;
83579;05/02/2018;1800;23;20.8;82;896.5;27;1.6;8;
83579;06/02/2018;0000;19.2;18.6;94;898.9;27;1.6;10;
83579;06/02/2018;1200;20.8;19.2;86;897.3;27;1.6;10;
83579;06/02/2018;1800;21.4;20.4;90;895.9;27;1.6;8;
83579;07/02/2018;0000;18.2;18;98;900.6;27;0.8;8;
83579;07/02/2018;1200;21;19.2;83;900.1;27;0.8;6;
83579;07/02/2018;1800;28.4;22;56;900.7;27;1.6;7;
83579;08/02/2018;0000;21.8;19.4;78;900.5;27;0.8;5;
83579;08/02/2018;1200;24.4;20.6;71;901.1;27;0.8;2;
83579;08/02/2018;1800;28.2;21.6;54;899.4;27;0.8;6;
83579;09/02/2018;0000;24;19.6;66;901.6;27;1.6;7;
83579;09/02/2018;1200;25.2;21.4;70;902.2;27;1.6;5;
83579;09/02/2018;1800;30;22.8;54;900.4;27;0.8;7;
83579;10/02/2018;0000;23.2;21;81;902;27;0.8;7;
83579;10/02/2018;1200;19.2;18.6;94;903.8;27;0.8;10;
83579;10/02/2018;1800;25.6;22.4;74;901.5;27;0.8;7;
83579;11/02/2018;0000;22.6;20.8;83;903.5;27;0.8;7;
83579;11/02/2018;1200;24.8;22.2;79;903.6;27;0.8;6;
83579;11/02/2018;1800;29.2;22.8;57;900.4;27;1.6;8;
83579;12/02/2018;0000;23.8;21.4;80;902.7;27;0.8;7;
83579;12/02/2018;1200;25.8;23;78;902.7;27;0.8;7;
83579;12/02/2018;1800;29.4;23;56;900.3;27;1.6;6;
83579;13/02/2018;0000;24;20.6;74;902.3;27;4.1;7;
83579;13/02/2018;1200;24.8;21.4;73;903.4;27;1.6;6;
