--------------------
BDMEP - INMET
--------------------
Estação           : ARINOS - MG (OMM: 83384)
Latitude  (graus) : -15.91
Longitude (graus) : -46.1
Altitude  (metros): 519.00
Estação Operante
Inicio de operação: 05/04/1976
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83384;01/01/2018;0000;25.6;24;85;955.3;0;0;6;
83384;01/01/2018;1200;27.2;23.4;72;956.3;0;0;7;
83384;01/01/2018;1800;32.2;25.2;56;954;27;1.5;7;
83384;02/01/2018;0000;22.6;21.4;88;954.5;14;1.5;10;
83384;02/01/2018;1200;24.2;22.4;84;954.5;27;1;8;
83384;02/01/2018;1800;32.6;24.1;46;951.6;18;1;7;
83384;03/01/2018;0000;22.6;21.4;88;953.1;18;1;10;
83384;03/01/2018;1200;24.6;22.8;84;952.9;0;0;8;
83384;03/01/2018;1800;34.2;25;46;950.2;27;1.5;5;
83384;04/01/2018;0000;24;23;92;953.6;32;1.5;10;
83384;04/01/2018;1200;23.8;22.6;90;954.6;0;0;10;
83384;04/01/2018;1800;28.4;24;68;953.8;27;2.1;8;
83384;05/01/2018;0000;24;23;92;954.3;0;0;10;
83384;05/01/2018;1200;23.4;22.6;93;956.9;36;1;10;
83384;05/01/2018;1800;23.4;22;88;956.5;0;0;8;
83384;06/01/2018;0000;22.6;22;93;956.3;0;0;10;
83384;06/01/2018;1200;25.2;22.6;78;956.8;36;1;7;
83384;06/01/2018;1800;20.8;20.6;98;956.2;32;1.5;10;
83384;07/01/2018;0000;21.2;20.6;95;955.7;0;0;6;
83384;07/01/2018;1200;23;21.6;88;955.9;0;0;10;
83384;07/01/2018;1800;31.2;24;53;954.4;14;1;6;
83384;08/01/2018;0000;24.4;21.8;79;954.6;0;0;5;
83384;08/01/2018;1200;26;23;77;955.6;0;0;5;
83384;08/01/2018;1800;32.8;23;41;954;9;1.5;5;
83384;09/01/2018;0000;27.6;21.2;54;953.9;0;0;0;
83384;09/01/2018;1200;27;21;56;957.8;0;0;3;
83384;09/01/2018;1800;33.6;23.8;41;956.6;9;1;6;
83384;10/01/2018;0000;27;21.4;59;955.8;0;0;0;
83384;10/01/2018;1200;27.2;22.8;68;958.5;9;2.1;6;
83384;10/01/2018;1800;32.2;23.8;48;956.9;9;2.1;5;
83384;11/01/2018;0000;27.8;23;65;956.8;0;0;7;
83384;11/01/2018;1200;25.4;22;73;958.3;9;0.5;7;
83384;11/01/2018;1800;31.2;22.4;44;957.1;18;1;6;
83384;12/01/2018;0000;26;21;63;956;0;0;0;
83384;12/01/2018;1200;25.8;21.4;66;956.7;0;0;6;
83384;12/01/2018;1800;31.6;23.2;48;955.5;9;1;7;
83384;13/01/2018;0000;26;21;63;954.7;23;1.5;0;
83384;13/01/2018;1200;26.8;21.6;61;955.3;32;0.5;4;
83384;13/01/2018;1800;34.2;23.2;37;953.8;27;0.5;6;
83384;14/01/2018;0000;24.8;21.4;73;953.2;0;0;7;
83384;14/01/2018;1200;22.2;21.2;90;956.2;0;0;10;
83384;14/01/2018;1800;29.8;23.6;58;955.1;0;0;7;
83384;15/01/2018;0000;25;21.6;74;954.9;0;0;6;
83384;15/01/2018;1200;28;23;63;955.5;9;1;6;
83384;15/01/2018;1800;26.2;21.6;64;954.7;18;1;8;
83384;16/01/2018;0000;24.4;22.4;84;955.2;0;0;7;
83384;16/01/2018;1200;26.4;23.2;75;956.6;14;1.5;6;
83384;16/01/2018;1800;31.6;24.4;55;955.4;18;1;6;
83384;17/01/2018;0000;27;23.2;71;955.1;0;0;0;
83384;17/01/2018;1200;27.2;20.8;55;956.5;0;0;0;
83384;17/01/2018;1800;31.6;21.8;40;955.2;9;1.5;5;
83384;18/01/2018;0000;26.6;19.6;50;955.1;14;1;4;
83384;18/01/2018;1200;27.6;21;53;958.8;9;1;4;
83384;18/01/2018;1800;33.4;23;38;955.9;9;1.5;5;
83384;19/01/2018;0000;27;20.4;52;956;14;1;0;
83384;19/01/2018;1200;28;21.2;51;957.2;9;0.5;0;
83384;19/01/2018;1800;34;23.4;39;955.6;14;0.5;5;
83384;20/01/2018;0000;27.2;21;56;955.2;0;0;0;
83384;20/01/2018;1200;27.2;20.6;53;956.8;0;0;0;
83384;20/01/2018;1800;35.2;22.4;31;954.8;0;0;4;
83384;21/01/2018;0000;27.8;21.4;55;954.5;14;1;0;
83384;21/01/2018;1200;28.2;21.4;52;955.5;9;1;4;
83384;21/01/2018;1800;34.8;23;34;953.8;14;2.1;5;
83384;22/01/2018;0000;28.4;21.2;51;953.4;14;0.5;0;
83384;22/01/2018;1200;27.6;21.6;57;954.1;0;0;2;
