--------------------
BDMEP - INMET
--------------------
Estação           : BAMBUI - MG (OMM: 83582)
Latitude  (graus) : -20.03
Longitude (graus) : -45
Altitude  (metros): 661.27
Estação Operante
Inicio de operação: 26/08/1926
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83582;01/01/2018;1200;23.4;21;80;935.7;14;2.6;9;
83582;02/01/2018;0000;21.8;21.2;94;932.6;14;2.6;9;
83582;02/01/2018;1200;21.8;21.4;95;934.2;14;2.6;9;
83582;03/01/2018;0000;23.8;22.8;91;931.1;9;1.5;9;
83582;03/01/2018;1200;24.8;22.6;82;932;14;1.5;9;
83582;04/01/2018;0000;21.4;21.2;97;931.7;14;2.1;8;
83582;04/01/2018;1200;25.4;23.4;84;934;14;1;9;
83582;05/01/2018;0000;22;22;100;935;18;2.1;9;
83582;05/01/2018;1200;22.2;21.6;93;936.1;18;2.6;9;
83582;06/01/2018;0000;20.6;20.4;97;936.6;18;2.6;9;
83582;06/01/2018;1200;23;21.6;89;937.3;18;2.1;9;
83582;07/01/2018;0000;21.6;21.4;98;934.7;18;2.6;9;
83582;08/01/2018;1200;21.4;20.8;94;938.4;9;2.1;9;
83582;09/01/2018;0000;20.2;19.8;95;936.9;9;2.1;9;
83582;09/01/2018;1200;23.6;21;77;939.9;23;1.5;8;
83582;10/01/2018;0000;22.6;21.6;90;938;23;1.5;6;
83582;10/01/2018;1200;25;21.4;72;940.7;23;2.6;5;
83582;11/01/2018;0000;23.4;22.4;92;937.7;23;2.1;4;
83582;11/01/2018;1200;25.2;21.8;72;939.8;23;1.5;8;
83582;12/01/2018;0000;22.2;21.4;92;936.6;23;2.6;7;
83582;12/01/2018;1200;23;21.4;87;937.2;14;1.5;9;
83582;13/01/2018;0000;22.4;21.2;89;934.7;14;2.1;9;
83582;13/01/2018;1200;23;21.4;87;936.2;14;1.5;7;
83582;14/01/2018;0000;23.6;21.4;81;934;9;2.1;9;
83582;15/01/2018;1200;25.2;23;81;937.7;14;1.5;8;
83582;16/01/2018;0000;20.4;19.6;93;937.9;5;2.1;9;
83582;16/01/2018;1200;24.8;22;77;938.6;14;1.5;8;
83582;17/01/2018;0000;24.8;23.4;88;937.5;18;1.5;6;
83582;17/01/2018;1200;26.6;23.6;77;937.9;18;2.1;6;
83582;18/01/2018;0000;24;22.6;89;935.5;18;1.5;4;
83582;18/01/2018;1200;25.8;21.8;69;939.2;18;2.1;4;
83582;19/01/2018;0000;21.4;20.2;88;936.3;18;2.1;3;
83582;19/01/2018;1200;24.4;21;73;938.4;18;1.5;6;
83582;20/01/2018;0000;22.4;21;88;935.5;18;2.1;4;
83582;20/01/2018;1200;26;22.4;73;937.1;18;1.5;4;
83582;21/01/2018;0000;23.2;21.8;87;935.9;18;2.1;4;
83582;22/01/2018;1200;26.4;22.4;69;935.1;18;2.1;3;
83582;23/01/2018;0000;25;23.4;88;932.2;18;1.5;4;
83582;23/01/2018;1200;25.4;21.8;72;935.6;14;1.5;7;
83582;24/01/2018;0000;23;21.8;90;934;14;2.1;4;
83582;24/01/2018;1200;23.2;21.6;86;936.2;14;1.5;9;
83582;25/01/2018;0000;23.2;22;89;933.1;14;2.1;3;
83582;25/01/2018;1200;23.4;22.2;90;933.9;14;1.5;7;
83582;26/01/2018;0000;23.6;22.2;87;931.9;32;2.1;8;
83582;26/01/2018;1200;25.6;23.6;82;934.4;14;1.5;6;
83582;27/01/2018;0000;23.4;22.4;92;931.7;23;1.5;8;
83582;27/01/2018;1200;24.4;21.8;79;934.2;23;1.5;6;
83582;28/01/2018;0000;25.4;23.2;82;931.3;9;2.1;8;
83582;29/01/2018;1200;27;23.8;75;932.6;14;1.5;8;
83582;30/01/2018;0000;22.8;22.4;96;931.2;14;2.1;9;
83582;30/01/2018;1200;23.8;22.6;90;931.8;14;1.5;8;
83582;31/01/2018;0000;22.2;22;97;931;14;2.6;9;
83582;31/01/2018;1200;25.2;23.4;85;931.6;14;2.1;9;
83582;01/02/2018;0000;23;23.6;91;935.5;9;2.05776;7.5;
83582;01/02/2018;1200;22.2;19.8;78;932.8;32;2.1;9;
83582;02/02/2018;0000;23;22.4;95;930;32;2.1;9;
83582;02/02/2018;1200;22;21.6;96;931.7;23;2.1;9;
83582;03/02/2018;0000;22.2;21.6;93;931.1;23;1.5;9;
83582;03/02/2018;1200;24.4;22.2;82;930.6;23;1.5;7;
83582;04/02/2018;0000;24;20.4;72;930;23;3.1;9;
83582;05/02/2018;1200;19.8;18.9;90;932.2;32;2.1;9;
83582;06/02/2018;0000;20.6;20.2;95;931.8;27;2.1;9;
83582;06/02/2018;1200;21.6;20.6;91;932.1;27;1.5;9;
83582;07/02/2018;0000;20.4;20.2;98;932.3;27;1.5;9;
