--------------------
BDMEP - INMET
--------------------
Estação           : BARBACENA - MG (OMM: 83689)
Latitude  (graus) : -21.25
Longitude (graus) : -43.76
Altitude  (metros): 1126.00
Estação Operante
Inicio de operação: 09/06/1914
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83689;01/01/2018;0000;19;18.8;97;889.4;32;2.6;8;
83689;01/01/2018;1200;21;19.8;88;890.2;32;4.1;7;
83689;01/01/2018;1800;26;21.4;66;886.6;32;2.6;6;
83689;02/01/2018;0000;21.2;20.2;91;884;32;1;10;
83689;02/01/2018;1200;21.6;20.6;91;886.8;27;2.6;10;
83689;02/01/2018;1800;26.8;22;64;883.2;32;2.6;7;
83689;03/01/2018;0000;22;20.4;86;885.5;32;2.1;7;
83689;03/01/2018;1200;21.6;20.3;89;885.5;32;4.6;10;
83689;03/01/2018;1800;26.2;21.9;67;883.8;32;1.5;7;
83689;04/01/2018;0000;19.2;18.9;97;886;0;0;10;
83689;04/01/2018;1200;19;18.8;97;888.8;18;1;10;
83689;04/01/2018;1800;18.8;18.6;97;888.3;14;0.5;10;
83689;05/01/2018;0000;17;16.8;98;890.2;0;0;10;
83689;05/01/2018;1200;20;19.8;98;890.6;36;1;10;
83689;05/01/2018;1800;19.2;19;98;890.3;36;2.6;10;
83689;06/01/2018;0000;18.2;18;98;891.6;36;1.5;10;
83689;06/01/2018;1200;20.8;19.4;88;891.2;32;0.5;8;
83689;06/01/2018;1800;24.8;21;70;888.2;36;1;8;
83689;07/01/2018;0000;20.4;20;97;889.2;5;0.5;5;
83689;08/01/2018;1200;22;19.8;81;892;5;1.5;6;
83689;08/01/2018;1800;25;19.8;61;890.3;5;1.5;8;
83689;09/01/2018;0000;19.6;18.4;89;892.2;0;0;4;
83689;09/01/2018;1200;21;19;82;894.7;5;1;7;
83689;09/01/2018;1800;24.8;19;57;893.6;9;0.5;7;
83689;10/01/2018;0000;19.8;18.8;90;894.6;14;1;0;
83689;10/01/2018;1200;20.6;18.4;80;895.5;9;1.5;7;
83689;10/01/2018;1800;25.4;20.2;61;893.6;9;0.5;7;
83689;11/01/2018;0000;19.8;18;83;893.9;14;1;0;
83689;11/01/2018;1200;19.8;18.4;86;894.2;5;1;10;
83689;11/01/2018;1800;25.2;19.6;58;891.2;5;1.5;7;
83689;12/01/2018;0000;20;17.8;80;891.6;0;0;0;
83689;12/01/2018;1200;21.6;19.2;80;891.2;36;0.9;7;
83689;12/01/2018;1800;27;20.4;53;888.2;27;1;7;
83689;13/01/2018;0000;18.4;18.2;97;890.4;0;0;10;
83689;13/01/2018;1200;23;20;76;890;5;1;8;
83689;13/01/2018;1800;27.2;20.8;56;887;36;1;8;
83689;14/01/2018;0000;19;18.2;91;889.6;0;0;3;
83689;15/01/2018;1200;20.4;20.2;98;891.8;0;0;8;
83689;15/01/2018;1800;17.8;17.6;97;891.4;9;0.5;10;
83689;16/01/2018;0000;17.2;17;98;891.6;0;0;10;
83689;16/01/2018;1200;21;20.4;94;893.1;5;0.5;7;
83689;16/01/2018;1800;21.6;20.2;88;891.6;5;0.5;8;
83689;17/01/2018;0000;21;20.4;94;891.8;0;0;0;
83689;17/01/2018;1200;22;21;91;892.6;5;0.5;7;
83689;17/01/2018;1800;28;21;51;891;5;0.5;7;
83689;18/01/2018;0000;21.4;19;79;891.6;0;0;0;
83689;18/01/2018;1200;24.2;19.4;62;893.2;5;1;4;
83689;18/01/2018;1800;28;18.6;38;890.3;36;2.1;4;
83689;19/01/2018;0000;22;19;75;891.4;36;0.9;0;
83689;19/01/2018;1200;24.8;20;63;892.3;36;1;6;
83689;19/01/2018;1800;28.4;20.2;46;890.2;36;1;6;
83689;20/01/2018;0000;22.6;18.4;65;890.8;5;1;0;
83689;20/01/2018;1200;25.2;19.6;58;891.9;5;1.5;3;
83689;20/01/2018;1800;28.6;19.6;42;889.4;14;0.5;7;
83689;21/01/2018;0000;21.4;19.6;83;890.6;0;0;0;
83689;22/01/2018;1200;22.2;19.4;75;889.5;5;1.5;7;
83689;22/01/2018;1800;26.6;21.2;61;887.4;5;1;8;
83689;23/01/2018;0000;17.6;17.4;98;889.5;14;0.5;10;
83689;23/01/2018;1200;22;20.8;90;889.9;5;1;8;
83689;23/01/2018;1800;25.4;21.6;71;887.6;5;0.5;8;
83689;24/01/2018;0000;19;18.4;93;889.9;0;0;7;
83689;24/01/2018;1200;22.6;20.6;82;889.9;36;0.5;7;
83689;24/01/2018;1800;24.6;22;78;887.6;36;0.5;8;
83689;25/01/2018;0000;20;19;91;889.1;0;0;6;
83689;25/01/2018;1200;23.2;20.6;78;888.7;5;1;6;
83689;25/01/2018;1800;26.6;21.2;61;886.6;5;0.5;7;
83689;26/01/2018;0000;20.8;18.8;83;887.9;5;0.5;6;
83689;26/01/2018;1200;22;20.2;85;889.2;0;0;7;
83689;26/01/2018;1800;22;21;91;886.9;0;0;7;
83689;27/01/2018;0000;18;17.8;97;888.7;18;0.5;10;
83689;27/01/2018;1200;22;20.4;86;889.6;14;0.5;8;
83689;27/01/2018;1800;24.8;21.4;73;887.2;9;0.5;8;
83689;28/01/2018;0000;18.8;18.6;97;888;14;1;3;
83689;29/01/2018;1200;24.4;21.6;78;887.2;36;1.9;8;
83689;29/01/2018;1800;24.4;22;81;884.3;32;1.5;10;
83689;30/01/2018;0000;20.2;20;97;889.5;36;1;8;
83689;30/01/2018;1200;20;19.8;98;886;32;0.5;10;
83689;30/01/2018;1800;25.6;22.2;73;882.7;32;1.5;7;
83689;31/01/2018;0000;18;17.8;97;885.2;0;0;10;
83689;31/01/2018;1200;18.2;18;98;886;0;0;8;
83689;31/01/2018;1800;19.4;19;95;885.5;0;0;7;
83689;01/02/2018;0000;20.4;17.6;98;890.4;27;0.51444;10;
83689;01/02/2018;1200;21;19.2;84;887.9;0;0;7;
83689;02/02/2018;0000;18.4;17.6;91;886.7;0;0;4;
83689;02/02/2018;1200;20.4;19;88;886.3;14;0.5;7;
83689;03/02/2018;0000;20.4;19.6;93;884.5;9;0.5;10;
83689;03/02/2018;1200;18.8;18.4;96;885.6;14;1.5;10;
83689;04/02/2018;0000;19;18.6;95;886.8;14;0.5;10;
83689;05/02/2018;1200;14;13.9;99;887.5;0;0;10;
83689;06/02/2018;0000;15.4;15.2;97;886.6;0;0;10;
83689;06/02/2018;1200;18.2;18;98;886.2;0;0;10;
83689;07/02/2018;0000;18.6;18.4;98;886.7;0;0;10;
83689;07/02/2018;1200;19.2;18.8;96;887.3;32;0.5;10;
83689;08/02/2018;0000;18.4;18;95;887.5;14;1;0;
