--------------------
BDMEP - INMET
--------------------
Estação           : BELO HORIZONTE - MG (OMM: 83587)
Latitude  (graus) : -19.93
Longitude (graus) : -43.93
Altitude  (metros): 915.00
Estação Operante
Inicio de operação: 03/03/1910
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83587;01/01/2018;0000;23.6;21;78;912.5;27;0.7;8;
83587;01/01/2018;1200;22.9;20.3;78;911.7;27;1;8;
83587;01/01/2018;1800;29.5;20.3;40;908.5;23;2;6;
83587;02/01/2018;0000;24.3;20;66;908.8;18;0.5;3;
83587;02/01/2018;1200;22.3;19.9;79;909.7;23;1;10;
83587;02/01/2018;1800;29.1;21.7;51;906.2;23;2.1;8;
83587;03/01/2018;0000;26.3;20.7;58;907.1;18;0.5;3;
83587;03/01/2018;1200;22.7;19.9;76;909.4;27;1.6;10;
83587;03/01/2018;1800;29.7;22.8;54;906.6;27;1.5;6;
83587;04/01/2018;0000;21.4;20.3;89;909.9;27;2;10;
83587;04/01/2018;1200;21.7;20;86;911.6;5;1.3;10;
83587;04/01/2018;1800;20.7;19.7;91;910.9;36;1.6;10;
83587;05/01/2018;0000;20.5;19.9;93;912;5;1;10;
83587;05/01/2018;1200;22.1;20.1;83;913.7;5;0.8;10;
83587;05/01/2018;1800;21.1;20;90;912.8;;;10;
83587;06/01/2018;0000;19.7;18.9;93;913.8;0;0;10;
83587;06/01/2018;1200;22.3;19.5;76;913.9;5;1.3;9;
83587;06/01/2018;1800;25.3;20.9;66;911;5;;6;
83587;07/01/2018;0000;23.5;20.1;73;910.9;36;;5;
83587;07/01/2018;1200;23.5;20.5;76;912.6;5;;8;
83587;07/01/2018;1800;27.8;20.9;53;909.9;36;;6;
83587;08/01/2018;0000;24.3;20.5;70;913;36;;8;
83587;08/01/2018;1200;23.1;18.7;64;914.6;;;8;
83587;08/01/2018;1800;27.8;18;36;912.4;;;6;
83587;09/01/2018;0000;24;17.8;53;913.3;;;0;
83587;09/01/2018;1200;24;17.8;53;916.6;;;3;
83587;09/01/2018;1800;28.6;19.2;39;914;;;4;
83587;10/01/2018;0000;24.6;19.1;57;915.5;;;0;
83587;10/01/2018;1200;23.1;17.7;57;916.5;;;6;
83587;10/01/2018;1800;27.7;18.3;37;915.2;;;6;
83587;11/01/2018;0000;24.8;17.7;48;915.2;;;0;
83587;11/01/2018;1200;23.5;18;57;917;;;10;
83587;11/01/2018;1800;26.1;19.1;50;914.2;;;10;
83587;12/01/2018;0000;23;18.3;63;913.3;;;10;
83587;12/01/2018;1200;24.9;19.1;57;913.9;;;4;
83587;12/01/2018;1800;28.7;19.6;40;910.6;;;6;
83587;13/01/2018;0000;23.6;19.1;63;911.5;;;0;
83587;13/01/2018;1200;23.3;19;65;912.8;;;10;
83587;13/01/2018;1800;30.1;19.5;34;910.3;;;8;
83587;14/01/2018;0000;25;19.1;56;911.2;;;6;
83587;14/01/2018;1200;22.8;20;76;913.4;;;9;
83587;14/01/2018;1800;28;21.5;54;911.4;;;10;
