--------------------
BDMEP - INMET
--------------------
Estação           : BOM DESPACHO - MG (OMM: 83533)
Latitude  (graus) : -19.68
Longitude (graus) : -45.36
Altitude  (metros): 695.00
Estação Operante
Inicio de operação: 01/01/1981
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83533;01/01/2018;1200;25.2;22.8;80;;36;0.1;7;
83533;01/01/2018;1800;29.8;23.4;57;;36;0.1;7;
83533;02/01/2018;0000;20.8;20;93;;0;0;6;
83533;02/01/2018;1200;26;23.4;80;;36;0.1;4;
83533;02/01/2018;1800;31;23;48;;9;0.3;10;
83533;03/01/2018;0000;23;21.4;87;;0;0;5;
83533;03/01/2018;1200;26.4;23.4;76;;5;0.2;8;
83533;03/01/2018;1800;32.8;24.6;49;;36;0.2;6;
83533;04/01/2018;0000;23.4;21.6;85;;0;0;4;
83533;04/01/2018;1200;23.8;22;85;;36;0.2;10;
83533;04/01/2018;1800;34.8;23;34;;5;0.2;10;
83533;05/01/2018;0000;22;21;91;;0;0;8;
83533;05/01/2018;1200;24;22.2;86;;5;0.1;10;
83533;05/01/2018;1800;32.6;23.6;44;;2;0.2;5;
83533;06/01/2018;0000;22.8;21.8;91;;0;0;6;
83533;06/01/2018;1200;25;23.2;86;;5;0.2;0;
83533;06/01/2018;1800;32.8;23.8;45;;32;0.1;3;
83533;07/01/2018;0000;23.2;21.2;82;;0;0;2;
83533;07/01/2018;1200;27;22.8;68;;36;0.1;2;
83533;07/01/2018;1800;32;22.8;43;;9;0.1;2;
83533;08/01/2018;0000;23.6;21.6;82;;0;0;0;
83533;08/01/2018;1200;27.2;23.4;72;;32;0.1;0;
83533;08/01/2018;1800;33.8;25;47;;32;0.1;5;
83533;09/01/2018;0000;22.6;19.8;75;;27;0.3;10;
83533;09/01/2018;1200;27;21.6;60;;14;0.1;4;
83533;09/01/2018;1800;32.6;24.2;47;;36;0.2;0;
83533;10/01/2018;0000;21.2;18.8;79;;0;0;4;
83533;10/01/2018;1200;26.2;20;54;;5;0.2;1;
83533;10/01/2018;1800;31;23.2;49;;5;0.1;5;
83533;11/01/2018;0000;23.8;21.4;80;;0;0;3;
83533;11/01/2018;1200;24.8;21.2;71;;5;0.2;7;
83533;11/01/2018;1800;31.4;23.8;52;;27;0.1;8;
83533;12/01/2018;0000;23;20.8;82;;0;0;3;
83533;12/01/2018;1200;22.4;21;88;;32;0.1;10;
83533;12/01/2018;1800;32.4;22.6;42;;32;0.2;7;
83533;13/01/2018;0000;24.8;21.2;71;;23;0.1;8;
83533;13/01/2018;1200;25;22.2;79;;32;0.1;3;
83533;13/01/2018;1800;32.6;24;46;;0;0;5;
83533;14/01/2018;0000;24;21;76;;0;0;6;
83533;14/01/2018;1200;26.8;21.6;61;;32;0.3;2;
83533;14/01/2018;1800;32.4;23.4;46;;36;0.1;4;
83533;15/01/2018;0000;25.2;21.8;72;;0;0;4;
83533;01/02/2018;1200;24.2;21.6;78;;0;0;10;
83533;01/02/2018;1800;29.8;25.2;68;;32;0.1;6;
83533;02/02/2018;0000;24;22.4;88;;36;0.1;4;
83533;02/02/2018;1200;22.4;22.4;100;;32;0.1;10;
83533;02/02/2018;1800;24;23.6;97;;36;0.1;6;
83533;03/02/2018;0000;20.8;20.4;97;;0;0;9;
83533;03/02/2018;1200;23.4;21.8;87;;36;0.1;7;
83533;03/02/2018;1800;28.8;24.4;68;;36;0.1;10;
83533;04/02/2018;0000;22.4;20.6;84;;36;0.1;5;
83533;04/02/2018;1200;23.2;21;81;;36;0.1;9;
83533;04/02/2018;1800;25;21.2;71;;36;0.1;10;
83533;05/02/2018;0000;21.8;20.4;87;;36;0.1;10;
83533;05/02/2018;1200;22;19.2;76;;36;0.1;10;
83533;05/02/2018;1800;23.6;22;85;;36;0.1;10;
83533;06/02/2018;0000;21;20.8;97;;0;0;10;
83533;06/02/2018;1200;21.4;20.8;94;;36;0.1;10;
83533;06/02/2018;1800;25;23.2;86;;23;0.1;10;
