--------------------
BDMEP - INMET
--------------------
Estação           : C  DO MATO DENTRO - MG (OMM: 83589)
Latitude  (graus) : -19.02
Longitude (graus) : -43.43
Altitude  (metros): 652.00
Estação Operante
Inicio de operação: 30/06/1925
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83589;01/01/2018;0000;24.2;22.1;82;939.8;36;6.3;10;
83589;01/01/2018;1200;26.7;23.2;74;938.8;23;1;1;
83589;01/01/2018;1800;25.8;22.2;72;935.3;32;1.6;5;
83589;02/01/2018;0000;24;22.3;87;936.1;9;1.6;8;
83589;02/01/2018;1200;25.6;22;71;937;5;1.5;7;
83589;02/01/2018;1800;32.2;23.8;48;932.8;23;2.6;6;
83589;03/01/2018;0000;25.6;22.7;76;935.1;36;1.5;5;
83589;03/01/2018;1200;26.3;22.2;68;936.1;23;2.3;7;
83589;03/01/2018;1800;28.7;22.7;57;932.7;18;7.3;5;
83589;04/01/2018;0000;24.8;22;77;936;23;2.1;10;
83589;04/01/2018;1200;20.7;20.3;96;939.9;36;1.6;10;
83589;04/01/2018;1800;25.4;22.3;76;937.8;36;2;10;
83589;05/01/2018;0000;22.4;21.6;93;940.5;5;0.3;10;
83589;05/01/2018;1200;24.9;23;85;941.4;5;2.1;6;
83589;05/01/2018;1800;20.9;20.6;96;940;27;9.1;10;
83589;06/01/2018;0000;19.9;19.4;95;941.5;9;0.7;10;
83589;06/01/2018;1200;21.5;20.6;92;941.8;27;0.3;8;
83589;06/01/2018;1800;23.7;21.4;80;938.1;9;1.8;9;
83589;07/01/2018;0000;23.1;21.9;88;939;27;0.7;9;
83589;07/01/2018;1200;22.6;20.6;82;941;9;1.6;10;
83589;07/01/2018;1800;29.6;23;55;937.3;9;3.6;1;
83589;08/01/2018;0000;24;21.9;84;939.8;5;0.5;1;
83589;08/01/2018;1200;24.8;20.7;68;943;5;5;5;
83589;08/01/2018;1800;29.2;21.8;51;939.6;5;3.1;4;
83589;09/01/2018;0000;24;19.9;68;941.5;5;3;0;
83589;09/01/2018;1200;22.7;19.4;71;944.9;5;1.6;10;
83589;09/01/2018;1800;30.2;22.7;50;941.1;5;3.3;3;
83589;10/01/2018;0000;24.5;21;73;943.4;5;5.1;9;
83589;10/01/2018;1200;24.3;20.6;70;945.5;9;2.1;8;
83589;10/01/2018;1800;30.4;22.1;46;942.1;9;3.1;3;
83589;11/01/2018;0000;24;20;69;943.4;5;2.6;0;
83589;11/01/2018;1200;21.6;18.7;75;944.8;36;2.3;7;
83589;11/01/2018;1800;29.2;22.4;54;940.7;5;3.1;3;
83589;12/01/2018;0000;22.7;20;76;940.8;5;0.7;0;
83589;12/01/2018;1200;23.1;20.2;75;941.9;32;1.5;9;
83589;12/01/2018;1800;29.6;22.2;50;938;5;3.5;5;
83589;13/01/2018;0000;24.1;21.1;75;939.4;0;0;0;
83589;13/01/2018;1200;24.8;21.5;74;940.9;32;2.3;5;
83589;13/01/2018;1800;29.8;23.2;56;936.8;9;1.8;7;
83589;14/01/2018;0000;20.4;19.9;95;939.9;32;1.3;6;
83589;14/01/2018;1200;23.4;22;88;942;27;1.1;7;
83589;14/01/2018;1800;27.8;23.5;69;938.4;27;1.3;10;
83589;15/01/2018;0000;24.1;22.1;82;940.7;14;1;7;
83589;15/01/2018;1200;24.8;21.9;77;942.3;36;2.8;8;
83589;15/01/2018;1800;30.7;23.5;54;938.7;36;2;4;
83589;16/01/2018;0000;22.5;21.5;92;940.7;36;1.5;3;
83589;16/01/2018;1200;23.1;21.4;84;943.2;27;2.8;8;
83589;16/01/2018;1800;30.9;23.9;53;940.5;18;2.6;6;
83589;17/01/2018;0000;24.9;21.7;75;941.3;5;0.8;0;
83589;17/01/2018;1800;31.3;21.7;41;939.9;14;2.5;2;
83589;18/01/2018;0000;23.8;19.7;67;940.9;5;2.3;0;
83589;18/01/2018;1200;25;21.1;70;944.5;9;1;1;
83589;18/01/2018;1800;31.6;21.2;38;940.2;36;2.5;0;
83589;19/01/2018;0000;25.6;19.9;56;941.2;0;0;0;
83589;19/01/2018;1200;24.8;21.2;71;943.2;32;1;0;
83589;19/01/2018;1800;32.7;21.5;34;939.1;36;3.8;2;
83589;20/01/2018;0000;24.9;20.7;67;939.8;32;1.3;0;
83589;20/01/2018;1200;23.4;19.8;71;941.6;32;0.7;0;
83589;20/01/2018;1800;31.8;22.6;42;938.4;27;1.5;1;
83589;21/01/2018;0000;26.6;19.6;50;938.7;9;3.8;0;
83589;21/01/2018;1200;24.1;19.6;63;941.3;32;0.8;0;
83589;21/01/2018;1800;33.1;22.5;38;936.9;5;2.8;2;
83589;22/01/2018;0000;26;21.4;66;937.7;0;0;6;
83589;22/01/2018;1200;25.2;21.2;68;940.1;5;1;0;
83589;22/01/2018;1800;32.4;23;44;936.6;9;2.8;4;
83589;23/01/2018;0000;26.4;21.8;65;938.5;18;1;6;
83589;23/01/2018;1200;24.1;20.9;73;940.6;5;1.6;10;
83589;23/01/2018;1800;30.9;23;48;936.4;36;1.8;5;
83589;24/01/2018;0000;25.7;22;70;938.1;9;1;10;
83589;24/01/2018;1200;25.9;21;63;941.1;9;2.1;3;
83589;24/01/2018;1800;31.6;22.3;43;936.7;14;3.1;1;
83589;25/01/2018;0000;25.5;20.7;64;938.3;5;0.3;5;
83589;25/01/2018;1200;23.5;19.7;70;939.3;36;2;10;
83589;25/01/2018;1800;29.5;21.5;47;936;14;2.3;3;
83589;26/01/2018;0000;23.3;20.2;74;936.7;9;1.3;9;
83589;26/01/2018;1200;23.5;20.5;76;939.3;32;2.3;3;
83589;26/01/2018;1800;31.6;22.1;42;935.3;9;2.6;2;
83589;27/01/2018;0000;24.4;20.3;68;936.9;5;1.3;0;
83589;27/01/2018;1200;24.6;21.2;72;939.5;36;1.5;6;
83589;27/01/2018;1800;32.6;22;36;935;9;2.5;0;
83589;28/01/2018;0000;25.7;21.1;64;937;9;3.6;4;
83589;28/01/2018;1200;25.1;21.6;71;939.6;9;2.8;6;
83589;28/01/2018;1800;33;22.5;38;934.9;18;4.1;5;
83589;29/01/2018;0000;26.6;22.4;69;936.4;36;1.6;10;
83589;29/01/2018;1200;25.6;22.6;75;937.3;36;0.5;7;
83589;29/01/2018;1800;25.5;21.9;73;933.4;5;1;10;
83589;30/01/2018;0000;22.9;21.7;90;935.2;36;0.5;10;
83589;30/01/2018;1200;24.7;22.8;84;936.4;36;1.1;7;
83589;30/01/2018;1800;31.9;24.8;54;932.4;36;3;6;
83589;31/01/2018;0000;21.2;20.7;96;936.8;5;2.6;10;
83589;31/01/2018;1200;22.8;22;92;936.1;36;1.6;10;
83589;31/01/2018;1800;26.1;23.9;84;933.6;27;2;9;
83589;01/02/2018;0000;26;20.4;78;939;36;1.02888;10;
83589;01/02/2018;1200;23.6;21.5;81;936.7;18;1;7;
83589;01/02/2018;1800;30;22.8;53;933.9;32;3.5;6;
83589;02/02/2018;0000;23;22.2;94;935.8;18;4.5;9;
83589;02/02/2018;1200;20.5;20.4;98;936.3;32;0.8;10;
83589;02/02/2018;1800;22.3;21.6;93;933.5;18;0.7;10;
83589;03/02/2018;0000;20.4;20.3;99;934.1;36;1.8;10;
83589;03/02/2018;1200;20.9;20.4;94;933.7;18;3.3;10;
83589;03/02/2018;1800;21.1;20.5;94;933.4;5;0.8;10;
83589;04/02/2018;0000;19.3;18.7;95;936.6;36;1.1;10;
83589;04/02/2018;1200;19.5;19.2;97;936.9;0;0;10;
83589;04/02/2018;1800;21.5;20.6;92;934.9;9;0.1;10;
83589;05/02/2018;0000;20.9;20;90;936.5;9;3.1;10;
83589;05/02/2018;1200;19.9;19.6;97;936.2;32;1.3;10;
83589;05/02/2018;1800;21.8;21.5;96;934.2;9;2.6;10;
