--------------------
BDMEP - INMET
--------------------
Estação           : CAPARAO - MG (OMM: 83639)
Latitude  (graus) : -20.51
Longitude (graus) : -41.9
Altitude  (metros): 843.18
Estação Operante
Inicio de operação: 17/11/1972
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83639;01/01/2018;0000;20.4;19.9;95;920.9;0;0;10;
83639;01/01/2018;1200;24.8;21.1;71;920.1;36;1;8;
83639;01/01/2018;1800;28.8;22.9;58;916.7;0;0;10;
83639;02/01/2018;0000;21;20.5;94;918.6;0;0;10;
83639;02/01/2018;1200;26.2;22.5;71;917.5;0;0;9;
83639;02/01/2018;1800;29;22.1;53;914;32;0.5;10;
83639;03/01/2018;0000;23;21.5;88;916;0;0;10;
83639;03/01/2018;1200;25.6;21.5;68;916.7;0;0;9;
83639;03/01/2018;1800;29.4;22.5;53;914.5;27;0.5;9;
83639;04/01/2018;0000;24.4;22.7;86;917.1;0;0;8;
83639;04/01/2018;1200;20.8;19.7;90;920.5;0;0;10;
83639;04/01/2018;1800;24.4;21.1;74;919.4;0;0;10;
83639;05/01/2018;0000;21.4;20.9;94;921.9;0;0;10;
83639;05/01/2018;1200;24.2;21.1;74;922.8;5;1.5;10;
83639;05/01/2018;1800;26.6;21.5;63;920.6;32;0.5;10;
83639;06/01/2018;0000;21.2;19.3;83;923.1;0;0;10;
83639;06/01/2018;1200;23.4;20.7;78;922.9;32;1;7;
83639;06/01/2018;1800;27.2;21.3;58;919.6;36;1;6;
83639;07/01/2018;0000;21.8;20.3;86;920.9;0;0;0;
83639;07/01/2018;1200;23.6;20.5;74;922.2;5;1;8;
83639;07/01/2018;1800;27.8;21.5;56;919.2;5;0.5;5;
83639;08/01/2018;0000;21;19.7;88;922.2;0;0;5;
83639;08/01/2018;1200;24.2;19.7;64;924;14;0.5;6;
83639;08/01/2018;1800;28;19.3;41;921.5;0;0;7;
83639;09/01/2018;0000;18.6;17.3;88;923.9;0;0;0;
83639;09/01/2018;1200;23;19.9;75;926.3;0;0;8;
83639;09/01/2018;1800;28.6;21.9;55;923.6;0;0;9;
83639;10/01/2018;0000;22.4;19.9;78;925.6;18;1.5;10;
83639;10/01/2018;1200;23.6;20.1;71;926.7;0;0;6;
83639;10/01/2018;1800;27.4;21.9;59;924.1;27;0.5;9;
83639;11/01/2018;0000;21.2;19.1;82;925.5;0;0;4;
83639;11/01/2018;1200;24;20.2;70;925.2;0;0;6;
83639;11/01/2018;1800;28.2;21.3;52;921.8;32;1;9;
83639;12/01/2018;0000;22;20.5;87;922.8;0;0;4;
83639;12/01/2018;1200;23.2;19.2;67;923.6;32;1;6;
83639;12/01/2018;1800;28.2;21.5;53;919.5;36;0.5;9;
83639;13/01/2018;0000;21.8;19.9;82;921.2;0;0;5;
83639;13/01/2018;1200;23.6;19.9;69;921.5;36;1;6;
83639;13/01/2018;1800;27.8;21.3;55;918.9;32;0.5;10;
83639;14/01/2018;0000;21.2;19.5;85;920.8;0;0;6;
83639;14/01/2018;1200;24.2;19.9;66;923;36;1.5;6;
83639;14/01/2018;1800;30.6;23.5;54;919.7;27;1;7;
83639;15/01/2018;0000;20.2;19.3;91;921.9;0;0;8;
83639;15/01/2018;1200;24.6;21.1;71;923.1;5;1;8;
83639;15/01/2018;1800;28.8;22.3;55;920.5;0;0;9;
83639;16/01/2018;0000;22.2;21.1;89;922.6;0;0;0;
83639;16/01/2018;1200;26.2;21.7;65;923.7;5;0.5;7;
83639;16/01/2018;1800;26;23.7;82;921.8;0;0;9;
83639;17/01/2018;0000;22.6;21.5;89;922.6;0;0;6;
83639;17/01/2018;1200;23.2;19.8;71;924.1;32;1;6;
83639;17/01/2018;1800;28.2;21.1;51;920.5;0;0;4;
83639;18/01/2018;0000;20;17.9;81;922.9;0;0;0;
83639;18/01/2018;1200;23.6;19.1;63;925.1;27;1;1;
83639;18/01/2018;1800;29.2;19.7;39;921.2;32;1;3;
83639;19/01/2018;0000;23;19.1;69;922.7;0;0;0;
83639;19/01/2018;1200;26.2;20.5;57;923.9;5;0.5;1;
83639;19/01/2018;1800;32.2;20.7;33;920.8;0;0;2;
83639;20/01/2018;0000;21.4;18.9;77;922.2;0;0;0;
83639;20/01/2018;1200;27.6;21.7;58;922.8;0;0;1;
83639;20/01/2018;1800;32.4;19.9;29;920.2;0;0;6;
83639;21/01/2018;0000;22;19.1;75;921.8;0;0;0;
83639;21/01/2018;1200;23.8;20.5;73;922.5;0;0;4;
83639;21/01/2018;1800;31.6;22.1;43;919;32;0.5;9;
83639;22/01/2018;0000;20.6;19.9;92;920.3;0;0;0;
83639;22/01/2018;1200;22.8;19.7;74;921.5;36;0.5;8;
83639;22/01/2018;1800;28.4;21.9;55;918.4;32;0.5;6;
83639;23/01/2018;0000;21.8;20.1;84;920.3;0;0;5;
83639;23/01/2018;1200;23.6;19.7;68;921.5;32;1;8;
83639;23/01/2018;1800;26.9;21.2;58;920.2;0;0;8;
83639;24/01/2018;0000;21.8;20.3;86;920.4;0;0;6;
83639;24/01/2018;1200;23.4;18.9;64;921.9;36;0.5;6;
83639;24/01/2018;1800;26.8;20.2;52;919.1;5;0.5;8;
83639;25/01/2018;0000;21.2;18.3;75;919.7;0;0;3;
83639;25/01/2018;1200;22.2;18.9;71;920.7;36;1;8;
83639;25/01/2018;1800;28.2;20.2;46;917.9;0;0;6;
83639;26/01/2018;0000;20.6;18.7;82;919.3;0;0;3;
83639;26/01/2018;1200;25.6;20.7;62;920.1;0;0;3;
83639;27/01/2018;0000;21.8;19.7;81;919.5;0;0;7;
83639;27/01/2018;1200;25.6;20.9;63;920.4;0;0;7;
83639;27/01/2018;1800;29.4;21.3;46;917.6;27;1.5;7;
83639;28/01/2018;0000;22.4;19.3;74;919.6;18;3.1;5;
83639;28/01/2018;1200;24;20.3;71;920.6;0;0;7;
83639;28/01/2018;1800;28.2;22.1;57;917;14;1;9;
83639;29/01/2018;0000;21.4;20.5;91;918.2;0;0;6;
83639;29/01/2018;1200;24.4;21.3;75;918.3;32;1;9;
83639;29/01/2018;1800;31.2;23.5;51;913.9;36;1;8;
83639;30/01/2018;0000;20.8;19.7;90;917.3;0;0;10;
83639;30/01/2018;1200;22.6;21.3;87;917.1;0;0;10;
83639;30/01/2018;1800;25.8;22.1;71;914.2;5;0.5;10;
83639;31/01/2018;0000;20.6;19.5;89;916.6;36;2.1;10;
83639;31/01/2018;1200;22;20.9;90;917.1;0;0;10;
83639;31/01/2018;1800;23.4;22.1;89;915.2;0;0;10;
83639;01/02/2018;0000;24;18.3;85;921.1;0;0;7.5;
83639;01/02/2018;1200;20.8;19.3;87;918.6;0;0;10;
83639;01/02/2018;1800;20.4;19.6;93;916.8;0;0;10;
83639;02/02/2018;0000;19.4;18.6;91;917.8;27;1;9;
83639;02/02/2018;1200;20.6;19.5;89;917.5;0;0;10;
83639;02/02/2018;1800;23;20.9;83;915;0;0;8;
83639;03/02/2018;0000;20.4;19.9;95;915.6;0;0;9;
83639;03/02/2018;1200;22.4;20.3;82;916.3;0;0;10;
83639;03/02/2018;1800;22.4;20;80;915.4;36;0.5;10;
83639;04/02/2018;0000;20;19.3;94;917.6;0;0;10;
83639;04/02/2018;1200;19.2;18.7;95;919.5;0;0;10;
83639;04/02/2018;1800;20.8;19.5;89;917.5;0;0;10;
83639;05/02/2018;0000;18.4;17.2;87;919.8;18;1;10;
83639;05/02/2018;1200;19.4;17.9;85;918.3;14;0.5;10;
83639;05/02/2018;1800;20.6;19.3;87;916.3;0;0;10;
83639;06/02/2018;0000;19;18.5;94;917.6;0;0;10;
83639;06/02/2018;1200;20.6;19.9;92;917.6;5;1;10;
83639;06/02/2018;1800;24.6;21.9;77;914.4;5;1;9;
83639;07/02/2018;0000;21.6;20.9;94;917.1;0;0;10;
83639;07/02/2018;1200;21.6;20;86;917.9;36;1.5;10;
83639;07/02/2018;1800;28.4;22.5;59;916.5;0;0;9;
83639;08/02/2018;0000;21.6;20.7;92;918.6;0;0;5;
83639;08/02/2018;1200;24;21.3;79;920.3;27;0.5;8;
83639;08/02/2018;1800;23.6;21.3;80;919.2;0;0;8;
83639;09/02/2018;0000;21.6;20.5;90;920.8;0;0;10;
83639;09/02/2018;1200;24.2;20.9;73;922.7;0;0;8;
83639;09/02/2018;1800;28.4;22.3;58;919.6;0;0;7;
83639;10/02/2018;0000;22;20.9;90;921.7;0;0;8;
83639;10/02/2018;1200;22.8;19.7;74;922.6;5;0.5;8;
83639;10/02/2018;1800;27;21.7;61;920.6;36;1.5;7;
83639;11/02/2018;0000;22.8;20.1;77;922;0;0;0;
83639;11/02/2018;1200;23.2;19.3;68;923.3;36;1;6;
83639;11/02/2018;1800;27.6;21.1;54;920.2;36;1;4;
83639;12/02/2018;0000;20.6;19.1;86;921;0;0;0;
83639;12/02/2018;1200;24;19.9;68;922.7;27;0.5;3;
83639;12/02/2018;1800;31.6;21.9;42;919.2;27;1;4;
83639;13/02/2018;0000;20.8;19.3;87;920.4;0;0;0;
83639;13/02/2018;1200;24;19.9;68;923.2;36;1.5;4;
83639;13/02/2018;1800;31;21.9;42;921;32;0.5;6;
83639;14/02/2018;0000;23.4;21.3;83;923.2;0;0;5;
83639;14/02/2018;1800;29.6;21.9;49;922;0;0;8;
83639;15/02/2018;0000;21.8;19.9;82;924.8;0;0;0;
83639;15/02/2018;1200;24.2;20.7;71;925.7;0;0;7;
83639;15/02/2018;1800;26;21.7;68;923.5;0;0;10;
83639;16/02/2018;0000;21.4;19.5;83;925.6;0;0;3;
83639;16/02/2018;1200;24.4;20.1;66;926.3;0;0;9;
83639;16/02/2018;1800;27;21.5;60;923.1;0;0;8;
83639;17/02/2018;0000;21.4;19.9;86;924.9;0;0;9;
83639;17/02/2018;1200;22.6;19.3;71;924.4;5;1;8;
83639;17/02/2018;1800;27.8;20.9;52;921.1;36;0.5;8;
83639;18/02/2018;0000;21.8;20.1;84;922.6;0;0;10;
83639;18/02/2018;1200;22.2;19.3;74;922.1;36;1;9;
83639;18/02/2018;1800;27.8;21.9;59;918.4;0;0;9;
83639;19/02/2018;0000;21.6;20.3;89;920;0;0;9;
83639;19/02/2018;1200;23.2;19.9;72;920.3;5;1;8;
83639;19/02/2018;1800;28.4;22.7;60;917.4;0;0;10;
83639;20/02/2018;0000;21;20.5;94;919.9;0;0;10;
83639;20/02/2018;1200;23.2;20.3;75;919.5;32;1.5;10;
83639;20/02/2018;1800;27.6;21.9;59;917.2;32;1;10;
83639;21/02/2018;0000;22.4;21.1;88;919.2;18;1;10;
83639;21/02/2018;1200;23.8;20.5;73;919.7;32;0.5;10;
83639;21/02/2018;1800;26.2;23.3;76;915.8;0;0;9;
83639;22/02/2018;0000;22.6;21.7;91;918.9;0;0;10;
83639;22/02/2018;1200;23.6;22.1;86;919.3;0;0;10;
83639;22/02/2018;1800;25.6;22.3;73;916.2;32;1;9;
83639;23/02/2018;0000;21.4;20.3;89;919.7;0;0;10;
83639;23/02/2018;1200;23.6;21.3;80;920.1;27;0.5;10;
83639;23/02/2018;1800;28.2;23.3;64;918.3;0;0;10;
83639;24/02/2018;0000;21.4;20.3;89;921.6;18;1;10;
83639;24/02/2018;1200;22.4;19.7;77;922.7;0;0;9;
83639;24/02/2018;1800;26.4;21.5;63;919.9;23;1.5;8;
83639;25/02/2018;0000;20.8;18.5;80;922.8;18;1.5;10;
83639;25/02/2018;1200;22.4;19.5;76;923.2;0;0;4;
83639;25/02/2018;1800;26;20.9;62;920.6;0;0;9;
83639;26/02/2018;0000;20.6;19.1;86;922.7;27;1;10;
83639;26/02/2018;1200;22.2;19.6;77;923;0;0;10;
83639;26/02/2018;1800;27.2;22.3;65;919.9;32;0.5;8;
83639;27/02/2018;0000;21.8;20.7;89;922;0;0;10;
83639;27/02/2018;1200;23.4;20.5;76;922.7;32;1;10;
83639;27/02/2018;1800;27.4;22.1;61;919.1;0;0;6;
83639;28/02/2018;0000;22;20.7;89;920.8;0;0;8;
83639;28/02/2018;1200;23.4;20.7;78;921.4;36;1.5;8;
83639;28/02/2018;1800;29.2;22.9;58;918.3;36;0.5;8;
83639;01/03/2018;0000;24;22.1;85;921;0;0;9;
83639;01/03/2018;1200;22;20.5;87;922.9;23;1;10;
83639;01/03/2018;1800;27.8;22.7;64;920.2;32;0.5;9;
83639;02/03/2018;0000;21.4;20.9;94;922.7;0;0;7;
83639;02/03/2018;1200;24.2;21.7;79;923.1;0;0;8;
83639;02/03/2018;1800;29;23.9;64;919.2;0;0;10;
83639;03/03/2018;0000;23.2;22.1;90;921.3;0;0;10;
83639;03/03/2018;1200;23.2;21.8;87;920.2;0;0;10;
83639;03/03/2018;1800;28.4;23.7;67;917.1;0;0;8;
83639;04/03/2018;0000;19.4;19.3;98;920.3;0;0;10;
83639;04/03/2018;1200;23.4;21.9;88;918.9;23;0.5;9;
83639;04/03/2018;1800;28.8;23.7;63;915.4;0;0;9;
83639;05/03/2018;0000;22.6;21.9;92;917.6;0;0;9;
83639;05/03/2018;1200;25.4;23.5;85;917.8;27;1;9;
83639;05/03/2018;1800;30;23.9;60;914.7;32;0.5;9;
83639;06/03/2018;0000;24.4;23.3;91;916.9;0;0;10;
83639;06/03/2018;1200;26.4;23.3;76;918.2;0;0;6;
83639;06/03/2018;1800;28.4;23.5;66;915.2;0;0;5;
83639;07/03/2018;0000;21.6;21.3;97;918.4;0;0;7;
83639;07/03/2018;1200;24.6;22.1;79;918.7;0;0;10;
83639;07/03/2018;1800;30.8;25.2;64;915.4;0;0;9;
83639;08/03/2018;0000;23.4;22.9;96;918.7;0;0;10;
83639;08/03/2018;1200;23.4;21.5;85;919;0;0;10;
83639;08/03/2018;1800;28;23.5;66;915.6;0;0;9;
83639;09/03/2018;0000;21.4;21.1;96;919.8;0;0;9;
83639;09/03/2018;1200;22.2;20.9;87;920.4;0;0;10;
83639;09/03/2018;1800;24.4;22.5;85;917.7;23;0.5;10;
83639;10/03/2018;0000;20.4;19.9;95;920.6;0;0;10;
83639;10/03/2018;1200;23.4;21.9;88;920.3;23;1;5;
83639;10/03/2018;1800;27.8;23.9;72;916.3;0;0;7;
83639;11/03/2018;0000;21.6;20.5;90;918.7;0;0;10;
83639;11/03/2018;1200;22.4;20.9;87;917.3;36;1;10;
83639;11/03/2018;1800;26.4;22.5;70;914.7;5;0.5;9;
83639;12/03/2018;0000;21.4;20.9;94;917.5;0;0;5;
83639;12/03/2018;1200;23.6;21.5;82;917.1;0;0;0;
83639;12/03/2018;1800;31.4;24.1;54;913.9;32;0.5;8;
83639;13/03/2018;0000;22.6;21.5;89;917.5;0;0;0;
83639;13/03/2018;1200;26.6;22.5;70;919.6;0;0;3;
83639;13/03/2018;1800;32.6;24.1;47;917.5;5;0.5;7;
83639;14/03/2018;0000;22.4;20.9;87;921.9;0;0;10;
83639;14/03/2018;1200;25.6;22.1;71;922.1;32;0.5;2;
83639;14/03/2018;1800;29.2;24.1;65;920.1;0;0;9;
83639;15/03/2018;0000;23;22.5;96;922.2;0;0;9;
83639;15/03/2018;1200;24.4;21.9;80;922.5;0;0;9;
83639;15/03/2018;1800;29.6;23.3;57;919.4;36;0.5;2;
83639;16/03/2018;0000;23.2;21.5;85;922.2;0;0;3;
83639;16/03/2018;1200;26.4;23.1;74;921.6;27;1;2;
83639;16/03/2018;1800;28.2;23.1;63;917.9;0;0;9;
83639;17/03/2018;0000;22;20.9;90;920.5;0;0;5;
83639;17/03/2018;1200;25;22.5;81;921.4;0;0;8;
83639;17/03/2018;1800;24.4;21.9;80;918.9;27;1;10;
83639;18/03/2018;0000;21.6;21.1;96;920.7;0;0;7;
83639;18/03/2018;1200;22;19.9;82;921.1;32;0.5;10;
83639;18/03/2018;1800;28;22.3;58;917.5;32;0.5;3;
83639;19/03/2018;0000;21.6;20.9;94;919.6;0;0;7;
83639;19/03/2018;1200;24;20.1;70;920.7;32;1;4;
83639;19/03/2018;1800;28.8;22.4;55;916.8;32;0.5;2;
83639;20/03/2018;0000;21;19.9;89;918.9;0;0;0;
83639;20/03/2018;1200;23.2;20.1;74;920.8;32;2.1;4;
83639;20/03/2018;1800;30;23.1;55;917.9;27;0.5;4;
83639;21/03/2018;0000;23;21.7;90;919.7;0;0;6;
83639;21/03/2018;1200;22.2;20.7;86;920.9;0;0;10;
83639;21/03/2018;1800;26.8;23.3;72;918.3;0;0;10;
83639;22/03/2018;0000;22.8;21.9;92;919.6;0;0;7;
83639;22/03/2018;1200;23.2;21.5;85;921.2;27;0.5;10;
83639;22/03/2018;1800;23.6;21.9;85;919;0;0;10;
83639;23/03/2018;0000;21.4;20.9;94;921.8;0;0;10;
83639;23/03/2018;1200;21.4;19.8;85;922.4;5;0.5;10;
83639;23/03/2018;1800;25.6;21.6;68;919.8;0;0;8;
83639;24/03/2018;0000;21.4;20.5;91;923.2;0;0;10;
83639;24/03/2018;1200;22.8;19.3;71;925;0;0;6;
83639;24/03/2018;1800;26.6;21.1;60;921.3;0;0;5;
83639;25/03/2018;0000;19.4;18.7;92;923.7;0;0;10;
83639;25/03/2018;1200;22.1;19.1;75;924.8;32;1;8;
83639;25/03/2018;1800;25.6;20.7;62;922.3;36;1;8;
83639;26/03/2018;0000;19;18.3;92;922.8;0;0;0;
83639;26/03/2018;1200;23.4;20.1;73;924.3;32;0.5;2;
83639;26/03/2018;1800;28.2;21.1;51;921.5;0;0;7;
83639;27/03/2018;0000;22.4;20.9;87;923.4;0;0;10;
83639;27/03/2018;1200;23.2;20.1;74;925.4;0;0;4;
83639;27/03/2018;1800;27.8;20.5;50;922.4;36;1;6;
83639;28/03/2018;0000;21.2;20.1;90;924.4;0;0;9;
83639;28/03/2018;1200;21.4;18.7;76;925.4;0;0;9;
83639;28/03/2018;1800;26.4;20.9;59;921.8;27;0.5;9;
83639;29/03/2018;0000;19.6;18.5;90;923.8;0;0;2;
83639;29/03/2018;1200;22.8;19.9;75;924.2;0;0;4;
83639;29/03/2018;1800;26.8;20.7;55;921.2;23;1.5;4;
83639;30/03/2018;0000;18.4;17.5;90;922.6;0;0;2;
83639;30/03/2018;1200;23;19.5;72;923.3;5;0.5;4;
83639;30/03/2018;1800;25.2;21.5;71;920.6;0;0;9;
83639;31/03/2018;0000;19;18.3;92;922;0;0;9;
83639;31/03/2018;1200;21;18.9;80;922.8;36;0.5;10;
83639;31/03/2018;1800;27;21.1;57;919.5;27;1;8;
83639;01/04/2018;0000;20;19.3;94;921.1;0;0;5;
