--------------------
BDMEP - INMET
--------------------
Estação           : CAPINOPOLIS - MG (OMM: 83514)
Latitude  (graus) : -18.71
Longitude (graus) : -49.55
Altitude  (metros): 620.60
Estação Operante
Inicio de operação: 13/08/1969
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83514;01/01/2018;0000;23.6;23.6;98;943.9;18;1;10;
83514;01/01/2018;1200;21.5;21.2;97;945.2;36;1;9;
83514;01/01/2018;1800;29.5;25;67;942.9;36;1;5;
83514;02/01/2018;0000;23.7;22.7;91;942.5;0;0;10;
83514;02/01/2018;1200;20.7;20.5;98;942.6;23;1.5;8;
83514;02/01/2018;1800;25.5;23.3;83;939.8;14;1.5;7;
83514;03/01/2018;0000;23.1;22.2;91;941.7;36;2.1;10;
83514;03/01/2018;1200;23.9;22.4;88;942.5;36;0.5;8;
83514;03/01/2018;1800;24.3;22.8;87;940.7;18;1.5;8;
83514;04/01/2018;0000;22.2;21.6;93;942.2;0;0;4;
83514;04/01/2018;1200;22.6;21.8;91;943.9;14;1.5;10;
83514;04/01/2018;1800;29.7;24.6;64;940.8;14;1.5;7;
83514;05/01/2018;0000;21;20.9;98;944.5;5;1;10;
83514;05/01/2018;1200;23.5;21.8;86;946.2;36;1;8;
83514;05/01/2018;1800;24.7;23.4;88;942.7;9;1;8;
83514;06/01/2018;0000;21.2;20.8;97;944.9;36;2.1;10;
83514;06/01/2018;1200;22;21.6;96;946.5;36;0.5;10;
83514;06/01/2018;1800;21.7;21.4;98;943.6;36;0.5;10;
83514;07/01/2018;0000;22;21.8;98;944.2;36;1;10;
83514;07/01/2018;1200;22.7;21;84;943.9;18;1.5;8;
83514;07/01/2018;1800;28.1;23.2;64;941.1;18;1.5;6;
83514;08/01/2018;0000;22.3;22.2;98;945.1;9;1;10;
83514;08/01/2018;1200;20.3;20;97;946.6;36;1;10;
83514;08/01/2018;1800;25.1;21.6;71;943.6;5;1;8;
83514;09/01/2018;0000;20.1;19.8;96;946.9;0;0;10;
83514;09/01/2018;1200;21.5;20.6;92;948.2;9;1;10;
83514;09/01/2018;1800;27.9;22.1;59;946.1;9;1.5;7;
83514;10/01/2018;0000;23.2;21.6;86;946.8;0;0;4;
83514;10/01/2018;1200;24.9;22;77;948.7;9;1;8;
83514;10/01/2018;1800;30.1;23.4;54;946.3;5;0.5;8;
83514;11/01/2018;0000;24.4;21;73;945.7;0;0;10;
83514;11/01/2018;1200;25.1;22.6;79;947.8;5;1;6;
83514;11/01/2018;1800;29.5;24.4;64;944.6;36;1;7;
83514;12/01/2018;0000;23.1;20.8;79;945.4;14;0.5;6;
83514;12/01/2018;1200;22.7;20.8;83;946.7;9;1.5;10;
83514;12/01/2018;1800;22.7;18.6;65;944;23;2.1;10;
83514;13/01/2018;0000;22;21;91;943.2;18;1;10;
83514;13/01/2018;1200;21.9;21.2;93;943.3;36;1;7;
83514;13/01/2018;1800;30;23.6;58;940.8;36;1.5;6;
83514;14/01/2018;0000;23.9;21.4;80;942.9;0;0;4;
83514;14/01/2018;1200;25.1;22.6;79;944.5;5;1.5;5;
83514;14/01/2018;1800;31.6;23.6;50;941.3;32;1.5;6;
83514;15/01/2018;0000;22.7;20.5;80;944.9;18;1;10;
83514;15/01/2018;1200;22.8;21.4;87;945.4;5;1.5;5;
83514;15/01/2018;1800;29.6;21.9;49;943.8;36;1.5;5;
83514;16/01/2018;0000;22.9;20.6;81;945.2;9;1.5;6;
83514;16/01/2018;1200;25.2;22.1;75;947.1;9;0.5;6;
83514;16/01/2018;1800;31.7;23.8;49;944.6;5;1.5;7;
83514;17/01/2018;0000;25.2;23;81;944.8;5;1;10;
83514;17/01/2018;1200;26.4;23;73;945.3;5;1;4;
83514;17/01/2018;1800;31.8;24;50;944.2;36;0.5;7;
83514;18/01/2018;0000;23.3;20.8;79;944.7;14;0.5;5;
83514;18/01/2018;1200;28.3;22.6;59;947;5;0.5;4;
83514;18/01/2018;1800;32.7;22.2;37;944.3;5;1.5;4;
83514;19/01/2018;0000;25.4;20.4;62;944.6;0;0;0;
83514;19/01/2018;1200;27.2;21.7;61;946.5;5;0.5;4;
83514;19/01/2018;1800;33;21.4;33;944.5;5;0.5;6;
83514;20/01/2018;0000;25;19.9;61;944.3;9;0.5;0;
83514;20/01/2018;1200;26.2;21;60;943.7;36;1;3;
83514;20/01/2018;1800;33.4;22.8;37;942.3;36;1;5;
83514;21/01/2018;0000;24.3;21.2;75;943.1;36;1;0;
83514;21/01/2018;1200;26.7;21.6;63;944.3;23;1.5;4;
83514;21/01/2018;1800;33.3;23.2;41;941.3;18;1;4;
83514;22/01/2018;0000;26.2;21.5;64;941.7;0;0;0;
83514;22/01/2018;1200;27.1;21.9;62;943.5;5;0.5;7;
83514;22/01/2018;1800;30.8;23.4;53;939.9;36;1.5;6;
83514;23/01/2018;0000;24.6;20.6;68;941.5;0;0;3;
83514;23/01/2018;1200;27.3;22.7;67;944.4;5;0.5;7;
83514;23/01/2018;1800;33.6;22.8;37;941.2;36;0.5;3;
83514;24/01/2018;0000;26.3;20.9;59;942.3;0;0;0;
83514;24/01/2018;1200;27.1;22.6;67;943.4;5;1.5;5;
83514;24/01/2018;1800;32.7;24.4;48;941.8;32;0.5;4;
83514;25/01/2018;0000;26.8;22;63;942;18;1;10;
83514;25/01/2018;1200;22.2;21.4;92;942.7;36;1;9;
83514;25/01/2018;1800;27.7;24;72;940;36;1;7;
83514;26/01/2018;0000;22.4;21;88;941.9;9;1.5;10;
83514;26/01/2018;1200;24.6;22.6;82;941.2;5;1;5;
83514;26/01/2018;1800;28;24;69;939.7;36;1;8;
83514;27/01/2018;0000;21.9;21.4;95;941.5;36;1;10;
83514;27/01/2018;1200;24.8;22.9;84;942.7;5;2.1;8;
83514;27/01/2018;1800;30.1;24.7;62;940.1;5;2.1;6;
83514;28/01/2018;0000;24.8;22.8;84;940;32;1;10;
83514;28/01/2018;1200;24.9;21.5;73;942.8;36;1.5;4;
83514;28/01/2018;1800;25.3;22.2;75;940.2;36;1;6;
83514;29/01/2018;0000;23;21.6;89;941.1;0;0;5;
83514;29/01/2018;1200;24.5;22.8;87;941.2;36;1.5;6;
83514;29/01/2018;1800;29.6;25;67;938.5;36;1;7;
83514;30/01/2018;0000;24.6;23.4;89;940.2;36;0.5;10;
83514;30/01/2018;1200;22.6;22.2;95;940;32;1;10;
83514;30/01/2018;1800;28.3;24.4;71;938.9;32;1.5;7;
83514;31/01/2018;0000;22.4;21.8;94;940.2;36;1;10;
83514;31/01/2018;1200;23.4;22.8;95;940.1;32;1;10;
83514;31/01/2018;1800;28.7;24.6;69;938.5;27;2.1;6;
83514;01/02/2018;0000;24.7;23.2;86;944.7;36;1.02888;10;
83514;01/02/2018;1200;23.9;23.4;96;941.4;36;0.5;10;
83514;01/02/2018;1800;29.7;24.6;64;939.3;36;0.5;8;
83514;02/02/2018;0000;24.5;23.8;95;940.2;36;1;10;
83514;02/02/2018;1200;24.2;22.8;88;941.1;36;0.5;9;
83514;02/02/2018;1800;29.8;25.1;68;938.6;36;0.5;6;
