--------------------
BDMEP - INMET
--------------------
Estação           : CARATINGA - MG (OMM: 83592)
Latitude  (graus) : -19.73
Longitude (graus) : -42.13
Altitude  (metros): 609.65
Estação Operante
Inicio de operação: 15/03/1924
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83592;01/01/2018;0000;21;20.6;95;945.1;0;0;10;
83592;01/01/2018;1200;25;22.5;81;944.8;0;0;8;
83592;01/01/2018;1800;29.7;23.4;57;941.6;27;1;8;
83592;02/01/2018;0000;22.4;21.5;92;943;0;0;8;
83592;02/01/2018;1200;27.2;23.5;73;942.7;5;1;6;
83592;02/01/2018;1800;31.9;23.9;49;939.2;32;2;7;
83592;03/01/2018;0000;24.9;23;85;940.2;32;1;6;
83592;03/01/2018;1200;24.2;23.1;90;941.6;0;0;7;
83592;03/01/2018;1800;26.6;22.9;72;939.6;32;2;7;
83592;04/01/2018;0000;24.3;23.6;94;941.2;32;1;10;
83592;04/01/2018;1200;21.2;21;98;945.6;5;2;10;
83592;04/01/2018;1800;24.3;23.1;90;944.6;5;1;10;
83592;05/01/2018;0000;22.2;21.8;95;945.8;32;1;10;
83592;05/01/2018;1200;24.4;22.7;86;947.2;5;2;8;
83592;05/01/2018;1800;30;24.5;63;944.8;9;2;7;
83592;06/01/2018;0000;21.8;21;92;949;32;1;10;
83592;06/01/2018;1200;23.2;21.9;88;947.4;5;1;10;
83592;06/01/2018;1800;29;23.3;60;944.6;32;2;6;
83592;07/01/2018;0000;22.8;21.3;86;944.8;0;0;4;
83592;07/01/2018;1200;24.4;21;73;946.7;32;2;7;
83592;07/01/2018;1800;29.4;23;55;944.3;36;2;6;
83592;08/01/2018;0000;22.4;20.6;84;945.8;36;1;0;
83592;08/01/2018;1200;25.3;20.4;62;948.7;5;2;6;
83592;08/01/2018;1800;30.3;22.5;49;945.9;5;2;6;
83592;09/01/2018;0000;23.2;19.4;68;947.2;9;2;0;
83592;09/01/2018;1200;25;21.4;72;950.3;5;1;7;
83592;09/01/2018;1800;30.6;22.8;50;947.6;5;2;6;
83592;10/01/2018;0000;23.4;21.3;82;949.5;36;2;7;
83592;10/01/2018;1200;25.2;20.5;63;951;18;1;7;
83592;10/01/2018;1800;28.8;22.5;56;948.4;9;2;5;
83592;11/01/2018;0000;23.9;20.5;73;949.4;9;2;5;
83592;11/01/2018;1200;25.2;21.2;68;949.9;5;2;7;
83592;11/01/2018;1800;29.5;22.6;53;946.7;36;1;6;
83592;12/01/2018;0000;22.8;21;84;946.6;0;0;7;
83592;12/01/2018;1200;26;20.8;61;947.4;5;2;7;
83592;12/01/2018;1800;30;22.6;52;945;36;2;7;
83592;13/01/2018;0000;22.3;20.1;80;945.4;0;0;3;
83592;13/01/2018;1200;25.1;20.9;66;946.4;5;2;6;
83592;13/01/2018;1800;29.3;23;58;944.3;5;2;6;
83592;14/01/2018;0000;23.7;21.3;79;944.7;36;1;5;
83592;14/01/2018;1200;26.2;22;67;947.4;9;1;6;
