--------------------
BDMEP - INMET
--------------------
Estação           : CARBONITA - MG (OMM: 83485)
Latitude  (graus) : -17.53
Longitude (graus) : -43
Altitude  (metros): 736.38
Estação Operante
Inicio de operação: 01/01/1981
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83485;01/01/2018;0000;22.8;21.8;91;;;;10;
83485;01/01/2018;1200;24.8;22.2;79;;;;4;
83485;01/01/2018;1800;28.8;22.6;56;;;;6;
83485;02/01/2018;0000;24.6;20.8;69;;;;6;
83485;02/01/2018;1200;27.8;21.8;58;;;;4;
83485;02/01/2018;1800;32.8;22.6;39;;;;8;
83485;03/01/2018;0000;23.8;22;85;;;;10;
83485;03/01/2018;1200;25.2;22;74;;;;6;
83485;03/01/2018;1800;32.6;21.8;35;;;;8;
83485;04/01/2018;0000;22.4;21.4;91;;;;10;
83485;04/01/2018;1200;20.6;20;94;;;;10;
83485;04/01/2018;1800;25.2;21.2;68;;;;10;
83485;05/01/2018;0000;22;20.2;84;;;;6;
83485;05/01/2018;1200;25;22;77;;;;8;
83485;05/01/2018;1800;26.2;21.4;63;;;;10;
83485;06/01/2018;0000;22.4;20.8;86;;;;8;
83485;06/01/2018;1200;22.8;20.6;81;;;;10;
83485;06/01/2018;1800;27.8;21.6;57;;;;6;
83485;07/01/2018;0000;22.2;20.2;82;;;;6;
83485;07/01/2018;1200;23;20;76;;;;10;
83485;07/01/2018;1800;30.6;21.4;42;;;;4;
83485;08/01/2018;0000;22.8;20.2;78;;;;2;
83485;08/01/2018;1200;23.8;20;69;;;;8;
83485;08/01/2018;1800;29.4;19.8;38;;;;6;
83485;09/01/2018;0000;22.6;18.4;64;;;;2;
83485;09/01/2018;1200;22.4;19.2;73;;;;10;
83485;09/01/2018;1800;31.2;21.2;38;;;;6;
83485;10/01/2018;0000;22.4;19.8;78;;;;2;
83485;10/01/2018;1200;24.2;21.2;75;;;;6;
83485;10/01/2018;1800;26.2;21.2;62;;;;8;
83485;11/01/2018;0000;21.8;19.6;80;;;;2;
83485;11/01/2018;1200;23;19;68;;;;6;
83485;11/01/2018;1800;29.8;19.6;36;;;;4;
83485;12/01/2018;0000;22.6;18.8;67;;;;2;
83485;12/01/2018;1200;23;19.6;72;;;;8;
83485;12/01/2018;1800;30.2;19.6;34;;;;4;
83485;13/01/2018;0000;23.6;19.8;68;;;;2;
83485;13/01/2018;1200;24.8;20.6;67;;;;4;
83485;13/01/2018;1800;29;22.8;57;;;;8;
83485;14/01/2018;0000;24;20.8;75;;;;8;
83485;14/01/2018;1200;25;20.8;68;;;;6;
83485;14/01/2018;1800;29.8;21.4;46;;;;6;
