--------------------
BDMEP - INMET
--------------------
Estação           : CURVELO - MG (OMM: 83536)
Latitude  (graus) : -18.75
Longitude (graus) : -44.45
Altitude  (metros): 672.00
Estação Operante
Inicio de operação: 03/09/1912
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83536;01/01/2018;0000;24.5;23.2;90;;5;1;10;
83536;01/01/2018;1200;27.3;22.2;64;;32;1;7;
83536;01/01/2018;1800;29.7;23;55;;36;3;8;
83536;02/01/2018;0000;23.7;21.4;80;;0;0;0;
83536;02/01/2018;1200;24.5;22.2;82;;0;0;5;
83536;02/01/2018;1800;31.5;24;53;;27;4;4;
83536;03/01/2018;0000;24.9;21.8;76;;36;5;10;
83536;03/01/2018;1200;26.5;23.8;79;;36;1;3;
83536;03/01/2018;1800;29.1;24.4;67;;18;1;7;
83536;04/01/2018;0000;22.1;21.2;93;;0;0;0;
83536;04/01/2018;1200;22.5;21.6;92;;5;4;10;
83536;04/01/2018;1800;25.1;22.4;77;;5;4;10;
83536;05/01/2018;0000;22.9;22;92;;5;1;10;
83536;05/01/2018;1200;26.1;22.8;75;;5;1;8;
83536;05/01/2018;1800;21.3;20.8;94;;36;1;10;
83536;06/01/2018;0000;20.5;20;94;;0;0;0;
83536;06/01/2018;1200;25.1;22.4;77;;5;1;9;
83536;06/01/2018;1800;30.7;22.4;47;;5;1;4;
83536;07/01/2018;0000;21.3;21;96;;36;1;10;
83536;07/01/2018;1200;25.1;22.2;76;;9;1;6;
83536;07/01/2018;1800;30.3;23.4;54;;36;1;7;
83536;08/01/2018;0000;22.3;20.2;81;;0;0;0;
83536;08/01/2018;1200;27.3;21.8;61;;9;3;3;
83536;08/01/2018;1800;32.3;22.6;42;;14;1;4;
83536;09/01/2018;0000;24.5;19.6;63;;9;1;0;
83536;09/01/2018;1200;26.5;21;60;;14;3;2;
83536;09/01/2018;1800;32.5;22.8;40;;14;1;3;
83536;10/01/2018;0000;24.1;20;66;;14;1;0;
83536;10/01/2018;1200;27.1;21;56;;9;5;4;
83536;10/01/2018;1800;32.3;23.2;45;;14;3;4;
83536;11/01/2018;0000;25.3;20.2;61;;9;3;0;
83536;11/01/2018;1200;26.3;19;47;;9;5;2;
83536;11/01/2018;1800;32.1;22.4;41;;9;1;4;
83536;12/01/2018;0000;29.3;20.4;43;;14;1;0;
83536;12/01/2018;1200;23.9;20.8;75;;14;1;7;
83536;12/01/2018;1800;31.1;22.2;44;;14;1;7;
83536;13/01/2018;0000;24.5;21.4;76;;0;0;5;
83536;13/01/2018;1200;27.3;22.1;63;;5;1;2;
83536;13/01/2018;1800;33.1;23;40;;36;1;5;
83536;14/01/2018;0000;23.4;21.1;81;;0;0;0;
83536;14/01/2018;1200;27.7;23.2;67;;5;3;2;
83536;14/01/2018;1800;24.7;22.2;79;;32;3;4;
