--------------------
BDMEP - INMET
--------------------
Estação           : DIAMANTINA - MG (OMM: 83538)
Latitude  (graus) : -18.23
Longitude (graus) : -43.64
Altitude  (metros): 1296.12
Estação Operante
Inicio de operação: 13/04/1918
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83538;01/01/2018;0000;20.5;18.9;84;;36;;7;
83538;01/01/2018;1200;23.2;19.3;68;;32;;10;
83538;01/01/2018;1800;26.1;19.4;53;;32;;10;
83538;02/01/2018;0000;21.7;18.5;74;;36;;10;
83538;02/01/2018;1200;22.7;18.5;66;;23;;10;
83538;02/01/2018;1800;28.1;20.5;48;;36;;6;
83538;03/01/2018;0000;21.5;18.7;76;;36;;10;
83538;03/01/2018;1200;23.1;19.6;71;;23;;9;
83538;03/01/2018;1800;28.3;19.9;45;;27;;7;
83538;04/01/2018;0000;22.2;18.7;70;;32;;10;
83538;04/01/2018;1200;18.5;18.1;96;;36;;10;
83538;04/01/2018;1800;19.1;18.6;94;;36;;10;
83538;05/01/2018;0000;18.7;18.2;94;;36;;10;
83538;05/01/2018;1200;20.1;19.1;89;;36;;10;
83538;05/01/2018;1800;17.9;17.5;96;;36;;10;
83538;06/01/2018;0000;18.7;18.4;96;;36;;10;
83538;06/01/2018;1200;19.9;18.4;86;;36;;10;
83538;06/01/2018;1800;24.9;19.9;63;;36;;6;
83538;07/01/2018;0000;20.1;18.7;86;;36;;6;
83538;07/01/2018;1200;18.7;17.5;88;;36;;10;
83538;07/01/2018;1800;25.5;18.4;50;;5;;7;
83538;08/01/2018;0000;19.7;18.1;86;;36;;0;
83538;08/01/2018;1200;20.5;17.5;73;;5;;10;
83538;08/01/2018;1800;24.9;18.1;51;;36;;7;
83538;09/01/2018;0000;18.9;16.1;75;;36;;0;
83538;09/01/2018;1200;20.5;16.7;66;;5;;7;
83538;09/01/2018;1800;24.9;17.9;49;;9;;7;
83538;10/01/2018;0000;19.4;17.5;82;;9;;4;
83538;10/01/2018;1200;18.7;17.7;90;;14;;10;
83538;10/01/2018;1800;25.7;18.7;50;;14;;7;
83538;11/01/2018;0000;18.9;15.9;73;;14;;0;
83538;11/01/2018;1200;20.9;16.7;64;;5;;8;
83538;11/01/2018;1800;25.3;17.6;45;;9;;8;
83538;12/01/2018;0000;18.9;15.7;71;;0;0;0;
83538;12/01/2018;1200;21.7;17.5;66;;36;;8;
83538;12/01/2018;1800;24.7;17.8;49;;36;;9;
83538;13/01/2018;0000;20.1;17.1;73;;36;;0;
83538;13/01/2018;1200;19.4;17.5;82;;36;;10;
83538;13/01/2018;1800;25.1;18.9;54;;36;;9;
83538;14/01/2018;0000;20.5;18.1;78;;36;;9;
83538;14/01/2018;1200;21.3;18.9;78;;36;;10;
83538;14/01/2018;1800;25.1;20.1;61;;36;;10;
83538;15/01/2018;0000;20.8;19.1;85;;0;0;10;
83538;15/01/2018;1200;22.5;18.9;71;;5;;9;
83538;15/01/2018;1800;24.1;19.7;65;;36;;9;
83538;16/01/2018;0000;20.9;18.1;75;;36;;0;
83538;16/01/2018;1200;20.7;17.9;76;;5;;10;
83538;16/01/2018;1800;26.1;18.7;49;;5;;10;
83538;17/01/2018;0000;20.5;17.7;75;;0;0;0;
83538;17/01/2018;1200;22.5;18;64;;36;;4;
83538;17/01/2018;1800;26.9;17;34;;0;0;5;
83538;18/01/2018;0000;20.5;16.7;66;;0;0;0;
83538;18/01/2018;1200;21.9;17.5;64;;5;;6;
83538;18/01/2018;1800;27.5;17.3;34;;5;;3;
83538;19/01/2018;0000;20.9;17.3;69;;0;0;0;
83538;19/01/2018;1200;23.5;18.9;65;;36;;0;
83538;19/01/2018;1800;27.3;16.8;32;;5;;8;
83538;20/01/2018;0000;21.9;15.6;50;;0;0;0;
83538;20/01/2018;1200;24.8;17.1;45;;36;;0;
83538;20/01/2018;1800;29.1;16.1;22;;0;;5;
83538;21/01/2018;0000;22.5;14.5;40;;0;0;0;
83538;21/01/2018;1200;25;16.7;42;;5;;0;
83538;21/01/2018;1800;27.9;16.1;27;;5;;7;
83538;22/01/2018;0000;21.5;16.3;57;;0;0;0;
