--------------------
BDMEP - INMET
--------------------
Estação           : DIVINOPOLIS - MG (OMM: 83635)
Latitude  (graus) : -20.17
Longitude (graus) : -44.87
Altitude  (metros): 788.35
Estação Operante
Inicio de operação: 11/10/1995
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83635;01/01/2018;0000;23.4;21;80;925.9;32;2;10;
83635;01/01/2018;1200;25.4;21.7;72;925.7;27;3;10;
83635;01/01/2018;1800;29.2;22.3;54;922.2;23;1;9;
83635;02/01/2018;0000;22.6;21.6;90;923.3;36;2;10;
83635;02/01/2018;1200;21.8;20.8;90;923.7;32;2;10;
83635;02/01/2018;1800;29.1;22.4;55;919.2;23;3;9;
83635;03/01/2018;0000;24;21.4;80;921.2;23;2;10;
83635;03/01/2018;1200;24.9;21.9;77;922.6;32;2;10;
83635;03/01/2018;1800;29.8;23.7;59;919.6;32;2;10;
83635;04/01/2018;0000;22;21.2;93;922.6;36;2;10;
83635;04/01/2018;1200;22.8;21.7;90;924.9;36;2.1;10;
83635;04/01/2018;1800;22.5;21.4;91;923.5;36;4;10;
83635;05/01/2018;0000;21;20.8;97;925.6;23;1;10;
83635;05/01/2018;1200;22.1;21.1;92;926.9;36;3;10;
83635;05/01/2018;1800;20;19.8;98;926.1;36;3;10;
83635;06/01/2018;0000;20.1;19.4;92;927.2;36;1;10;
83635;06/01/2018;1200;23.2;20.8;79;927.6;36;2;10;
83635;06/01/2018;1800;29.6;22.3;51;923.7;32;4;10;
83635;07/01/2018;0000;22.2;20.9;87;925.4;32;2;10;
83635;07/01/2018;1200;22.9;21.2;86;926.7;36;2;10;
83635;08/01/2018;1200;22.2;20.9;87;928.3;18;2;10;
83635;08/01/2018;1800;28.8;22.8;58;925.4;36;2;10;
