--------------------
BDMEP - INMET
--------------------
Estação           : ESPINOSA - MG (OMM: 83338)
Latitude  (graus) : -14.91
Longitude (graus) : -42.8
Altitude  (metros): 569.64
Estação Operante
Inicio de operação: 01/03/1974
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83338;01/01/2018;1200;28.6;22.1;56;950.5;9;4;7;
83338;01/01/2018;1800;32.5;25;51;945.8;14;2;9;
83338;02/01/2018;1200;28.9;23.8;64;948.1;9;2;6;
83338;02/01/2018;1800;26.2;22.1;68;944.4;5;2;9;
83338;03/01/2018;1200;26.4;22.9;73;948.1;5;2;9;
83338;03/01/2018;1800;22.8;21.9;92;946.7;36;1;9;
83338;04/01/2018;1200;24.5;22.5;85;951.8;5;1;10;
83338;04/01/2018;1800;29.5;23.8;60;948.4;5;2;9;
83338;05/01/2018;1200;26.6;21.1;60;952.7;5;2;5;
83338;05/01/2018;1800;31.1;21.5;40;949;5;4;8;
83338;06/01/2018;1200;26;21;63;952.3;14;4;7;
83338;06/01/2018;1800;30.4;21.8;44;948.9;5;4;7;
83338;08/01/2018;1200;25.2;19.7;58;952.9;14;6;2;
83338;08/01/2018;1800;31.6;20;31;948.8;9;4;4;
83338;09/01/2018;1200;26.1;20.3;58;953.6;14;4;2;
83338;09/01/2018;1800;32.9;21.4;33;949.5;9;4;6;
83338;10/01/2018;1200;25.5;21.2;67;953.8;5;2;9;
83338;10/01/2018;1800;26;23.1;78;951.3;36;2;10;
83338;11/01/2018;1200;24.9;19.8;61;954;14;6;2;
83338;11/01/2018;1800;30.4;20.5;37;950.1;9;4;6;
83338;12/01/2018;1200;27.5;20.4;50;951;5;2;2;
83338;12/01/2018;1800;32.5;21.8;35;947.3;5;2;6;
83338;13/01/2018;1200;26.3;20.8;59;950.8;9;4;6;
83338;13/01/2018;1800;33.2;22.4;37;946.3;14;4;7;
83338;15/01/2018;1800;33.2;21.6;33;948.6;9;4;6;
83338;16/01/2018;1200;26.6;18.6;44;953.1;9;4;2;
83338;16/01/2018;1800;33.3;19.1;22;949.8;5;2;1;
83338;17/01/2018;1200;25.5;19.1;53;953.4;9;7;5;
83338;17/01/2018;1800;30.7;19.5;32;950.4;9;7;5;
83338;18/01/2018;1200;25.8;19.2;51;954.2;9;8;2;
83338;18/01/2018;1800;31.3;21.3;38;949.8;14;7;5;
83338;19/01/2018;1200;26.6;20.2;54;953.1;14;6;6;
83338;19/01/2018;1800;33.7;20.2;25;948.7;5;4;5;
83338;20/01/2018;1200;27.3;20.5;52;952.1;9;4;1;
83338;20/01/2018;1800;33.6;20.8;28;947.8;14;2;7;
83338;22/01/2018;1200;27.4;20.7;52;949.7;9;6;1;
83338;22/01/2018;1800;34.7;20.1;22;945.4;9;4;3;
83338;23/01/2018;1200;25.8;20.1;57;950.8;14;6;2;
83338;23/01/2018;1800;34;21.4;30;945.7;14;2;4;
