--------------------
BDMEP - INMET
--------------------
Estação           : FORMOSO - MG (OMM: 83334)
Latitude  (graus) : -14.93
Longitude (graus) : -46.25
Altitude  (metros): 840.00
Estação Operante
Inicio de operação: 03/04/1976
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83334;01/01/2018;0000;22.6;21.2;86;;0;0;10;
83334;01/01/2018;1200;27.2;22.6;67;;14;2;7;
83334;01/01/2018;1800;26;22.2;71;;18;1;8;
83334;02/01/2018;0000;22.8;21;84;;0;0;8;
83334;02/01/2018;1200;25.4;22;74;;0;0;8;
83334;02/01/2018;1800;26.2;21.8;66;;0;0;8;
83334;03/01/2018;0000;21.4;20.2;88;;0;0;10;
83334;03/01/2018;1200;27.6;22.6;63;;0;0;7;
83334;03/01/2018;1800;30.2;22.2;48;;0;0;8;
83334;04/01/2018;0000;21.6;20.6;91;;0;0;10;
83334;04/01/2018;1200;23;21.8;90;;36;2;10;
83334;04/01/2018;1800;24.6;21.6;75;;0;0;10;
83334;05/01/2018;0000;22.6;21.4;88;;0;0;10;
83334;05/01/2018;1200;20.8;19.8;91;;0;0;10;
83334;05/01/2018;1800;26.8;21.2;58;;0;0;8;
83334;06/01/2018;0000;21;20.2;92;;0;0;10;
83334;06/01/2018;1200;22.2;20.8;87;;0;0;10;
83334;06/01/2018;1800;23;19.2;70;;36;1;10;
83334;07/01/2018;0000;21.4;20.2;88;;0;0;8;
83334;07/01/2018;1200;24.2;21.6;78;;0;0;8;
83334;07/01/2018;1800;25.4;23;81;;0;0;8;
83334;08/01/2018;0000;20.2;19.4;92;;0;0;8;
83334;08/01/2018;1200;25.2;21.8;73;;14;1;7;
83334;08/01/2018;1800;29.4;21;44;;9;1;7;
83334;09/01/2018;0000;24.2;19;59;;18;1;5;
83334;09/01/2018;1200;26.8;19.6;48;;5;2;2;
83334;09/01/2018;1800;31;20.2;34;;14;2;5;
83334;10/01/2018;0000;24;18.2;56;;14;2;4;
83334;10/01/2018;1200;26.2;19.6;51;;14;2;4;
83334;10/01/2018;1800;31.2;21;38;;14;2;5;
83334;11/01/2018;0000;24.8;19.6;60;;9;2;6;
83334;11/01/2018;1200;24.4;20;66;;14;2;7;
83334;11/01/2018;1800;30;20.2;39;;14;1;5;
