--------------------
BDMEP - INMET
--------------------
Estação           : ITAMARANDIBA - MG (OMM: 83488)
Latitude  (graus) : -17.85
Longitude (graus) : -42.85
Altitude  (metros): 914.00
Estação Operante
Inicio de operação: 27/03/1925
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83488;01/01/2018;1200;25.4;21.7;72;912.7;32;2;5;
83488;01/01/2018;1800;28.8;22.2;54;909.4;32;3;5;
83488;02/01/2018;0000;21.9;20.6;88;909.9;14;1;7;
83488;02/01/2018;1200;25.2;21.2;69;910.1;32;2;2;
83488;02/01/2018;1800;26.1;22.9;76;907.1;14;2;10;
83488;03/01/2018;0000;23.5;21.4;83;908.8;0;0;10;
83488;03/01/2018;1200;21.5;20.5;91;910;32;2;10;
83488;03/01/2018;1800;29.9;22.5;52;906.5;32;2;9;
83488;04/01/2018;0000;21.3;20.4;91;909.8;14;2;10;
83488;04/01/2018;1200;20.5;19.9;93;913.2;36;3;10;
83488;04/01/2018;1800;23.6;20.4;73;911.3;32;3;10;
83488;05/01/2018;0000;21.5;20.3;89;913.1;0;0;10;
83488;05/01/2018;1200;22.9;20.9;83;914.6;5;4;9;
83488;05/01/2018;1800;28.4;21.8;55;912.1;36;2;4;
83488;06/01/2018;0000;20.6;19.8;92;913.3;0;0;9;
83488;06/01/2018;1200;21.6;19.8;84;914.6;9;2;10;
83488;06/01/2018;1800;27.1;21.5;60;911.4;5;1;4;
83488;07/01/2018;0000;21.2;20;90;912.2;9;1;0;
83488;08/01/2018;1200;22.7;19;69;915.5;9;2;7;
83488;08/01/2018;1800;26.6;19.8;52;912.8;14;5;3;
83488;09/01/2018;0000;20.7;18;76;914.1;14;2;0;
83488;09/01/2018;1200;21.6;18.5;74;917.1;14;3;7;
83488;09/01/2018;1800;27.1;20.2;52;914.5;14;3;7;
83488;10/01/2018;0000;20.1;18.8;87;916.4;14;3;4;
83488;10/01/2018;1200;21.1;19.5;86;917.4;14;2;9;
83488;10/01/2018;1800;24;19.3;64;915.8;14;5;8;
83488;11/01/2018;0000;20.8;18.9;83;916.4;18;1;2;
83488;11/01/2018;1200;20.3;18.2;81;916.6;9;2;8;
83488;11/01/2018;1800;27.4;19.7;46;913.8;9;3;4;
83488;12/01/2018;0000;20.7;18.4;79;913.9;14;2;0;
83488;12/01/2018;1200;21.7;18.6;74;914.5;9;2;8;
83488;12/01/2018;1800;27.6;20.3;49;911.5;14;3;5;
