--------------------
BDMEP - INMET
--------------------
Estação           : JANUARIA - MG (OMM: 83386)
Latitude  (graus) : -15.45
Longitude (graus) : -44
Altitude  (metros): 473.71
Estação Operante
Inicio de operação: 19/06/1912
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83386;01/01/2018;0000;24.4;23.4;92;958.5;0;0;9;
83386;01/01/2018;1200;27.6;24;72;959.7;18;0.7;8;
83386;01/01/2018;1800;24;22.4;87;956.2;18;0.5;9;
83386;02/01/2018;0000;24.8;23.2;86;956.5;17;1.1;5;
83386;02/01/2018;1200;27.3;23.4;72;958.1;23;1.5;8;
83386;02/01/2018;1800;32.5;25;51;953;18;1.5;8;
83386;03/01/2018;0000;26.6;23.1;74;955.4;32;2.8;9;
83386;03/01/2018;1200;25.2;22.6;78;957.5;23;0.5;8;
83386;03/01/2018;1800;33.1;24.1;46;953;9;1.1;6;
83386;04/01/2018;0000;25.2;22.2;75;956.4;0;0;9;
83386;04/01/2018;1200;24.2;22.2;83;960.6;5;1.6;10;
83386;04/01/2018;1800;26.7;23.5;76;958;5;0.8;10;
83386;05/01/2018;0000;24.9;23.4;88;958.7;0;0;10;
83386;05/01/2018;1200;22;20.9;90;962.4;18;1.6;10;
83386;05/01/2018;1800;28.7;23.8;64;962.8;9;0.7;9;
83386;06/01/2018;0000;24.6;23;85;959.7;0;0;6;
83386;06/01/2018;1200;25.5;23.2;82;961.1;18;0.8;10;
83386;06/01/2018;1800;28.5;23.2;63;958.1;27;2;9;
83386;07/01/2018;0000;22.9;21.6;89;958.8;0;0;4;
83386;07/01/2018;1200;26.4;22.6;70;960;9;1.3;1;
83386;07/01/2018;1800;31.1;23.1;48;956.2;9;1.8;1;
83386;08/01/2018;0000;24.7;22.9;84;958.2;0;0;0;
83386;08/01/2018;1200;26.7;21.6;63;955.6;5;3.3;1;
83386;08/01/2018;1800;31.9;23;44;957.5;9;2;2;
83386;09/01/2018;0000;23;21;84;958.7;0;0;0;
83386;09/01/2018;1200;26.3;20.5;56;962.6;9;2.5;0;
83386;09/01/2018;1800;32.3;22.3;40;959;5;2;1;
83386;10/01/2018;0000;25.4;21.5;70;959.8;27;1.5;7;
83386;10/01/2018;1200;27.1;22.2;65;963.6;5;5;5;
83386;10/01/2018;1800;32;23.4;46;959.3;9;2.1;3;
83386;11/01/2018;0000;25.2;21.7;72;961.8;5;1.1;3;
83386;11/01/2018;1200;25.1;20.9;66;963.1;9;3.3;1;
83386;11/01/2018;1800;31.2;21.6;40;959.5;9;2.1;1;
83386;12/01/2018;0000;22.8;19.6;73;959.2;27;0.7;0;
83386;12/01/2018;1200;26;20.9;62;960.6;5;3;7;
83386;12/01/2018;1800;33.2;21.6;33;957;27;0.5;3;
83386;13/01/2018;0000;24.7;21.2;71;957.5;0;0;2;
83386;13/01/2018;1200;27.4;22.5;63;959.5;5;2;7;
83386;13/01/2018;1800;33.3;23.8;44;955.4;9;2.8;6;
83386;14/01/2018;0000;26.3;22.6;71;956.8;0;0;4;
83386;14/01/2018;1200;26.8;23.2;71;961.2;18;0.8;10;
83386;14/01/2018;1800;32.5;23.1;42;957.3;5;1.8;6;
83386;15/01/2018;0000;26.5;21.9;65;958.5;27;0.7;4;
83386;15/01/2018;1200;28;23.1;63;961.2;9;3.3;6;
83386;15/01/2018;1800;32;23.8;48;957.6;9;0.8;5;
83386;16/01/2018;0000;24.3;23.2;90;958.6;5;3.3;7;
83386;16/01/2018;1200;27.1;22.4;65;961.9;5;1.6;6;
83386;16/01/2018;1800;32.8;23.2;41;958.8;18;0.8;2;
83386;17/01/2018;0000;23.6;20.4;73;958.8;0;0;0;
83386;17/01/2018;1200;27.2;20.2;51;962;9;2.6;0;
83386;17/01/2018;1800;32.7;19.7;25;958.7;9;5;2;
83386;18/01/2018;0000;24.5;21.2;74;958.9;0;0;2;
83386;18/01/2018;1200;26.9;19.8;49;963.2;9;3.8;0;
