--------------------
BDMEP - INMET
--------------------
Estação           : JUIZ DE FORA - MG (OMM: 83692)
Latitude  (graus) : -21.76
Longitude (graus) : -43.36
Altitude  (metros): 939.96
Estação Operante
Inicio de operação: 01/01/1910
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83692;01/01/2018;1200;21.6;19.8;84;907.9;32;1;6;
83692;01/01/2018;1800;29.8;21.8;48;905.5;32;1;5;
83692;02/01/2018;0000;20.2;19.6;93;906.9;23;1;3;
83692;02/01/2018;1200;22.8;21.8;91;905.7;32;1;8;
83692;02/01/2018;1800;30;23.5;58;903.1;32;1;8;
83692;03/01/2018;0000;22.8;20.6;81;904.1;36;1;4;
83692;03/01/2018;1200;23.6;20.6;75;904.4;32;3;8;
83692;03/01/2018;1800;27.6;23.1;67;903.9;36;1;8;
83692;04/01/2018;0000;22.4;20.6;85;904.7;32;1;4;
83692;04/01/2018;1200;19.2;18.8;96;908.6;18;3;10;
83692;04/01/2018;1800;19.4;18.8;93;909.2;14;3;10;
83692;05/01/2018;0000;17.4;17.2;97;910.1;18;3;10;
83692;05/01/2018;1200;19.6;19.4;98;910.4;5;3;10;
83692;05/01/2018;1800;22.8;21.6;89;910;36;3;10;
83692;06/01/2018;0000;18.6;18.4;98;911.3;32;3;4;
83692;06/01/2018;1200;20.6;20;94;910.1;36;3;10;
83692;06/01/2018;1800;24.6;21.2;72;909.8;36;3;8;
83692;07/01/2018;0000;25.8;21;64;908.7;5;1;3;
83692;08/01/2018;1200;19.8;19.4;95;911.9;14;1;10;
83692;08/01/2018;1800;25.8;21.2;65;911.2;9;1;8;
83692;09/01/2018;0000;19.4;18.9;94;912.8;18;1;8;
83692;09/01/2018;1200;22.4;20.2;81;915.1;14;1;8;
83692;09/01/2018;1800;25.6;20.4;60;913.9;14;3;6;
83692;10/01/2018;0000;21.4;19.8;85;914.7;9;4;1;
83692;10/01/2018;1200;21.8;18.8;74;915.7;14;3;6;
83692;10/01/2018;1800;26.6;20.2;55;915.3;14;3;4;
83692;11/01/2018;0000;21.4;19.2;80;914.3;9;4;0;
83692;11/01/2018;1200;22.4;19.6;76;914.1;5;1;8;
83692;11/01/2018;1800;26.4;21;60;912.2;36;1;6;
83692;12/01/2018;0000;21.6;19.4;81;911.6;9;3;0;
83692;12/01/2018;1200;20.6;19.4;88;910.4;6;3;8;
83692;12/01/2018;1800;21.6;20.6;91;910;36;3;8;
83692;13/01/2018;0000;19.2;18.5;93;909.8;32;1;10;
83692;13/01/2018;1200;22.2;19.8;78;910;36;3;8;
83692;13/01/2018;1800;27.4;22.4;63;908.4;5;3;8;
83692;14/01/2018;0000;19;17.8;87;908.9;14;3;10;
83692;14/01/2018;1200;19.8;18.8;90;910.5;32;1;10;
83692;14/01/2018;1800;27;22.6;67;909.6;36;1;6;
83692;15/01/2018;0000;19.2;18;88;910.3;32;4;8;
83692;15/01/2018;1200;23.2;21.2;83;911.4;32;1;8;
83692;15/01/2018;1800;24.4;22.1;82;910.8;32;3;8;
83692;16/01/2018;0000;19.6;19.4;98;911.3;27;1;8;
83692;16/01/2018;1200;23.2;20.4;76;912.8;32;3;6;
83692;16/01/2018;1800;29.9;24.5;64;911.8;14;1;8;
83692;17/01/2018;0000;23.4;21.6;85;911.6;9;1;8;
83692;17/01/2018;1200;25.8;22.6;75;912.3;5;1;8;
83692;17/01/2018;1800;29;23.2;60;911.3;5;3;8;
83692;18/01/2018;0000;24.5;20.2;67;911.1;5;1;8;
83692;18/01/2018;1200;20;20.2;62;912.7;32;3;6;
83692;18/01/2018;1800;29.8;21.9;49;910.5;5;1;2;
83692;19/01/2018;0000;24.6;19.7;62;910.2;36;5;1;
83692;19/01/2018;1200;25.4;20.8;65;912.1;36;3;4;
83692;19/01/2018;1800;31;22.8;47;910.9;32;1;4;
83692;20/01/2018;0000;25;20;63;910.5;18;5;3;
83692;20/01/2018;1200;26.6;19.3;49;911.8;0;0;2;
83692;20/01/2018;1800;30.6;21.1;41;910.2;5;5;4;
83692;21/01/2018;0000;21;18.8;80;910.8;18;4;0;
83692;21/01/2018;1200;25.6;21.8;69;911.1;36;1;8;
83692;21/01/2018;1800;27.9;23;66;909.2;18;3;8;
83692;22/01/2018;0000;22.4;18.9;71;909;18;3;8;
83692;22/01/2018;1200;25.6;20.8;63;909.2;36;1;6;
83692;22/01/2018;1800;28.8;22.6;57;905;5;1;6;
83692;23/01/2018;0000;19.2;18.8;96;910.2;14;3;8;
83692;23/01/2018;1200;21.6;20.2;88;909.8;5;1;6;
83692;23/01/2018;1800;27.4;22.8;65;908.1;5;1;6;
83692;24/01/2018;0000;19.8;18.8;90;909.3;18;4;10;
83692;24/01/2018;1200;23.6;20.8;76;909.9;36;1;4;
83692;24/01/2018;1800;29.4;23.3;57;907.9;36;1;8;
83692;25/01/2018;0000;22.5;19.6;76;908;27;4;1;
83692;25/01/2018;1200;24.2;20.8;72;909;36;3;5;
83692;25/01/2018;1800;28.2;22;56;907;36;3;6;
83692;26/01/2018;0000;21.4;19.2;80;908.3;18;3;8;
83692;26/01/2018;1200;24.6;21.4;74;908.8;14;3;8;
83692;26/01/2018;1800;27;21.8;62;907.6;5;1;8;
83692;27/01/2018;0000;20.1;19.4;92;908.6;18;4;9;
83692;27/01/2018;1200;20.2;18.8;86;909.9;18;3;8;
83692;27/01/2018;1800;24.8;20.8;69;908.5;18;3;8;
83692;28/01/2018;0000;19.6;18.6;90;908.3;23;3;6;
83692;28/01/2018;1200;21.8;19.8;82;909.1;5;1;10;
83692;28/01/2018;1800;28;22.8;62;906.9;18;1;6;
83692;29/01/2018;0000;23.6;20.5;74;906.3;5;3;3;
83692;29/01/2018;1200;23.4;21.2;82;906.9;32;3;8;
83692;29/01/2018;1800;19.8;19.4;95;904.5;14;1;10;
83692;30/01/2018;0000;20;19.8;98;905.3;14;3;9;
83692;30/01/2018;1200;19.8;19.8;99;905;32;1;10;
83692;30/01/2018;1800;23.2;20;73;903.3;18;4.6;10;
83692;31/01/2018;0000;16.7;16.4;97;905.3;18;3;10;
83692;31/01/2018;1200;18;17;89;906.1;18;1;10;
83692;31/01/2018;1800;20.9;18.1;75;906.1;18;5;10;
83692;01/02/2018;0000;20.4;17;100;909.9;18;3.08664;6.25;
83692;01/02/2018;1200;20.4;18.2;81;907.8;18;3;8;
83692;01/02/2018;1800;25.4;20;60;906.4;18;1;4;
83692;02/02/2018;0000;19.1;17.6;85;906.9;18;4;3;
83692;02/02/2018;1200;19.6;18.4;89;906.4;18;1;10;
83692;02/02/2018;1800;25.2;21.2;69;904.4;18;4;5;
83692;03/02/2018;0000;21;19.4;85;904.7;18;5;5;
83692;03/02/2018;1200;20.4;18.6;84;905.5;18;4;8;
83692;03/02/2018;1800;27.2;21.3;58;904.2;14;4;4;
83692;04/02/2018;0000;19.4;18.8;93;906.3;18;4;10;
83692;04/02/2018;1200;18.3;18.1;99;908.4;18;4;0;
83692;04/02/2018;1800;18.2;17.9;97;908.1;14;4;10;
83692;05/02/2018;0000;17.5;17.3;98;908.6;18;3;10;
83692;05/02/2018;1200;14.7;14.6;99;914.5;18;3;10;
83692;05/02/2018;1800;16.6;16.6;100;906.5;18;3;10;
83692;06/02/2018;0000;16.5;16.4;98;907;14;2;10;
83692;06/02/2018;1200;17.6;17.4;98;905.7;18;1;10;
83692;06/02/2018;1800;23.2;21;81;904.6;18;1;8;
83692;07/02/2018;0000;18.6;18.4;98;906.1;18;5;10;
83692;07/02/2018;1200;18.8;18.6;97;906.8;18;1;10;
83692;07/02/2018;1800;25;21.4;73;906.8;18;3;8;
83692;08/02/2018;0000;17.6;16.5;89;907.5;18;5;6;
83692;08/02/2018;1200;22.2;20.2;82;903.4;23;1;8;
83692;08/02/2018;1800;24.8;20.4;66;908.5;18;3;6;
83692;09/02/2018;0000;22.1;20.9;90;909.5;14;1;5;
83692;09/02/2018;1200;21.2;19.8;88;911.4;14;1;10;
83692;09/02/2018;1800;28;23;63;909.9;9;1;6;
83692;10/02/2018;0000;23;21;84;910.2;9;3;0;
83692;10/02/2018;1200;25.2;22.4;77;904.3;5;1;6;
83692;10/02/2018;1800;29.2;24.5;68;909.6;5;1;5;
83692;11/02/2018;0000;23.8;22;85;910;32;1;0;
83692;11/02/2018;1200;24.4;21.2;75;911.2;5;1;4;
83692;11/02/2018;1800;29.6;23.7;59;909.5;36;1;6;
83692;12/02/2018;0000;24;20.7;74;908.9;36;3;0;
83692;12/02/2018;1200;22.8;18.6;65;911;36;3;8;
83692;12/02/2018;1800;29.2;21.9;52;909.2;5;3;3;
83692;13/02/2018;0000;24.4;19.5;63;909;36;3;0;
83692;13/02/2018;1200;25.2;20.8;66;911.4;36;3;6;
83692;13/02/2018;1800;28.1;22.4;59;911.1;18;4;8;
83692;14/02/2018;0000;21.2;19.8;88;912.4;18;4;3;
83692;14/02/2018;1200;20.2;19.2;90;914.3;14;1;8;
83692;14/02/2018;1800;27.1;22.6;67;912.3;14;2;5;
83692;15/02/2018;0000;22.4;21.7;94;912.7;9;3;4;
83692;15/02/2018;1200;21.6;19.8;84;914.3;14;1;8;
83692;15/02/2018;1800;26;21.4;66;913.9;9;3;7;
83692;16/02/2018;0000;21;20.6;96;914.8;14;3;4;
83692;16/02/2018;1200;20.8;18.8;82;915.5;14;1;6;
83692;16/02/2018;1800;27.2;20.2;51;914;5;1;5;
83692;17/02/2018;0000;20.2;19.5;93;913.5;9;4;5;
83692;17/02/2018;1200;22.1;19.4;77;913.3;5;3;6;
83692;17/02/2018;1800;26.2;20.5;57;911.2;9;4;5;
83692;18/02/2018;0000;21.9;20.4;87;911.1;18;4;5;
83692;18/02/2018;1200;20.8;19.6;89;910.7;23;3;9;
83692;18/02/2018;1800;22.6;19.1;70;907.9;18;4;9;
83692;19/02/2018;1200;22.4;20.6;85;909;5;3;6;
83692;19/02/2018;1800;22.8;21.6;89;907;5;1;10;
83692;20/02/2018;0000;20;19.4;94;908;36;3;10;
83692;20/02/2018;1200;22.6;20.8;83;907.5;32;1;6;
