--------------------
BDMEP - INMET
--------------------
Estação           : JURAMENTO - MG (OMM: 83452)
Latitude  (graus) : -16.77
Longitude (graus) : -43.66
Altitude  (metros): 648.00
Estação Operante
Inicio de operação: 14/11/1986
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83452;01/01/2018;0000;22.6;22;93;;14;1;0;
83452;01/01/2018;1200;27.4;23.2;68;;5;1;7;
83452;01/01/2018;1800;23.4;21.2;82;;5;3;7;
83452;02/01/2018;0000;21.4;21.2;97;;9;1;10;
83452;02/01/2018;1200;24.8;22.2;79;;18;2;9;
83452;02/01/2018;1800;30.4;24;57;;36;2;4;
83452;03/01/2018;0000;26.5;23.4;76;;9;1;8;
83452;03/01/2018;1200;25.4;21.8;72;;9;1;8;
83452;03/01/2018;1800;32.2;23.8;48;;14;2;5;
83452;04/01/2018;0000;26;22;70;;9;1;6;
83452;04/01/2018;1200;21.4;20.8;94;;14;1;10;
83452;04/01/2018;1800;24.4;22.2;82;;14;1;9;
83452;05/01/2018;0000;23;22.6;97;;14;1;10;
83452;05/01/2018;1200;25.8;22.6;74;;14;2;8;
83452;05/01/2018;1800;27;23.6;74;;9;1;9;
83452;06/01/2018;0000;22.2;20.4;83;;9;1;8;
83452;06/01/2018;1200;25.4;22.4;76;;14;1;7;
83452;06/01/2018;1800;30;23.8;59;;9;3;4;
83452;07/01/2018;0000;22;21.4;95;;36;1;0;
83452;07/01/2018;1200;24.2;21.2;75;;5;1;3;
83452;07/01/2018;1800;30.2;22.6;49;;9;1;2;
83452;08/01/2018;0000;23.2;19.4;68;;9;1;5;
83452;08/01/2018;1200;24.8;20.2;64;;36;5;0;
83452;08/01/2018;1800;29.6;22;49;;14;3;7;
83452;09/01/2018;0000;21.2;18.6;77;;14;1;0;
83452;09/01/2018;1200;25.2;19.4;56;;5;1;3;
83452;09/01/2018;1800;30.4;21.4;42;;5;1;3;
83452;10/01/2018;0000;24.2;21;74;;9;1;0;
83452;10/01/2018;1200;24.8;21.4;73;;14;3;4;
83452;10/01/2018;1800;29;23;58;;14;6;3;
83452;11/01/2018;0000;23.4;21;80;;14;1;0;
83452;11/01/2018;1200;22.8;18.8;67;;14;3;8;
83452;11/01/2018;1800;29;20.2;42;;14;3;4;
83452;12/01/2018;0000;21.2;18.3;75;;9;1;0;
83452;12/01/2018;1200;24.8;20.6;67;;9;1;4;
83452;12/01/2018;1800;30.6;22;45;;9;1;5;
83452;13/01/2018;0000;22.4;20;79;;14;1;0;
83452;13/01/2018;1200;26.2;21.2;62;;5;1;3;
83452;13/01/2018;1800;30.4;23.2;52;;36;5;7;
83452;14/01/2018;0000;23.2;22.2;91;;9;1;0;
83452;14/01/2018;1200;25.2;21.8;72;;14;3;4;
83452;14/01/2018;1800;30.2;23.4;54;;14;1;6;
83452;15/01/2018;0000;23.2;20.8;79;;14;1;5;
83452;15/01/2018;1200;25;21;69;;36;1;3;
83452;15/01/2018;1800;31;21.8;42;;14;1;4;
83452;16/01/2018;0000;23.2;20;73;;9;1;6;
83452;16/01/2018;1200;25.8;21;63;;9;3;3;
83452;16/01/2018;1800;31.6;22.2;43;;9;1;4;
83452;17/01/2018;0000;22.4;18.6;68;;14;1;0;
83452;17/01/2018;1200;26.1;20.1;56;;5;1;2;
83452;17/01/2018;1800;30.4;22.2;47;;9;1;2;
83452;18/01/2018;0000;22.2;18.2;66;;9;1;0;
83452;18/01/2018;1200;25;19.8;61;;14;3;3;
83452;18/01/2018;1800;30.2;22;46;;14;1;4;
83452;19/01/2018;0000;24.6;21.6;75;;14;1;3;
83452;19/01/2018;1200;24.4;20.2;67;;5;1;2;
83452;19/01/2018;1800;30.2;23.2;53;;9;1;3;
83452;20/01/2018;0000;23;22;92;;9;1;3;
83452;20/01/2018;1200;27;20.4;53;;9;1;0;
83452;20/01/2018;1800;32.4;21.8;37;;14;1;4;
83452;21/01/2018;0000;24.8;19.6;60;;14;1;0;
83452;21/01/2018;1200;27.2;20.3;51;;9;1;2;
83452;21/01/2018;1800;32.2;21.4;36;;9;1;3;
83452;22/01/2018;0000;24.2;17.2;47;;9;1;0;
83452;22/01/2018;1200;26.8;20.2;52;;14;1;2;
83452;22/01/2018;1800;32;20.6;32;;9;1;4;
83452;23/01/2018;0000;23;19;68;;9;3;5;
83452;23/01/2018;1200;27.1;21.1;57;;5;1;3;
83452;23/01/2018;1800;32.4;23.2;44;;9;2;3;
83452;24/01/2018;0000;25.2;21.4;70;;9;1;0;
83452;24/01/2018;1200;27;20.4;53;;9;3;4;
83452;24/01/2018;1800;30.8;22.6;48;;14;1;8;
83452;25/01/2018;0000;26.2;20.4;56;;14;1;5;
83452;25/01/2018;1200;25.2;20.4;63;;14;1;4;
83452;25/01/2018;1800;30.2;22.4;48;;9;1;3;
83452;26/01/2018;0000;23.2;19.2;67;;9;1;0;
83452;26/01/2018;1200;26;21.6;67;;9;3;4;
83452;26/01/2018;1800;31.4;22.4;44;;14;3;7;
83452;27/01/2018;0000;24.2;20.6;71;;5;1;7;
83452;27/01/2018;1200;26;20.4;59;;14;1;3;
83452;27/01/2018;1800;31;22;43;;14;1;7;
83452;28/01/2018;0000;22;21.2;93;;9;1;10;
83452;28/01/2018;1200;26.4;22.4;69;;9;3;6;
83452;28/01/2018;1800;29.8;23.6;58;;9;1;4;
83452;29/01/2018;0000;23.6;22.6;90;;14;1;8;
83452;29/01/2018;1200;23.2;22.4;92;;5;1;7;
83452;29/01/2018;1800;26.2;23.2;75;;18;1;7;
83452;30/01/2018;0000;21.4;20.3;89;;9;1;8;
83452;30/01/2018;1200;24.8;22.8;84;;9;1;3;
83452;30/01/2018;1800;31.4;24.8;57;;9;1;4;
83452;31/01/2018;0000;27;22.8;68;;9;1;0;
83452;31/01/2018;1200;24.2;22.2;83;;5;1;10;
83452;31/01/2018;1800;22;21.2;93;;5;1;10;
83452;01/02/2018;0000;21.2;21;98;;9;1;8;
83452;01/02/2018;1200;22.6;21.8;91;;9;3;6;
83452;01/02/2018;1800;24.6;22;78;;14;5;7;
83452;02/02/2018;0000;22.4;20.8;86;;9;1;10;
83452;02/02/2018;1200;23.2;21.4;84;;9;1;5;
83452;02/02/2018;1800;26.4;23.4;76;;9;1;7;
83452;03/02/2018;0000;20.4;20.2;98;;9;1;0;
83452;03/02/2018;1200;22;21.4;95;;9;1;10;
83452;03/02/2018;1800;22.4;21;88;;9;5;10;
83452;04/02/2018;0000;19;18.8;96;;32;1;10;
83452;04/02/2018;1200;19;18;89;;9;1;10;
83452;04/02/2018;1800;21.2;20;89;;9;1;10;
83452;05/02/2018;0000;20.3;20;97;;9;1;10;
83452;05/02/2018;1200;20.4;19.8;95;;9;3;10;
83452;05/02/2018;1800;21;20.6;95;;36;1;10;
83452;06/02/2018;0000;21.4;21;95;;14;1;10;
83452;06/02/2018;1200;22;21;91;;9;1;10;
83452;06/02/2018;1800;27.2;22.8;68;;5;2;7;
83452;07/02/2018;0000;23.2;22.2;91;;9;1;8;
83452;07/02/2018;1200;23.6;21.2;79;;23;2;6;
83452;07/02/2018;1800;28;24;69;;0;0;9;
83452;08/02/2018;0000;23.2;22.4;92;;9;1;5;
83452;08/02/2018;1200;24.2;22.4;84;;9;1;5;
83452;08/02/2018;1800;30.6;24;57;;9;2;2;
83452;09/02/2018;0000;24;22.6;89;;9;1;3;
83452;09/02/2018;1200;25.2;22.4;77;;14;3;7;
83452;09/02/2018;1800;30;24.8;65;;0;0;9;
83452;10/02/2018;0000;22.8;22.4;96;;14;1;8;
83452;10/02/2018;1200;24.2;23.2;91;;5;1;7;
83452;10/02/2018;1800;26.4;23.6;78;;9;1;4;
83452;11/02/2018;0000;23;21;84;;9;1;5;
83452;11/02/2018;1200;24.4;21;73;;14;3;6;
83452;11/02/2018;1800;30.4;22;46;;14;3;4;
83452;12/02/2018;0000;22.2;19.4;75;;14;3;0;
83452;12/02/2018;1200;20.2;15.3;57;;9;1;3;
83452;12/02/2018;1800;29.3;22.3;53;;9;1;5;
83452;13/02/2018;0000;23.2;19;65;;9;1;5;
83452;13/02/2018;1200;25.8;21.6;67;;9;3;0;
83452;13/02/2018;1800;30.6;24;57;;9;1;3;
83452;14/02/2018;0000;23.4;20;72;;14;1;0;
83452;14/02/2018;1200;28;21;50;;14;5;3;
83452;14/02/2018;1800;30.4;25.2;64;;9;1;0;
83452;15/02/2018;0000;23.4;22.3;91;;9;1;5;
83452;15/02/2018;1200;23;21;84;;9;1;9;
83452;15/02/2018;1800;27.8;24;72;;14;3;10;
83452;16/02/2018;0000;21.4;20.2;88;;14;1;8;
83452;16/02/2018;1200;23.4;20.2;74;;9;1;7;
83452;16/02/2018;1800;28.8;22.4;55;;14;1;6;
83452;17/02/2018;0000;20.3;19.2;90;;9;1;5;
83452;17/02/2018;1200;24.4;20.8;72;;9;3;4;
83452;17/02/2018;1800;29;22.6;56;;14;3;8;
83452;18/02/2018;0000;21.6;20.4;90;;14;1;0;
83452;18/02/2018;1200;24.4;21;73;;5;1;3;
83452;18/02/2018;1800;30.4;23.2;52;;5;1;3;
83452;19/02/2018;0000;22.6;21.2;86;;9;1;0;
83452;19/02/2018;1200;26.2;21.8;66;;9;1;0;
