--------------------
BDMEP - INMET
--------------------
Estação           : LAVRAS - MG (OMM: 83687)
Latitude  (graus) : -21.75
Longitude (graus) : -45
Altitude  (metros): 918.84
Estação Operante
Inicio de operação: 18/02/1911
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83687;01/01/2018;0000;20.6;19.2;87;911.5;0;0;10;
83687;01/01/2018;1200;23.4;20.8;79;911.5;0;0;8;
83687;01/01/2018;1800;29;22.2;54;908.8;27;3;7;
83687;02/01/2018;0000;20.6;19.4;88;908.7;5;2;2;
83687;02/01/2018;1200;21.6;21;95;909.6;32;1;10;
83687;02/01/2018;1800;29.2;22;52;905.9;32;4;7;
83687;03/01/2018;0000;22.2;20.6;85;907.5;32;3;10;
83687;03/01/2018;1200;20.6;19.8;92;908.1;32;1;10;
83687;03/01/2018;1800;25;22.8;83;906.7;23;1;7;
83687;04/01/2018;0000;21.6;20.8;93;907.9;0;0;10;
83687;04/01/2018;1200;20.2;19.4;92;910.9;9;2;10;
83687;04/01/2018;1800;19.6;19;94;908.4;14;1;10;
83687;05/01/2018;0000;18.2;17;88;912;9;2;10;
83687;05/01/2018;1200;22;20.6;88;912.3;36;2;10;
83687;05/01/2018;1800;22.8;21.6;89;911.6;0;0;10;
83687;06/01/2018;0000;19.8;19.4;95;913.4;0;0;10;
83687;06/01/2018;1200;22;20.2;85;913.4;0;0;10;
83687;06/01/2018;1800;23.2;20.6;78;911;27;2;10;
83687;07/01/2018;0000;21.4;20.8;94;911.3;0;0;10;
83687;07/01/2018;1200;20.6;19.6;90;912.5;0;0;10;
83687;07/01/2018;1800;26.6;21.2;61;910.8;0;0;10;
83687;08/01/2018;0000;20.6;19;85;912.6;27;1;10;
83687;08/01/2018;1200;22.2;20.4;83;914.4;5;1;10;
83687;08/01/2018;1800;25;21.4;73;913.1;27;2;10;
83687;09/01/2018;0000;19.4;18.2;88;914.3;0;0;10;
83687;09/01/2018;1200;22.2;19.6;77;916.6;9;2;7;
83687;09/01/2018;1800;27.6;20.6;51;915.3;5;1;6;
83687;10/01/2018;0000;23;18.6;65;915.4;9;2;0;
83687;10/01/2018;1200;23.6;20;70;917.5;5;2;5;
83687;10/01/2018;1800;28.2;21;50;916.1;14;1;4;
83687;11/01/2018;0000;23.8;19.4;65;915.3;14;2;0;
83687;11/01/2018;1200;22.8;20;76;916.2;9;2;8;
83687;11/01/2018;1800;27.4;20.8;53;913.2;5;1;8;
83687;12/01/2018;0000;22.4;20.2;81;913.4;0;0;10;
83687;12/01/2018;1200;21.8;20;83;913.7;0;0;10;
83687;12/01/2018;1800;27;21.6;61;911.8;27;1;6;
83687;13/01/2018;0000;22.8;19.4;72;911.3;0;0;10;
83687;13/01/2018;1200;23.6;20.2;72;912.4;36;2;4;
83687;13/01/2018;1800;28.6;20.8;49;909.8;36;2;6;
83687;14/01/2018;0000;22.8;19.6;73;910.9;0;0;3;
83687;14/01/2018;1200;21.8;19.2;77;913.8;9;2;7;
83687;14/01/2018;1800;23.2;20;73;911.5;5;3;10;
83687;15/01/2018;0000;19.6;19;94;913.5;0;0;10;
83687;15/01/2018;1200;21.2;20.2;91;914.2;9;1;10;
83687;15/01/2018;1800;27.2;21.8;61;913.2;0;0;7;
83687;16/01/2018;0000;20.2;18.2;81;914.4;23;2;10;
83687;16/01/2018;1200;23.4;21;80;915;5;2;3;
83687;16/01/2018;1800;30;22.2;50;913.2;0;0;6;
83687;17/01/2018;0000;24.6;20.4;66;913.3;0;0;10;
83687;17/01/2018;1200;25.2;21.2;68;914.5;5;1;3;
83687;17/01/2018;1800;31.4;22.6;46;912.7;23;1;4;
83687;18/01/2018;0000;25.8;21;64;912.4;5;2;0;
83687;18/01/2018;1200;24.4;19;59;915.4;5;2;2;
83687;18/01/2018;1800;30.4;20.6;39;912.9;32;1;5;
83687;19/01/2018;0000;24.2;19;59;913.1;0;0;2;
83687;19/01/2018;1200;23.8;19.2;64;914.7;5;1;7;
83687;19/01/2018;1800;31.4;21.6;40;912.6;36;1;5;
83687;20/01/2018;0000;24.4;20.4;69;913.4;0;0;0;
83687;20/01/2018;1200;24.6;20.6;68;913.7;9;1;3;
83687;20/01/2018;1800;32;21;35;911.5;32;2;4;
83687;21/01/2018;0000;25.6;19.6;55;911.8;14;2;2;
83687;21/01/2018;1200;24.2;20.6;71;913.7;5;2;3;
83687;21/01/2018;1800;32.2;21.2;35;910.6;27;1;5;
83687;22/01/2018;0000;24.6;19.8;62;910.2;0;0;8;
83687;22/01/2018;1200;25.4;20.6;64;911.5;0;0;3;
83687;22/01/2018;1800;32.2;21.4;36;908.9;32;2;3;
83687;23/01/2018;0000;21.8;19;75;910.9;14;3;10;
83687;23/01/2018;1200;24.4;21;73;911.9;0;0;6;
83687;23/01/2018;1800;31;22.6;46;909.6;32;2;7;
83687;24/01/2018;0000;20.6;19.6;90;911.8;0;0;10;
83687;24/01/2018;1200;22.8;20.6;81;912.4;14;1;6;
83687;24/01/2018;1800;31.6;23.6;51;909.6;32;1;7;
83687;25/01/2018;0000;22.2;20.2;82;910.7;9;1;10;
83687;25/01/2018;1200;23.6;20.8;76;910.6;9;2;3;
83687;25/01/2018;1800;25.6;20.6;61;908.9;36;3;8;
83687;26/01/2018;0000;21.6;20.6;91;909.7;9;2;10;
83687;26/01/2018;1200;23.4;20.8;79;911.3;9;2;2;
83687;26/01/2018;1800;28;21.4;53;908.9;5;1;5;
83687;27/01/2018;0000;21.4;20;87;910.1;9;2;10;
83687;27/01/2018;1200;23.6;20.4;73;911.5;9;2;9;
83687;27/01/2018;1800;29.4;21.8;49;909.1;9;2;7;
83687;28/01/2018;0000;22.8;20;76;909.3;9;2;5;
83687;28/01/2018;1200;24;20.4;72;911.2;9;2;5;
83687;28/01/2018;1800;27.4;22.2;62;907.7;14;2;10;
83687;29/01/2018;0000;22.6;21.4;88;908.1;0;0;8;
83687;29/01/2018;1200;24;21;77;909.2;36;1;10;
83687;29/01/2018;1800;25;21.8;76;906.9;5;1;10;
83687;30/01/2018;0000;21;20.2;92;907.6;9;1;10;
83687;30/01/2018;1200;22.4;21;88;908.3;32;1;10;
83687;30/01/2018;1800;27.8;24;72;905.3;32;1;8;
83687;31/01/2018;0000;20.8;20;93;906.2;0;0;10;
83687;31/01/2018;1200;19;18.4;93;908.1;9;1;10;
83687;31/01/2018;1800;27.2;22.2;64;907.1;23;1;8;
83687;01/02/2018;0000;22.4;18.8;86;911.1;0;0;10;
