--------------------
BDMEP - INMET
--------------------
Estação           : MACHADO - MG (OMM: 83683)
Latitude  (graus) : -21.68
Longitude (graus) : -45.94
Altitude  (metros): 873.35
Estação Operante
Inicio de operação: 01/09/1961
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83683;01/01/2018;0000;19.4;18.8;93;916.2;23;1;10;
83683;01/01/2018;1200;24.2;21.4;77;916.1;36;1;9;
83683;01/01/2018;1800;29.7;23.1;56;912.1;23;1.5;6;
83683;02/01/2018;0000;24.6;22.6;82;913.8;3;0.5;7;
83683;02/01/2018;1800;28.4;22.8;61;909.6;27;1.5;5;
83683;03/01/2018;0000;22.8;20.8;83;911.6;23;1;7;
83683;03/01/2018;1200;22.1;20.6;88;911.8;14;1;10;
83683;03/01/2018;1800;25.2;22.6;79;911;23;1;9;
83683;04/01/2018;0000;21.4;20.6;92;912;23;1;10;
83683;04/01/2018;1200;22.8;20.8;83;915.2;14;1;10;
83683;04/01/2018;1800;26.4;22.6;71;914.6;9;1.5;6;
83683;05/01/2018;0000;20.6;19.4;88;916.5;5;1;10;
83683;05/01/2018;1200;20.8;20;93;916.6;9;1;10;
83683;05/01/2018;1800;26;23;77;915;5;1;7;
83683;06/01/2018;0000;20.4;20;97;917.2;5;1.5;10;
83683;06/01/2018;1200;19.8;19.6;97;917.5;5;1;10;
83683;06/01/2018;1800;23.2;21.6;86;916.8;5;1;10;
83683;07/01/2018;0000;21.6;20.8;93;915.5;5;1;10;
83683;07/01/2018;1200;21.5;20.6;92;916.2;5;1;10;
83683;07/01/2018;1800;24.5;22.7;86;915.2;5;0.5;10;
83683;08/01/2018;0000;19.4;18.8;93;916.8;5;1.5;10;
83683;08/01/2018;1200;19.6;19.4;98;919.1;23;1;10;
83683;08/01/2018;1800;22.4;21.2;89;917.8;36;1.5;10;
83683;09/01/2018;0000;18.2;17.8;96;919.1;23;1;10;
83683;09/01/2018;1200;23.7;21;77;920.7;5;1.5;8;
83683;09/01/2018;1800;27.9;21.8;58;919;5;1;7;
83683;10/01/2018;0000;22;19;75;919.7;14;1;0;
83683;10/01/2018;1200;23.6;20.6;75;921.7;9;1;8;
83683;10/01/2018;1800;28.7;23.4;62;920.1;9;1;7;
83683;11/01/2018;0000;23.4;20.8;79;919.6;5;0.5;4;
83683;11/01/2018;1200;22.9;20.6;81;920.2;5;1;9;
83683;11/01/2018;1800;27.9;21.8;58;919;5;1;9;
83683;12/01/2018;0000;22.2;20.6;85;917.7;23;1;7;
83683;12/01/2018;1200;19.8;18.9;90;917.3;23;1;10;
83683;12/01/2018;1800;26.6;22.4;69;915.3;36;1;8;
83683;13/01/2018;0000;18.9;17;82;916.1;23;1.5;6;
83683;13/01/2018;1200;24.4;21.8;79;916.2;5;1;6;
83683;13/01/2018;1800;27.5;23.1;67;914;32;1;10;
83683;14/01/2018;0000;19.6;18.9;93;915.9;18;1;7;
83683;14/01/2018;1200;22.6;21.2;86;917.9;5;1;9;
83683;14/01/2018;1800;28.6;22.6;59;916.5;14;0.5;7;
83683;15/01/2018;0000;20.2;19.6;93;917.5;14;1.5;10;
83683;15/01/2018;1200;22.3;20.8;86;917.1;18;1;8;
83683;15/01/2018;1800;25.3;22;74;916.7;23;2.1;8;
83683;16/01/2018;0000;19.1;18.2;91;920;9;1.5;10;
83683;16/01/2018;1200;22;20.4;86;919.4;9;1;7;
83683;16/01/2018;1800;29.6;23.8;60;917.4;9;1;7;
83683;17/01/2018;0000;23.6;20.8;76;917.1;14;1;0;
83683;17/01/2018;1200;26;22.6;74;918.4;9;1;5;
83683;17/01/2018;1800;31.2;23.5;51;917;5;1;4;
83683;18/01/2018;0000;24.2;21.8;80;916.1;5;1;0;
83683;18/01/2018;1200;27.4;22.2;61;918.9;9;1;5;
83683;18/01/2018;1800;30.2;22.5;49;916.7;5;1.5;5;
83683;19/01/2018;0000;23.6;19.8;68;916.9;5;1;0;
83683;19/01/2018;1200;25.8;22.2;72;918.9;5;1;8;
83683;19/01/2018;1800;31.2;22.5;45;916.6;9;1;4;
83683;20/01/2018;0000;24.2;21;74;916.8;23;1;8;
83683;20/01/2018;1200;25.8;22;70;919.1;14;1;7;
83683;20/01/2018;1800;31.4;22.2;44;916;14;1;7;
83683;21/01/2018;0000;24.2;20.6;71;915.7;23;1;9;
83683;21/01/2018;1200;26;22.2;71;918.9;23;1;7;
83683;21/01/2018;1800;31.2;22.5;45;916.2;23;1;7;
83683;22/01/2018;0000;23.8;20.2;71;914.4;27;1;7;
83683;22/01/2018;1200;26.2;21.8;66;915.9;9;1;5;
83683;22/01/2018;1800;31.6;25.2;60;912.9;27;1;6;
83683;23/01/2018;0000;22.6;20.2;78;915;18;1;9;
83683;23/01/2018;1200;24.8;21.4;73;916;14;1;5;
83683;23/01/2018;1800;31.3;23.9;53;913.2;5;1;5;
83683;24/01/2018;0000;22.8;19;69;915.6;14;1;9;
83683;24/01/2018;1200;23;20.8;82;916.1;5;1;8;
83683;24/01/2018;1800;29.7;23.8;60;913.7;5;1;6;
83683;25/01/2018;0000;21.8;19.7;81;914.7;23;1;10;
83683;25/01/2018;1200;25.8;22;70;914.6;5;1;4;
83683;25/01/2018;1800;31.2;23.8;52;911.7;9;1;6;
83683;26/01/2018;0000;21.6;20.4;90;914.1;5;1;9;
83683;26/01/2018;1200;24.9;22.1;78;915.1;14;1;7;
83683;26/01/2018;1800;31.2;23.8;52;914.6;5;1;6;
83683;27/01/2018;0000;21.8;20.6;88;914.1;23;1;10;
83683;27/01/2018;1200;25.1;21.8;73;915.6;5;1;6;
83683;27/01/2018;1800;28.6;22.8;61;913.8;5;0.5;8;
83683;28/01/2018;0000;22.6;21.2;87;913.6;36;1.5;8;
83683;28/01/2018;1200;22.7;21;85;915.7;5;1;10;
83683;28/01/2018;1800;29.1;23.6;62;913.1;5;1;7;
83683;29/01/2018;0000;22.6;21.2;87;912.8;5;1;6;
83683;29/01/2018;1200;24.8;22.4;81;913.1;9;1;7;
83683;29/01/2018;1800;29.8;24.1;61;909.6;23;1;6;
83683;30/01/2018;0000;21.2;20.6;95;909;5;1.5;10;
83683;30/01/2018;1200;22;21.2;93;912.3;9;0.5;10;
83683;30/01/2018;1800;21.8;20.9;91;909.5;18;1;10;
83683;31/01/2018;0000;21.4;21.2;97;910.4;23;1;10;
83683;31/01/2018;1200;20.4;19.4;91;912.7;23;1;10;
83683;31/01/2018;1800;27.2;22.7;68;911.3;14;1;5;
83683;01/02/2018;0000;21.6;17.8;91;915.8;23;1.02888;7.5;
83683;01/02/2018;1200;22.6;19.8;75;913.9;9;1;4;
83683;01/02/2018;1800;29.2;22.4;55;911.7;5;1;5;
83683;02/02/2018;0000;22.2;18.8;71;911.6;23;1.5;4;
83683;02/02/2018;1200;23.5;19.8;71;912.7;5;1;4;
83683;02/02/2018;1800;28.4;22.6;60;910.4;5;1;6;
83683;03/02/2018;0000;21.4;20.2;88;909.9;23;1.5;3;
83683;03/02/2018;1200;25;21.8;75;912.7;14;1.5;5;
83683;03/02/2018;1800;29;22.6;56;909.3;5;1;7;
83683;04/02/2018;0000;21;19.6;87;912.5;5;1.5;9;
83683;04/02/2018;1200;18.8;18.1;93;914.7;5;1;10;
83683;04/02/2018;1800;25;21;70;913.1;5;1;9;
83683;05/02/2018;0000;19.9;18.8;89;913.9;23;1;10;
83683;05/02/2018;1200;20.2;17.8;78;913;9;1;10;
83683;05/02/2018;1800;21;19.2;83;911.8;9;1;10;
83683;06/02/2018;0000;18.9;18.2;93;912.8;9;1;10;
83683;06/02/2018;1200;19.2;18.4;92;913.1;9;0.5;10;
83683;06/02/2018;1800;24.8;21.4;73;911.1;5;1;7;
83683;07/02/2018;0000;20.2;19;88;912;23;1;10;
83683;07/02/2018;1200;24.2;21.4;77;913.9;9;1.5;6;
83683;07/02/2018;1800;30.2;20.4;38;912.4;27;1.5;4;
83683;08/02/2018;0000;21.8;17.6;64;913;23;1;0;
83683;08/02/2018;1200;23.2;20.2;75;915.4;9;1;2;
83683;08/02/2018;1800;29.4;22.8;55;914;9;1;5;
83683;09/02/2018;0000;22.2;18.2;66;914.3;14;1;0;
83683;09/02/2018;1200;25;21.4;73;917.5;14;1;1;
83683;09/02/2018;1800;31.5;23.9;53;914.6;5;1;5;
83683;10/02/2018;0000;24.8;21;70;916;36;1;6;
83683;10/02/2018;1200;23.2;21.8;87;919.1;23;1;10;
83683;10/02/2018;1800;25.4;23.1;82;917.8;23;0.5;10;
83683;11/02/2018;0000;22.1;21.2;93;918;23;0.5;10;
83683;11/02/2018;1200;24.1;21.6;79;919.2;5;1;7;
83683;11/02/2018;1800;31.8;25.5;58;914.4;32;1;6;
83683;12/02/2018;0000;24;22.2;86;912.7;32;1;0;
83683;12/02/2018;1200;25.1;22.8;80;916.4;9;1;8;
83683;12/02/2018;1800;30.3;25;63;914.1;5;1;7;
83683;13/02/2018;0000;23.8;22;85;914.9;23;1;6;
83683;13/02/2018;1200;22.2;21.6;93;917.8;23;1;10;
83683;13/02/2018;1800;22;21.6;96;919.4;23;1;10;
83683;14/02/2018;0000;20.8;20;93;918.7;23;1.5;9;
83683;14/02/2018;1200;22.4;20.4;83;913.6;18;1;8;
83683;14/02/2018;1800;28.4;23.2;63;912;9;1;9;
83683;15/02/2018;0000;23;20.6;81;918.8;14;1.5;7;
83683;15/02/2018;1200;23.8;21.1;78;920.5;9;1;8;
83683;15/02/2018;1800;28;22.6;60;919;5;1;9;
83683;16/02/2018;0000;19.7;16.8;74;920.7;23;1.5;0;
83683;16/02/2018;1200;23.6;20.5;74;921.8;14;1;6;
83683;16/02/2018;1800;29.7;23;55;918.9;14;1;6;
83683;17/02/2018;0000;22.6;19.6;74;919.6;14;2.1;10;
83683;17/02/2018;1200;24.1;20.4;70;920;5;1;7;
83683;17/02/2018;1800;29.8;22.6;52;917.1;5;1;8;
83683;18/02/2018;0000;23.5;20.5;76;916.8;5;1;5;
83683;18/02/2018;1200;22.5;20.6;84;917.2;9;1;10;
83683;18/02/2018;1800;26.6;22.2;68;914.2;14;1;10;
83683;19/02/2018;0000;19.2;18.8;96;915.9;14;1;10;
83683;19/02/2018;1200;22.3;20.2;81;914.8;5;1;7;
83683;19/02/2018;1800;28.2;22.7;61;912.5;9;1;7;
83683;20/02/2018;0000;21.6;20.8;93;914.9;5;1.5;10;
83683;20/02/2018;1200;21.8;21;92;914.2;36;1.5;10;
83683;20/02/2018;1800;25.8;23.2;79;912.2;5;1;6;
83683;21/02/2018;0000;22;21.1;92;913.2;23;1;10;
83683;21/02/2018;1200;22.7;22.1;94;914;23;1;10;
83683;21/02/2018;1800;26.2;23.5;78;911.5;9;1;5;
83683;22/02/2018;0000;22.6;21.4;88;913.5;23;1;7;
83683;22/02/2018;1200;20.3;19.8;95;913.9;23;0.5;10;
83683;22/02/2018;1800;30.2;23.2;53;912;5;1;5;
83683;23/02/2018;0000;23.2;21.2;83;913.9;23;1;5;
83683;23/02/2018;1200;24.4;21.6;78;914.9;14;1;6;
83683;23/02/2018;1800;29.4;23.3;57;913.6;9;1.5;7;
83683;24/02/2018;0000;23.2;20;73;915.7;5;1.5;8;
83683;24/02/2018;1200;23.2;21.4;84;917.5;5;1;8;
83683;24/02/2018;1800;27.8;22.6;63;916.4;5;1;5;
83683;25/02/2018;0000;20.2;19.8;95;917.8;9;1.5;10;
83683;25/02/2018;1200;23.2;20.6;78;919.6;5;1;9;
83683;25/02/2018;1800;27.6;22.8;65;916.5;5;0.5;7;
83683;26/02/2018;0000;22.6;20.6;82;916.3;5;1.5;7;
83683;26/02/2018;1200;21.6;20.6;91;917.5;9;1.5;10;
83683;26/02/2018;1800;20.8;19.4;88;916.7;23;3.1;10;
83683;27/02/2018;0000;19.6;19.2;96;916.7;18;1;10;
83683;27/02/2018;1200;21;20.4;94;917.7;9;1;10;
83683;27/02/2018;1800;23;20.5;80;914.8;23;2.1;9;
83683;28/02/2018;0000;20.1;19.5;93;915.9;23;1;6;
83683;28/02/2018;1200;22.3;21;88;915.8;9;1;7;
83683;28/02/2018;1800;28.1;22.7;61;913.7;18;2.1;8;
83683;01/03/2018;0000;21.6;20.6;91;915.8;23;1;7;
83683;01/03/2018;1200;21.8;21;92;918.7;27;1;10;
83683;01/03/2018;1800;29.4;24.4;64;915.5;9;1;7;
83683;02/03/2018;0000;21.2;20;90;917.1;32;1;6;
83683;02/03/2018;1200;25.4;22.6;78;919.2;5;1;7;
83683;02/03/2018;1800;31.4;25.3;61;914.5;36;1;7;
83683;03/03/2018;0000;22.2;21;88;917.3;14;1;10;
83683;03/03/2018;1200;23.3;21.6;85;915.9;5;1.5;7;
