--------------------
BDMEP - INMET
--------------------
Estação           : MONTES CLAROS - MG (OMM: 83437)
Latitude  (graus) : -16.68
Longitude (graus) : -43.84
Altitude  (metros): 652.00
Estação Operante
Inicio de operação: 01/01/1912
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83437;31/01/2018;1200;24;;90;938.7;5;;10;
83437;01/02/2018;0000;21.7;;95;937.8;36;;10;
83437;01/02/2018;1200;23.2;21.6;86;939.4;5;;9;
83437;02/02/2018;0000;22.3;19.6;76;938.4;32;;5;
83437;02/02/2018;1200;25;22.3;79;938.5;27;;8;
83437;03/02/2018;0000;20.7;20.3;96;937;5;;10;
83437;03/02/2018;1200;22;21.6;96;936.9;5;;10;
83437;04/02/2018;0000;19;18.7;96;938.5;36;;10;
83437;04/02/2018;1200;18.9;18.6;97;938.7;0;;10;
83437;05/02/2018;1200;20.2;19.9;96;938.3;5;;10;
83437;06/02/2018;0000;21.4;21.3;98;937.9;5;;10;
83437;06/02/2018;1200;23.2;20.9;80;939.1;36;;9;
83437;07/02/2018;0000;24.1;22.4;85;938.1;32;;8;
83437;07/02/2018;1200;23.6;21.9;85;940;9;;9;
83437;08/02/2018;0000;24.6;23.1;86;939.2;36;;0;
83437;08/02/2018;1200;23.8;22.2;86;940.9;5;;9;
83437;09/02/2018;0000;25.1;22.6;79;939.3;5;;5;
83437;09/02/2018;1200;25.6;22.3;73;942.2;5;;8;
83437;10/02/2018;0000;23;22.7;98;940.9;32;;9;
83437;10/02/2018;1200;25;22.8;83;943;5;;9;
83437;11/02/2018;0000;24.4;22.7;86;940.7;36;;0;
83437;12/02/2018;1200;25.2;20.1;60;942.6;9;;1;
83437;13/02/2018;0000;25;20.5;66;940.1;14;;0;
83437;13/02/2018;1200;25.7;21.3;65;942.9;5;;2;
83437;14/02/2018;0000;25.6;21.1;64;941.4;27;;0;
83437;14/02/2018;1200;26;20.7;61;944.6;5;;6;
83437;15/02/2018;0000;23.9;19.5;65;942.3;5;;0;
83437;15/02/2018;1200;23.9;20.9;76;945.8;5;;8;
83437;16/02/2018;0000;24.7;20.6;67;943.8;14;;0;
83437;16/02/2018;1200;24.8;20.4;66;945.9;9;;8;
83437;17/02/2018;0000;24;20.9;75;942.7;36;;0;
83437;18/02/2018;1200;25;20.9;69;942.5;5;;8;
83437;19/02/2018;0000;26.2;22.1;68;939;5;;4;
83437;19/02/2018;1200;26.6;22.3;68;940.5;5;;6;
83437;20/02/2018;0000;24.6;22.3;80;939.3;36;;7;
83437;20/02/2018;1200;24.7;21.9;77;940.7;36;;9;
83437;21/02/2018;0000;24;22.3;87;939.6;32;;10;
83437;21/02/2018;1200;25.8;22.9;77;940;5;;8;
83437;22/02/2018;0000;24.3;23.7;95;938.3;27;;8;
83437;22/02/2018;1200;25;22.5;81;940.5;5;;10;
83437;23/02/2018;0000;23.2;21.7;87;940.1;18;;6;
83437;23/02/2018;1200;24.2;21.1;74;941.4;5;;1;
83437;24/02/2018;0000;24.8;22.1;78;940.7;32;;10;
83437;25/02/2018;1200;25.2;21.7;72;941.8;9;;9;
83437;26/02/2018;0000;24.6;21.9;77;940.8;9;;1;
83437;26/02/2018;1200;20.5;20.2;96;944.2;36;;10;
83437;26/02/2018;1800;26.2;22.5;71;940.7;9;;9;
83437;27/02/2018;0000;22.8;21.8;91;941.2;23;;4;
83437;27/02/2018;1200;25;21.9;76;943.6;5;;7;
83437;28/02/2018;0000;23.8;22.2;86;940.1;32;0;3;
83437;28/02/2018;1200;25.6;21.6;68;941.5;5;;6;
83437;28/02/2018;1800;31.8;23.1;45;938.1;27;;6;
83437;01/03/2018;1200;27.4;22.4;62;943.4;9;;9;
83437;02/03/2018;0000;27.6;23.1;67;941.2;5;;6;
83437;02/03/2018;1200;26.2;21.3;62;943.8;9;;7;
83437;03/03/2018;0000;27.8;23.3;68;940.5;23;;9;
83437;03/03/2018;1200;26.8;23.3;72;941.2;14;;9;
83437;04/03/2018;0000;24.5;22.3;83;938.6;23;;5;
83437;05/03/2018;1200;24.1;22.7;87;940.5;27;;10;
83437;06/03/2018;0000;23.5;22.7;94;937.8;36;;4;
83437;06/03/2018;1200;26.4;23.9;80;939.1;27;;7;
83437;07/03/2018;0000;22.2;21.5;93;938.5;27;;5;
83437;07/03/2018;1200;24.2;23.3;92;939.5;5;;9;
83437;07/03/2018;1800;28.6;23.9;68;936;32;;9;
83437;08/03/2018;1200;23.2;21.7;87;940.8;36;;10;
83437;09/03/2018;0000;23.8;22.3;87;939.9;32;1.02888;10;
83437;09/03/2018;1200;24;22.3;87;941.4;5;;9;
83437;10/03/2018;0000;24.7;22.7;83;939.6;32;;4;
83437;10/03/2018;1200;22.4;21.9;95;941.1;9;;9;
83437;11/03/2018;0000;22.4;21.3;90;939.9;5;;10;
83437;12/03/2018;1200;23.8;22.5;89;939.3;9;;9;
83437;13/03/2018;0000;24.2;23.5;93;937.9;32;;4;
