--------------------
BDMEP - INMET
--------------------
Estação           : PARACATU - MG (OMM: 83479)
Latitude  (graus) : -17.24
Longitude (graus) : -46.88
Altitude  (metros): 712.00
Estação Operante
Inicio de operação: 13/05/1918
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83479;01/01/2018;0000;22.4;21.6;93;934.2;32;1;10;
83479;01/01/2018;1200;23.6;22.2;87;935.3;36;1;7;
83479;01/01/2018;1800;28.1;24;69;930.6;23;3;5;
83479;02/01/2018;0000;19.6;19.6;100;932.8;36;2;10;
83479;02/01/2018;1200;24;22.4;88;932.7;23;1;6;
83479;02/01/2018;1800;30.9;24.2;55;927.9;23;1;7;
83479;03/01/2018;0000;21;20.6;95;931.7;0;0;10;
83479;03/01/2018;1200;23.8;21.4;80;931.5;23;2;9;
83479;03/01/2018;1800;29.3;23.2;59;928;27;3;7;
83479;04/01/2018;0000;24;22.2;86;931.6;0;0;10;
83479;04/01/2018;1200;23.8;22.4;88;933.7;14;1;9;
83479;04/01/2018;1800;21.6;21.2;97;931.8;32;5;10;
83479;05/01/2018;0000;20.8;20.6;99;933.4;0;0;10;
83479;05/01/2018;1200;22;21.8;98;935;5;1;9;
83479;05/01/2018;1800;22;21;91;933.5;5;5;10;
83479;06/01/2018;0000;21.2;20.6;95;934.7;27;1;10;
83479;06/01/2018;1200;22.6;21.4;88;936.5;27;1;9;
83479;06/01/2018;1800;23.2;21.4;84;931.1;23;2;9;
83479;07/01/2018;0000;20.4;20.2;98;933.4;0;0;10;
83479;07/01/2018;1200;21.2;20.8;97;934.4;32;1;10;
83479;07/01/2018;1800;28.1;22.2;58;931;5;5;7;
83479;08/01/2018;0000;22.4;20.4;83;933.4;27;3;10;
83479;08/01/2018;1200;23.8;20.8;75;935.5;18;2;6;
83479;08/01/2018;1800;29.9;22.8;53;931.8;36;3;7;
83479;09/01/2018;0000;24.8;22;77;933.2;0;0;0;
83479;09/01/2018;1200;25.3;20.4;62;937.3;5;4;5;
83479;09/01/2018;1800;29.1;22.6;56;934.6;5;2;7;
83479;10/01/2018;0000;25;21;70;935.3;0;0;0;
83479;10/01/2018;1200;24.6;21.2;72;937.9;5;5;7;
83479;10/01/2018;1800;29.3;23.2;59;935.1;9;3;7;
83479;11/01/2018;0000;25.3;22;74;935.3;5;1;0;
83479;11/01/2018;1200;23.8;20.4;72;937.8;5;6;7;
83479;11/01/2018;1800;28.1;21.6;54;935;5;3;6;
83479;12/01/2018;0000;23.2;19.8;71;935.6;5;1;0;
83479;12/01/2018;1200;24.4;20.8;72;935.2;5;3;6;
83479;12/01/2018;1800;29.3;22.2;53;932.4;14;2;7;
83479;13/01/2018;0000;23;19.6;72;932.3;27;5;4;
83479;13/01/2018;1200;25.5;21.8;72;934.1;27;1;4;
83479;13/01/2018;1800;30.1;22.8;51;930.7;5;2;6;
83479;14/01/2018;0000;24;20.4;72;932.1;32;2;6;
83479;14/01/2018;1200;23.8;20.6;74;935.9;5;4;7;
83479;14/01/2018;1800;24.6;22;78;932.6;5;3;9;
83479;15/01/2018;0000;24.4;22.4;84;933.8;0;0;10;
83479;15/01/2018;1200;25.3;22.4;77;935.7;14;2;7;
83479;15/01/2018;1800;29.9;23.6;58;932.4;9;3;8;
83479;16/01/2018;0000;23.4;20.6;77;933.8;23;3;10;
83479;16/01/2018;1200;26.1;22.6;74;936.4;14;4;4;
83479;16/01/2018;1800;30.1;23.2;53;933.7;5;3;5;
83479;17/01/2018;0000;25.5;22.2;75;933.3;0;0;0;
83479;17/01/2018;1200;26.5;20.2;54;936.2;5;4;4;
83479;17/01/2018;1800;29.7;21.8;48;933.9;5;3;7;
83479;18/01/2018;0000;25.7;20.8;62;933.7;5;3;4;
83479;18/01/2018;1200;26.5;20;53;937.1;5;4;3;
83479;18/01/2018;1800;30.3;21.8;45;933.9;14;3;7;
83479;19/01/2018;0000;25.5;19.6;56;933.8;0;0;0;
83479;19/01/2018;1200;26.7;20.6;57;936.5;5;4;3;
83479;19/01/2018;1800;31.7;22;40;933.5;5;4;6;
83479;20/01/2018;0000;26.9;22;63;932.8;0;0;4;
83479;20/01/2018;1200;27.7;20.6;51;935.3;5;3;3;
83479;20/01/2018;1800;31.9;21.4;36;932.3;5;4;7;
83479;21/01/2018;0000;26.5;20.2;55;932.1;0;0;0;
83479;21/01/2018;1200;27.1;19.6;48;934.8;5;5;4;
83479;21/01/2018;1800;32.3;22.6;42;929.9;14;3;6;
83479;22/01/2018;0000;26.7;20;53;930.7;9;1;0;
83479;22/01/2018;1200;27.3;19.2;45;933.2;5;4;4;
83479;22/01/2018;1800;32.7;22.6;39;930.2;5;2;6;
83479;23/01/2018;0000;26.9;20.6;54;930.1;9;1;3;
83479;23/01/2018;1200;26.7;20.6;57;934;9;3;4;
83479;23/01/2018;1800;30.9;22.2;44;930.2;36;4;7;
83479;24/01/2018;0000;27.3;21.8;61;930.8;9;1;0;
83479;24/01/2018;1200;24.2;21.2;75;934.1;5;1;9;
83479;24/01/2018;1800;30.1;23.2;53;930.4;5;3;7;
83479;25/01/2018;0000;26.5;22.8;72;930.7;0;0;4;
83479;25/01/2018;1200;24.4;21.8;79;932.6;23;2;10;
83479;25/01/2018;1800;29.5;22.2;51;929.5;5;3;8;
83479;26/01/2018;0000;26.1;22.4;72;929.8;32;1;10;
83479;26/01/2018;1200;24.8;22.2;79;936.6;5;4;7;
83479;26/01/2018;1800;27.9;23;65;929.3;5;4;7;
83479;27/01/2018;0000;23.2;22.4;92;930.5;23;1;7;
83479;27/01/2018;1200;25.3;23;81;931.9;5;3;5;
83479;27/01/2018;1800;30.7;23.2;52;929.8;5;2;6;
83479;28/01/2018;0000;25;21.8;75;930.2;5;3;4;
83479;28/01/2018;1200;26.3;22.4;70;932.2;5;2;4;
83479;28/01/2018;1800;31.3;22.4;44;928.4;36;5;7;
83479;29/01/2018;0000;25.9;22.2;72;929.7;36;4;5;
83479;29/01/2018;1200;25.7;22.6;75;931.6;32;4;8;
83479;29/01/2018;1800;21.4;20.6;92;929.1;36;3;9;
83479;30/01/2018;0000;22;21.4;95;929.7;32;1;10;
83479;30/01/2018;1200;25.3;22.8;80;930.1;27;2;8;
83479;30/01/2018;1800;22.2;20.8;87;926.8;27;5;9;
83479;31/01/2018;0000;21.4;21.2;97;929.5;23;1;10;
83479;31/01/2018;1200;23.8;22;85;930.6;27;4;8;
83479;31/01/2018;1800;28.1;24;69;928;36;4;7;
83479;01/02/2018;0000;25;21.6;76;933.2;27;4.11552;7.5;
83479;01/02/2018;1200;24.6;21.8;76;930.3;32;4;8;
83479;01/02/2018;1800;28.7;23.2;60;928.5;27;5;8;
83479;02/02/2018;0000;23;22;92;929.4;23;3;10;
83479;02/02/2018;1200;25.3;22.6;78;930.3;36;3;8;
83479;02/02/2018;1800;27.7;24.6;77;926.9;36;2;9;
83479;03/02/2018;0000;22.4;22;96;928;27;4;10;
83479;03/02/2018;1200;23.6;22.2;87;928.7;32;3;10;
83479;03/02/2018;1800;23.6;21;78;925.8;23;4;10;
83479;04/02/2018;0000;22.4;21.8;94;929;9;4;10;
83479;04/02/2018;1200;19.4;19.4;99;930.3;9;3;10;
83479;04/02/2018;1800;21;19.8;88;928.5;9;3;10;
83479;05/02/2018;0000;20.4;19.8;95;929.8;14;2;10;
83479;05/02/2018;1200;21;20.4;94;929.7;36;2;9;
83479;05/02/2018;1800;26.1;21.8;68;927.1;36;4;7;
83479;06/02/2018;0000;20.8;20.6;99;929.1;36;2;10;
83479;06/02/2018;1200;22.8;20.8;83;930.8;32;3;7;
83479;06/02/2018;1800;27;22.8;69;928.1;27;3;6;
83479;07/02/2018;0000;22.2;20.4;83;930.6;27;3;5;
83479;07/02/2018;1200;23;21.2;85;932.7;27;3;8;
83479;07/02/2018;1800;27.7;23.2;67;930.9;9;4;8;
83479;08/02/2018;0000;25;22.4;80;931.4;36;2;0;
83479;08/02/2018;1200;26.7;22.6;70;932.9;32;3;3;
83479;08/02/2018;1800;28.9;24.4;68;930.2;23;2;7;
83479;09/02/2018;0000;25.5;22.6;78;931.2;14;3;0;
83479;09/02/2018;1200;24;21.4;80;933;36;4;9;
83479;09/02/2018;1800;29.7;24.8;66;930.7;32;2;6;
83479;10/02/2018;0000;23.4;21.6;85;933.1;36;3;10;
83479;10/02/2018;1200;24.4;21.4;76;935.2;36;2;6;
83479;10/02/2018;1800;29.5;23.2;56;931.8;36;3;5;
83479;11/02/2018;0000;24.2;22.2;83;933;32;2;0;
83479;11/02/2018;1200;21.6;21.4;98;935.9;36;3;10;
83479;11/02/2018;1800;27.7;22.8;65;932.8;27;2;6;
83479;12/02/2018;0000;23.6;21.6;82;932.8;36;3;0;
83479;12/02/2018;1200;25.5;21.2;68;934.7;5;3;5;
83479;12/02/2018;1800;30.9;23.6;51;931.6;9;1;6;
83479;13/02/2018;0000;25;21.8;75;932.3;9;3;0;
83479;13/02/2018;1200;26.5;21.8;65;934.7;36;3;6;
83479;13/02/2018;1800;30.5;21.4;42;932.7;5;4;6;
83479;14/02/2018;0000;25.3;21.4;69;933.7;9;3;0;
83479;14/02/2018;1200;25;20.4;65;936.4;5;5;6;
83479;14/02/2018;1800;29.8;22.6;52;933.6;9;4;6;
83479;15/02/2018;0000;25.5;21.8;72;934.1;9;3;0;
83479;15/02/2018;1200;24.2;20.2;68;937.6;5;5;5;
83479;15/02/2018;1800;27.1;21.8;61;935.7;9;3;10;
83479;16/02/2018;0000;23.6;21.2;79;935.8;9;3;0;
83479;16/02/2018;1200;25;21.2;71;938.3;9;5;6;
