--------------------
BDMEP - INMET
--------------------
Estação           : PATOS DE MINAS - MG (OMM: 83531)
Latitude  (graus) : -18.51
Longitude (graus) : -46.43
Altitude  (metros): 940.28
Estação Operante
Inicio de operação: 23/10/1947
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83531;01/01/2018;1200;22.6;19.8;75;909.6;27;2.1;8;
83531;01/01/2018;1800;28.4;20.8;49;906.3;27;2.6;3;
83531;02/01/2018;0000;22.2;19.6;77;907.7;27;1.5;4;
83531;02/01/2018;1200;24;20.4;72;907.3;23;1;6;
83531;02/01/2018;1800;28.6;21.4;52;903.6;27;2.1;6;
83531;03/01/2018;0000;22.8;20.4;80;905.3;27;2.6;7;
83531;03/01/2018;1200;22.8;20.6;81;906.3;23;2.1;7;
83531;03/01/2018;1800;20.8;20;93;904.5;9;1;9;
83531;04/01/2018;0000;21;20.4;94;904.3;23;1.5;10;
83531;04/01/2018;1200;22;20.6;88;908.1;32;1.5;10;
83531;04/01/2018;1800;25.8;22;70;906;36;2.1;10;
83531;05/01/2018;0000;20.2;20;97;906.9;36;2.6;10;
83531;05/01/2018;1200;20.6;20.2;95;909.8;32;2.1;10;
83531;05/01/2018;1800;19.2;18.4;92;910;36;3.6;10;
83531;06/01/2018;0000;18.2;18;98;908.7;36;2.1;10;
83531;06/01/2018;1200;22.8;21.2;86;910.3;23;1;7;
83531;06/01/2018;1800;23.8;21;77;907.5;27;1.5;7;
83531;07/01/2018;0000;22;20;83;907.6;27;1.5;9;
83531;08/01/2018;1200;24.2;20.6;71;910.4;5;2.1;7;
83531;08/01/2018;1800;26.8;21.6;61;908.2;5;1.5;6;
83531;09/01/2018;0000;20.6;19.8;92;908.1;14;2.6;10;
83531;09/01/2018;1200;23.6;19.8;69;911.7;5;2.6;6;
83531;09/01/2018;1800;28.2;20.8;49;910.3;5;2.1;6;
83531;10/01/2018;0000;23.2;18;58;911.3;9;1.5;4;
83531;10/01/2018;1200;24.2;20.4;69;911.9;5;3.1;3;
83531;10/01/2018;1800;28.4;21.8;55;910.7;5;2.1;4;
83531;11/01/2018;0000;22;20.8;90;911.6;32;1.5;7;
83531;11/01/2018;1200;23.8;19.8;68;912.3;36;2.6;5;
83531;11/01/2018;1800;27.6;20.8;52;910.5;36;2.1;4;
83531;12/01/2018;0000;23;18.8;67;910.8;36;1;3;
83531;12/01/2018;1200;23;20.4;79;910.5;27;1;7;
83531;12/01/2018;1800;27.2;21;57;908.4;32;2.1;7;
83531;13/01/2018;0000;22;19.2;76;909.3;23;1.5;7;
83531;13/01/2018;1200;25;20.6;67;901.4;5;1.5;6;
83531;13/01/2018;1800;29.4;21.4;47;908.3;36;1;4;
83531;14/01/2018;0000;22.8;19.4;72;908.5;32;1;4;
83531;15/01/2018;1200;24.2;21.6;78;910.8;36;1.5;6;
83531;15/01/2018;1800;27.2;22.8;68;908.5;32;1;7;
83531;16/01/2018;0000;21.6;20.6;91;909.3;27;1;9;
83531;16/01/2018;1200;24;20.8;75;911.3;9;1.5;8;
83531;16/01/2018;1800;29;22;53;909.3;5;1;6;
83531;17/01/2018;0000;22.2;20.4;83;910.6;23;1;4;
83531;17/01/2018;1200;26;21;63;911;36;2.1;2;
83531;17/01/2018;1800;30;22.6;52;909.5;5;2.1;4;
83531;18/01/2018;0000;20.8;18.2;77;910.3;9;1.5;6;
83531;18/01/2018;1200;25.4;19.4;56;911.8;36;2.1;3;
83531;18/01/2018;1800;29.8;20;38;909.7;36;1;4;
83531;19/01/2018;0000;23.6;18;56;910.6;36;1;3;
83531;19/01/2018;1200;26;19.2;51;911.6;5;2.6;2;
83531;19/01/2018;1800;30.4;20.6;39;909.2;14;2.1;4;
83531;20/01/2018;0000;23.6;17.8;54;910.2;14;1;0;
83531;20/01/2018;1200;26;18.6;47;910.6;5;2.6;3;
83531;20/01/2018;1800;30.4;20.9;40;908.8;32;1.5;4;
83531;21/01/2018;0000;23.2;17;51;909.5;9;1;4;
83531;22/01/2018;1200;26.4;18.6;45;908.7;36;1.5;2;
83531;22/01/2018;1800;31.8;20.6;33;906.5;23;0.5;4;
83531;23/01/2018;0000;24.2;18;53;908;23;0.5;0;
83531;23/01/2018;1200;26.2;20.8;59;908.9;5;1;2;
83531;23/01/2018;1800;31.6;21.8;41;905.7;27;1.5;7;
83531;24/01/2018;0000;21;19;82;906.7;23;1;8;
83531;24/01/2018;1200;22.6;20.8;83;908.7;23;1.5;6;
83531;24/01/2018;1800;26.6;21.8;65;906.2;36;0.5;8;
83531;25/01/2018;0000;22;20.4;86;907;5;2.1;4;
83531;25/01/2018;1200;24.6;21.4;74;906.9;5;1.5;4;
83531;25/01/2018;1800;24;21.2;78;905.9;32;1;7;
83531;26/01/2018;0000;20.8;18.6;81;906;9;0.6;10;
83531;26/01/2018;1200;24.6;20.6;68;907.3;5;2.6;5;
83531;26/01/2018;1800;28;21.8;56;905;5;2.1;6;
83531;27/01/2018;0000;20.4;19.2;89;905.9;18;1.5;8;
83531;27/01/2018;1200;25.2;21.6;71;907;5;1.5;4;
83531;27/01/2018;1800;29;21.8;52;904.9;32;2.1;7;
83531;28/01/2018;0000;21.8;19.4;78;905.8;23;1;4;
83531;29/01/2018;1200;24;21.2;78;906.6;27;1;7;
83531;29/01/2018;1800;22.6;22;93;903.8;27;1;9;
83531;30/01/2018;0000;21;19.8;88;904.3;5;2.6;10;
83531;30/01/2018;1200;23;21.6;89;905;23;1;7;
83531;30/01/2018;1800;25.6;22.4;74;903.1;32;2.1;7;
83531;31/01/2018;0000;20.8;20.4;97;903.9;9;1.5;10;
83531;31/01/2018;1200;22.6;21.4;88;905.3;27;2.6;8;
83531;31/01/2018;1800;26.8;23;70;903.1;27;1.5;6;
83531;01/02/2018;0000;21.4;19.4;86;907.1;18;1.54332;10;
83531;01/02/2018;1200;21.8;21;92;905.1;36;2;10;
83531;01/02/2018;1800;22.4;20.4;83;903.8;23;1.5;9;
83531;02/02/2018;0000;21.4;20.8;94;904.3;32;1.5;10;
83531;02/02/2018;1200;23.2;21.2;83;905.2;27;2.1;6;
83531;02/02/2018;1800;23.6;22.2;87;903.7;27;2.6;7;
83531;03/02/2018;0000;21.8;20.8;90;904.1;14;1;9;
83531;03/02/2018;1200;22.4;21;88;904.7;27;1.5;9;
83531;03/02/2018;1800;24.8;22;77;901.1;23;1.5;10;
83531;04/02/2018;0000;19.8;19.2;94;901.7;14;2.1;10;
83531;05/02/2018;1200;20;19.4;94;904.4;5;2.1;10;
83531;05/02/2018;1800;24.6;21.6;75;900.6;36;2.6;7;
83531;06/02/2018;0000;19.4;19;95;901.1;30;1.5;10;
83531;06/02/2018;1200;19.6;18.6;90;905.3;32;2.6;9;
83531;06/02/2018;1800;24;20.6;74;902.7;36;2.1;8;
83531;07/02/2018;0000;20.4;19.8;95;903.8;27;1.5;9;
