--------------------
BDMEP - INMET
--------------------
Estação           : PEDRA AZUL - MG (OMM: 83393)
Latitude  (graus) : -16
Longitude (graus) : -41.28
Altitude  (metros): 648.91
Estação Operante
Inicio de operação: 01/10/1918
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83393;01/01/2018;1200;23;21.2;85;942.3;5;1;10;
83393;02/01/2018;0000;26.8;22.4;66;938.7;0;0;0;
83393;02/01/2018;1200;29.4;23.8;60;939;5;0.5;9;
83393;03/01/2018;0000;24.2;22.6;86;937.8;0;0;7;
83393;03/01/2018;1200;23.6;21.8;84;939.2;5;1;10;
83393;04/01/2018;0000;22.8;20.6;81;939.6;14;0.9;5;
83393;04/01/2018;1200;26;22.2;71;942.2;5;1.5;10;
83393;05/01/2018;0000;21.2;20.6;95;942;14;0.5;3;
83393;05/01/2018;1200;26.4;23;73;943.5;36;0.5;8;
83393;06/01/2018;0000;24.2;20.4;69;942;0;0;0;
83393;06/01/2018;1200;24.6;20.6;68;943.7;5;1;8;
83393;07/01/2018;0000;24;20;69;941.2;0;0;0;
83393;08/01/2018;1200;24;20.2;70;943.9;5;1;8;
83393;09/01/2018;0000;24.2;19.2;61;942.5;14;1.5;0;
83393;09/01/2018;1200;23.6;20.2;71;945.3;14;1;10;
83393;10/01/2018;0000;21.4;20.6;92;945.3;14;1.5;7;
83393;10/01/2018;1200;22.2;21.2;90;945.6;5;1.5;10;
83393;11/01/2018;0000;22.4;20.4;83;945;14;0.5;0;
83393;11/01/2018;1200;24.4;19.8;64;944.9;5;1.5;7;
83393;12/01/2018;0000;22.2;19.6;77;942.4;14;1.5;0;
83393;12/01/2018;1200;25.4;21;66;943.2;9;1.5;8;
83393;13/01/2018;0000;23.6;20.6;74;941.5;14;1.5;0;
83393;13/01/2018;1200;25;21;69;942.3;5;1.5;9;
83393;14/01/2018;0000;24.4;20.8;72;940.8;14;1;0;
83393;15/01/2018;1200;25.8;21.2;65;944.1;5;1;8;
83393;16/01/2018;0000;24.4;20.4;69;942.7;5;1;0;
83393;16/01/2018;1200;25.8;20.6;61;944.4;5;1;0;
83393;17/01/2018;0000;24.4;19.6;63;943;9;1;0;
83393;17/01/2018;1200;25;19.8;61;944.7;14;1.5;8;
83393;18/01/2018;0000;23.8;20.4;72;943.3;14;0.5;0;
83393;18/01/2018;1200;25;20.2;64;945.2;14;1.5;8;
83393;19/01/2018;0000;24.6;19.8;62;943.1;9;1.5;0;
83393;19/01/2018;1200;25;20.2;64;945.2;9;1;8;
83393;20/01/2018;0000;25.2;19.6;57;941.6;9;1.5;0;
83393;20/01/2018;1200;26.2;20.8;59;943.5;9;1.5;6;
83393;21/01/2018;0000;25;20.2;64;941.3;9;1.5;0;
83393;21/01/2018;1200;26;21;63;941.4;5;1.5;5;
83393;22/01/2018;0000;24.8;21;70;940;9;2.1;0;
83393;22/01/2018;1200;26;21;63;941.4;5;1.5;5;
83393;23/01/2018;0000;24.8;21;70;940;9;2.1;0;
83393;23/01/2018;1200;26;20.6;60;942.2;14;1;8;
83393;24/01/2018;0000;24.4;18.4;54;940.5;9;1.5;0;
83393;24/01/2018;1200;24.6;20.2;65;942.4;5;1;5;
83393;25/01/2018;0000;22.8;19.8;74;940.4;9;1.5;6;
83393;25/01/2018;1200;24.2;20.2;68;941;9;1.5;10;
83393;26/01/2018;0000;23.8;20;69;939.1;9;1.5;0;
83393;26/01/2018;1200;25.2;20.4;63;941;9;1.5;7;
83393;27/01/2018;0000;25.2;21.8;72;939.4;9;2.1;10;
83393;27/01/2018;1200;26.4;22;66;940;36;1;5;
83393;27/01/2018;1800;31.2;22.6;45;936.5;18;0.5;5;
83393;28/01/2018;0000;25.6;21.4;66;939.1;0;0;2;
83393;28/01/2018;1200;25.2;21;67;927;9;0.5;8;
83393;28/01/2018;1800;32.4;23.6;47;935.7;14;1;5;
83393;29/01/2018;0000;25.2;21.2;68;927.2;9;0.5;0;
83393;29/01/2018;1200;26.2;21.2;62;939.9;36;0.5;7;
83393;29/01/2018;1800;31.6;22.8;46;935.3;9;1;5;
83393;30/01/2018;0000;26.4;20;53;936.6;9;1;1;
83393;30/01/2018;1200;25;20.4;65;938.8;0;0;9;
83393;30/01/2018;1800;32.8;23.4;43;934.5;32;1;10;
83393;31/01/2018;0000;26.4;21;60;936.8;9;1;6;
83393;31/01/2018;1200;24.4;21.6;78;938.9;5;0.5;10;
83393;31/01/2018;1800;27.8;22.6;63;937.2;27;0.5;10;
83393;01/02/2018;0000;24.8;22;68;941;14;0.51444;1.25;
83393;01/02/2018;1200;23.6;22;85;939.8;0;0;0;
83393;01/02/2018;1800;27;21.8;62;936.9;0;0;9;
83393;02/02/2018;0000;23.2;21.2;82;939.1;0;0;10;
83393;02/02/2018;1200;24.4;21.8;79;938.3;0;0;10;
83393;02/02/2018;1800;31;23.2;49;934;14;0.5;9;
