--------------------
BDMEP - INMET
--------------------
Estação           : PIRAPORA - MG (OMM: 83483)
Latitude  (graus) : -17.35
Longitude (graus) : -44.91
Altitude  (metros): 505.24
Estação Operante
Inicio de operação: 23/12/1912
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83483;02/01/2018;1200;25.6;23.2;79;955.2;;;10;
83483;02/01/2018;1800;31.6;26.2;65;949.9;;;10;
83483;03/01/2018;0000;28;22.6;60;953;;;10;
83483;03/01/2018;1200;26.1;23.2;78;954.7;;;10;
83483;03/01/2018;1800;32;24;49;949.7;;;6;
83483;04/01/2018;0000;27.6;24.2;74;951.1;;;10;
83483;04/01/2018;1200;22.2;21.8;95;958;;;10;
83483;04/01/2018;1800;24.7;23.4;88;955.1;;;10;
83483;05/01/2018;0000;24.2;23.6;94;956.1;;;10;
83483;05/01/2018;1200;24.2;23;89;958.1;;;10;
83483;05/01/2018;1800;24;21.6;81;957.2;;;10;
83483;06/01/2018;0000;24.1;20.4;69;955.5;;;10;
83483;31/01/2018;1200;24.5;;89;953.5;;;10;
83483;31/01/2018;1800;26.2;;86;950.3;;;10;
83483;01/02/2018;0000;23;;90;962;;;10;
83483;01/02/2018;1200;24.6;22;78;953.9;;;10;
83483;01/02/2018;1800;31;25;59;950.8;;;10;
83483;02/02/2018;0000;28.4;22.4;58;952.7;;;10;
83483;02/02/2018;1200;23.2;22.4;92;953.9;;;10;
83483;02/02/2018;1800;28.6;24.8;73;959.1;;;10;
83483;03/02/2018;0000;22;21.4;95;961.3;;;10;
83483;03/02/2018;1200;23.7;22.6;90;951.8;;;10;
83483;03/02/2018;1800;27.2;24.2;78;948.6;;;10;
83483;04/02/2018;0000;20.6;20.3;96;952.7;0;0;10;
83483;04/02/2018;1200;21.9;21.1;92;952.1;;;10;
83483;05/02/2018;1200;21.9;;95;952.3;;;10;
83483;06/02/2018;1200;24.8;22.5;81;954.4;;;10;
83483;06/02/2018;1800;24.6;23;85;953.7;;;10;
83483;07/02/2018;0000;24.1;21.4;77;945.4;;;10;
83483;07/02/2018;1200;22.6;22;93;956.1;;;10;
83483;07/02/2018;1800;30.2;24;57;953.3;;;10;
83483;08/02/2018;0000;25.5;23.8;87;954.1;;;0;
83483;08/02/2018;1200;24.6;23;85;955.9;;;10;
83483;08/02/2018;1800;28.4;23.2;63;953;;;10;
83483;09/02/2018;0000;25.8;24;85;954;;;10;
83483;09/02/2018;1200;27.5;24;73;957.4;;;10;
83483;09/02/2018;1800;30.3;24.6;60;953.7;;;10;
83483;10/02/2018;0000;25.6;23.8;84;956.3;;;10;
83483;10/02/2018;1200;24.1;22.6;86;958.5;;;10;
83483;10/02/2018;1800;31.2;25.2;60;954.5;;;10;
83483;11/02/2018;0000;26.6;24.8;86;955.5;;;5;
83483;07/06/2018;0000;21.6;19;77;957.8;;;0;
83483;07/06/2018;1200;21.8;19.6;80;960.4;;;6;
83483;07/06/2018;1800;28.8;24;65;952.8;;;5;
83483;08/06/2018;0000;22;20.4;86;959.8;;;0;
83483;08/06/2018;1200;21.4;19.7;84;962;;;4;
83483;08/06/2018;1800;30.3;23.4;53;958.1;;;10;
83483;09/06/2018;0000;23.5;21;80;959.4;0;0;0;
83483;09/06/2018;1200;22;21;91;962.7;;;5;
83483;09/06/2018;1800;28.6;22.9;61;958.8;;;10;
83483;10/06/2018;0000;24.6;21.2;72;961.4;;;0;
83483;11/06/2018;1200;20.8;18;75;962.7;;;10;
83483;11/06/2018;1800;29.3;23.2;59;957.7;;;10;
83483;12/06/2018;0000;23.2;19.8;71;960.1;;;4;
83483;12/06/2018;1200;20.4;18.4;82;962.3;;;5;
83483;12/06/2018;1800;30.2;23.2;52;957.4;;;10;
83483;13/06/2018;0000;24.4;20.2;67;960.2;;;6;
83483;13/06/2018;1200;21;19;81;962;;;4;
83483;13/06/2018;1800;31.4;23;47;957.6;;;5;
83483;14/06/2018;0000;22.6;20.2;78;960.1;;;0;
83483;14/06/2018;1200;19.2;17.8;86;962.7;;;0;
83483;14/06/2018;1800;30.3;22.4;48;958.3;;;6;
83483;15/06/2018;0000;22.8;18.2;62;960.7;;;0;
83483;15/06/2018;1200;21.2;18.2;74;964.4;;;0;
