--------------------
BDMEP - INMET
--------------------
Estação           : SALINAS - MG (OMM: 83441)
Latitude  (graus) : -16.15
Longitude (graus) : -42.28
Altitude  (metros): 471.32
Estação Operante
Inicio de operação: 05/03/1925
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83441;01/01/2018;0000;24.7;22.9;84;961;18;4.1;10;
83441;01/01/2018;1200;27.4;24.1;74;960.3;0;0;7;
83441;01/01/2018;1800;33.7;27.9;62;955.6;18;1.8;10;
83441;02/01/2018;0000;23;22.8;99;957.2;36;0.5;10;
83441;02/01/2018;1200;26.8;24.6;81;958.8;9;0.5;4;
83441;02/01/2018;1800;33.9;27.5;60;953.6;18;3.3;8;
83441;03/01/2018;0000;23.8;23.5;97;956.7;27;0.7;10;
83441;03/01/2018;1200;27;25.1;85;957.6;0;0;7;
83441;03/01/2018;1800;24;23.9;100;956.6;36;5.5;10;
83441;04/01/2018;0000;23;22.2;94;957.5;36;1;10;
83441;04/01/2018;1200;23.6;22.8;92;961.3;18;1;10;
83441;04/01/2018;1800;29;25.6;75;959.6;27;0.7;10;
83441;05/01/2018;0000;24.6;22.8;84;960.4;5;2.3;10;
83441;05/01/2018;1200;26.4;23.3;75;962.4;36;2;5;
83441;05/01/2018;1800;32.1;26.1;61;958;36;2;10;
83441;06/01/2018;0000;24.8;23.9;92;960.2;18;1;0;
83441;06/01/2018;1200;24;21.8;82;963.2;36;2;10;
83441;06/01/2018;1800;30.5;25.8;68;959.4;36;1.6;5;
83441;07/01/2018;0000;24.2;23.8;96;959.6;5;1;0;
83441;07/01/2018;1200;25;22.2;78;961.5;36;1.6;10;
83441;07/01/2018;1800;31.5;25.7;62;958.2;14;1;8;
83441;08/01/2018;0000;25.4;24.7;94;959.5;0;0;2;
83441;08/01/2018;1200;24.6;21.6;75;963.8;9;0.8;8;
83441;08/01/2018;1800;32.2;25;54;960.6;9;1.8;5;
83441;09/01/2018;0000;24.8;24.4;96;960.9;0;0;0;
83441;09/01/2018;1200;25.4;22;73;964.6;5;2;9;
83441;09/01/2018;1800;32;26.2;61;960.7;14;2.5;8;
83441;10/01/2018;0000;26;24;84;963.5;14;2.1;10;
83441;10/01/2018;1200;24.2;22.8;88;965;18;1.5;10;
83441;10/01/2018;1800;28.8;24.8;70;962;5;2.8;9;
83441;11/01/2018;0000;25.4;23.9;88;963.6;18;1.1;0;
83441;11/01/2018;1200;23;20.8;82;965;27;0.7;9;
83441;11/01/2018;1800;30.9;24.9;59;961.2;9;3.3;5;
83441;12/01/2018;0000;24.2;22.8;88;961.5;36;0.5;0;
83441;12/01/2018;1200;23.6;21;77;963.4;5;1.1;7;
83441;12/01/2018;1800;32.6;25.8;55;958.9;18;3;5;
83441;13/01/2018;0000;26.6;25.2;89;959.5;36;0.5;10;
83441;13/01/2018;1200;25.4;23.1;82;962.2;9;1.5;10;
83441;13/01/2018;1800;32.7;26.7;60;956.7;5;1.6;7;
83441;14/01/2018;0000;27.4;25.3;82;958.3;27;1.5;0;
83441;14/01/2018;1200;25.4;22.8;79;962.9;14;1.1;10;
83441;14/01/2018;1800;32;26;60;960;27;1.1;8;
83441;15/01/2018;0000;26.4;24.4;84;960.8;5;1.1;10;
83441;15/01/2018;1200;25;22.8;83;962.7;36;1.5;10;
83441;15/01/2018;1800;30.9;26.5;68;959.5;9;1.5;7;
83441;16/01/2018;0000;26.2;24.9;88;960.6;36;1;2;
83441;16/01/2018;1200;25.8;22.4;73;963.8;5;1.5;3;
83441;16/01/2018;1800;34.2;26;51;960.2;14;2;4;
83441;17/01/2018;0000;27;22.6;67;960.8;9;1.5;0;
83441;17/01/2018;1200;24.8;21.6;74;963.2;36;0.8;3;
83441;17/01/2018;1800;31.9;24.7;53;959.9;9;1.6;5;
83441;18/01/2018;0000;26.8;23.3;72;960.5;9;2;0;
83441;18/01/2018;1200;25.6;21.8;69;964.9;9;2.6;7;
83441;18/01/2018;1800;32;26;60;960.9;5;2.5;7;
83441;19/01/2018;0000;27.6;24.2;74;961.1;9;1.6;0;
83441;19/01/2018;1200;25.6;21.8;69;964.3;9;0.9;2;
83441;19/01/2018;1800;33.3;25.3;52;959.3;9;3;3;
83441;20/01/2018;0000;25;22.6;81;959.9;36;1;0;
83441;20/01/2018;1200;25.4;22.6;78;962.7;5;0.8;4;
83441;20/01/2018;1800;35.2;25.6;45;958.2;5;2;4;
83441;21/01/2018;0000;26.9;24;77;959.9;27;0.8;0;
83441;21/01/2018;1200;25.8;22.6;74;961.9;36;1.6;0;
83441;21/01/2018;1800;35.1;26.5;50;956.9;14;3;2;
83441;22/01/2018;0000;26;23.7;82;958.5;36;1.6;0;
83441;22/01/2018;1200;25.9;22.8;76;961.1;36;1.5;3;
83441;22/01/2018;1800;34.4;25.6;46;956.5;14;2;0;
83441;23/01/2018;0000;29.3;23.3;59;956;9;3;0;
83441;23/01/2018;1200;25.6;22.4;73;961;36;3;3;
83441;23/01/2018;1800;33.3;26.1;56;956;5;2;5;
83441;24/01/2018;0000;28;24.7;74;957.7;9;1.6;2;
83441;24/01/2018;1200;24.8;21.8;76;961.1;36;0.3;2;
83441;24/01/2018;1800;33.9;26.3;53;955.8;9;1.6;4;
83441;25/01/2018;0000;28;24.3;71;956.8;14;2;0;
83441;25/01/2018;1200;25;22;77;959.5;5;1.6;10;
83441;25/01/2018;1800;32.5;26.3;58;955.2;32;1.5;7;
83441;26/01/2018;0000;27.4;25.3;82;956.4;36;1;10;
83441;26/01/2018;1200;26.2;22.4;70;959.1;36;1.5;0;
83441;26/01/2018;1800;34.9;27.9;57;954;27;1.6;4;
83441;27/01/2018;0000;27.4;24.9;79;956;0;0;10;
83441;27/01/2018;1200;27.4;24.1;74;958.9;23;1;2;
83441;27/01/2018;1800;34.7;27.3;55;953.8;14;2.5;4;
83441;28/01/2018;0000;22.8;22.2;94;956.6;0;0;10;
83441;28/01/2018;1200;24.6;23.6;90;959.4;27;0.5;10;
83441;28/01/2018;1800;32.8;26.8;61;955.5;14;2;6;
83441;29/01/2018;0000;28.6;26.8;87;956.3;0;0;10;
83441;29/01/2018;1200;25.8;23.5;81;958.3;5;2.5;10;
83441;29/01/2018;1800;32.9;27.7;66;953.2;27;0.8;5;
83441;30/01/2018;0000;27.2;26.3;93;953.9;0;0;10;
83441;30/01/2018;1200;26.4;22.6;70;958;36;2.6;7;
83441;30/01/2018;1800;33;27.6;65;953.1;36;0.7;10;
83441;31/01/2018;0000;28.8;26.7;83;953.8;27;0.8;10;
83441;31/01/2018;1200;23;22.6;97;957.9;36;1;10;
83441;31/01/2018;1800;25.2;24.3;92;956.3;27;0.8;10;
83441;01/02/2018;0000;25;23.1;99;959.3;36;1.54332;0;
83441;01/02/2018;1200;24;22.9;91;958.6;36;1.8;10;
83441;01/02/2018;1800;23.2;22.2;91;957.2;36;2.1;10;
83441;02/02/2018;0000;23.2;22.8;96;957.5;0;0;10;
83441;02/02/2018;1200;26.2;23.7;79;956.7;9;0.8;10;
83441;02/02/2018;1800;31.1;26.9;71;952.2;36;1.3;10;
83441;03/02/2018;0000;23.2;22.8;96;954.2;18;1.8;10;
83441;03/02/2018;1200;22;21.8;98;956.6;27;0.3;10;
83441;03/02/2018;1800;22.4;21.8;94;955.8;36;1.5;10;
83441;04/02/2018;0000;22.2;21.9;96;927.6;18;0.7;10;
83441;04/02/2018;1200;20.2;20;97;958.2;0;0;10;
83441;04/02/2018;1800;22.8;22.2;94;955.6;36;1.6;10;
83441;05/02/2018;0000;22;21.8;98;957.5;0;0;0;
83441;05/02/2018;1200;23.4;22.2;90;958.4;36;1.1;10;
83441;05/02/2018;1800;27.4;24.6;77;955.3;36;2.5;10;
83441;06/02/2018;0000;23.2;23.1;98;957.3;0;0;10;
83441;06/02/2018;1200;24.2;22.8;88;958;36;2;10;
83441;06/02/2018;1800;30.5;26.5;72;954;32;3;10;
83441;07/02/2018;0000;24.4;24.3;100;956.9;5;1.5;2;
83441;07/02/2018;1200;24.4;22.9;88;959.7;36;1.3;10;
83441;07/02/2018;1800;31.2;27;71;956.1;5;1.6;10;
83441;08/02/2018;0000;24.8;24.1;94;957.4;0;0;8;
83441;08/02/2018;1200;26.4;24.5;85;959;5;0.5;8;
83441;08/02/2018;1800;33.7;27.3;59;954.9;36;1.5;4;
83441;09/02/2018;0000;25;24.3;95;959.4;18;0.5;10;
83441;09/02/2018;1200;25.4;23.8;87;962.1;36;0.8;10;
83441;09/02/2018;1800;26;25.2;94;958.7;18;3;10;
83441;10/02/2018;0000;25.6;22.2;93;958.2;36;1.02888;10;
83441;10/02/2018;1200;24.8;22.8;83;962;36;1.6;10;
83441;10/02/2018;1800;31.1;26.9;70;958.4;18;1;5;
83441;11/02/2018;0000;23.6;23.3;96;959;36;1;0;
83441;11/02/2018;1200;24.8;22;77;962.9;9;3.1;7;
83441;11/02/2018;1800;30.4;25.5;66;959.9;14;2.1;8;
83441;12/02/2018;0000;23.2;22.8;96;959.3;36;0.5;0;
83441;12/02/2018;1200;23.2;21.2;82;961.9;36;1.6;0;
83441;12/02/2018;1800;32.1;26.8;65;957.2;14;2;2;
83441;13/02/2018;0000;25.8;24.3;87;958.2;36;0.5;7;
83441;13/02/2018;1200;24.2;22.4;84;962.9;36;0.7;9;
83441;13/02/2018;1800;32.4;26;60;959.8;18;2.3;7;
83441;14/02/2018;0000;25.6;23.6;82;960.8;18;0.8;0;
83441;14/02/2018;1200;24.2;21.8;79;963.5;0;0;5;
83441;14/02/2018;1800;30.5;25.3;65;959.5;14;2;3;
83441;15/02/2018;0000;23.8;22.6;89;961.2;9;2;10;
83441;15/02/2018;1200;24;22.2;86;966.3;18;0.8;10;
83441;15/02/2018;1800;30.2;26;69;961.6;5;1.1;4;
83441;16/02/2018;0000;25.4;22.9;80;963.2;18;2.6;9;
83441;16/02/2018;1200;24.2;22.2;83;964.5;0;0;10;
83441;16/02/2018;1800;30.1;25.9;69;961.2;14;2;10;
83441;17/02/2018;0000;24.4;24.1;98;961.6;0;0;6;
83441;17/02/2018;1200;24.6;22.4;81;963.4;5;0.8;9;
83441;17/02/2018;1800;29.6;25.4;69;960;18;2.6;10;
83441;18/02/2018;0000;24.2;23.4;92;960.4;36;0.3;4;
83441;18/02/2018;1200;24.6;22.4;81;961.2;36;1.6;5;
83441;18/02/2018;1800;30.5;26.1;69;957;0;0;2;
83441;19/02/2018;0000;25;24.3;95;957.5;0;0;0;
