--------------------
BDMEP - INMET
--------------------
Estação           : SAO LOURENCO - MG (OMM: 83736)
Latitude  (graus) : -22.1
Longitude (graus) : -45.01
Altitude  (metros): 953.20
Estação Operante
Inicio de operação: 04/02/1922
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83736;01/01/2018;0000;21;19.4;85;909.1;5;1.5;9;
83736;01/01/2018;1200;23;20.2;77;909.9;36;1.5;5;
83736;01/01/2018;1800;26;21.8;69;906.4;36;0.5;6;
83736;02/01/2018;0000;21.8;20.8;90;907;18;0.5;1;
83736;02/01/2018;1200;21.4;20.4;90;907.9;36;1;10;
83736;02/01/2018;1800;27.8;22.4;62;903.4;36;1;8;
83736;03/01/2018;0000;21.4;20;87;906.1;18;0.5;10;
83736;03/01/2018;1200;21.4;20.2;89;906.2;36;1.5;9;
83736;03/01/2018;1800;26.4;21.4;63;903.7;32;2.6;9;
83736;04/01/2018;0000;21;20.6;96;906.7;18;0.5;9;
83736;04/01/2018;1200;20.8;18.4;79;909.6;18;2.1;10;
83736;04/01/2018;1800;20;18.4;86;909;23;4.1;10;
83736;05/01/2018;0000;18;17.4;93;910.9;18;0.5;9;
83736;05/01/2018;1200;20;19.6;96;911;0;0;10;
83736;05/01/2018;1800;20;19.8;98;910.2;18;0.5;10;
83736;06/01/2018;0000;19.6;19.2;96;911.4;36;1.5;10;
83736;06/01/2018;1200;20.9;19.6;87;912.2;0;0;10;
83736;06/01/2018;1800;24.6;21.4;74;908.8;18;0.5;10;
83736;07/01/2018;0000;19.6;19.2;96;909.8;23;0.5;10;
83736;07/01/2018;1200;20.8;19.4;88;910.8;0;0;10;
83736;07/01/2018;1800;24.4;21.8;79;908.5;18;0.5;10;
83736;08/01/2018;0000;18.4;18.2;97;912.2;36;1.5;10;
83736;08/01/2018;1200;19.8;19;92;912.2;0;0;10;
83736;08/01/2018;1800;18.6;18;94;913;36;0.5;10;
83736;09/01/2018;0000;18;18;98;913.5;18;1;10;
83736;09/01/2018;1200;19.6;19;94;915.7;18;0.5;9;
83736;09/01/2018;1800;28.4;19.6;42;913.4;36;1.5;8;
83736;10/01/2018;0000;21.6;19.4;81;914.6;0;0;7;
83736;10/01/2018;1200;22.8;19.6;73;916.4;36;0.5;4;
83736;10/01/2018;1800;29.4;21;44;913.1;32;1.5;7;
83736;11/01/2018;0000;23;20.2;77;914.1;0;0;6;
83736;11/01/2018;1200;22.2;19.6;77;915;18;0.5;8;
83736;11/01/2018;1800;29.4;21.2;46;910.1;36;2.1;7;
83736;12/01/2018;0000;19.2;17.4;83;912.5;18;1;7;
83736;12/01/2018;1200;19.8;19;92;912;18;0.5;10;
83736;12/01/2018;1800;24.6;20.4;66;909.4;36;1;9;
83736;13/01/2018;0000;18.4;17.8;93;911.1;0;0;10;
83736;13/01/2018;1200;19.4;18.4;90;910.8;18;1;8;
83736;13/01/2018;1800;26.2;20.6;58;907.6;18;1;10;
83736;14/01/2018;0000;20;18.6;87;909.9;18;0.5;8;
83736;14/01/2018;1200;20.9;19.4;85;911.9;18;0.5;9;
83736;14/01/2018;1800;28.2;22;56;908.3;36;1;7;
83736;15/01/2018;0000;18.4;18.4;99;912.7;18;1;10;
83736;15/01/2018;1200;20;19.4;94;912.9;23;0.5;10;
83736;15/01/2018;1800;29;22;53;910.2;36;1;6;
83736;16/01/2018;0000;19;18.4;93;914.9;0;0;10;
83736;16/01/2018;1200;22;19.4;78;913.5;0;0;8;
83736;16/01/2018;1800;29.4;22;50;911.2;36;0.5;7;
83736;17/01/2018;0000;20.8;19.4;88;912.2;0;0;5;
83736;17/01/2018;1200;24.4;21.2;75;913.3;18;1;6;
83736;17/01/2018;1800;30.6;22.6;49;910.2;27;1.5;6;
83736;18/01/2018;0000;21.6;19.8;84;911.4;0;0;6;
83736;18/01/2018;1200;23.4;20.8;79;914.1;0;0;8;
83736;18/01/2018;1800;31.2;22.2;44;910;32;2.1;5;
83736;19/01/2018;0000;21.4;20;87;911.3;0;0;2;
83736;19/01/2018;1200;23;19.8;74;913.2;36;1;9;
83736;19/01/2018;1800;31;21.4;40;910.4;18;0.5;1;
83736;20/01/2018;0000;22.8;19.4;72;911.1;18;0.5;6;
83736;20/01/2018;1200;25.6;21.4;67;912.2;0;0;4;
83736;20/01/2018;1800;28;22.2;58;909.9;18;0.5;8;
83736;21/01/2018;0000;18.8;18.4;96;910.9;18;0.5;10;
83736;21/01/2018;1200;22;20.2;85;912.1;0;0;9;
83736;21/01/2018;1800;29.2;21.6;50;908.7;18;1.5;8;
83736;22/01/2018;0000;22.4;20.8;86;909.1;0;0;8;
83736;22/01/2018;1200;24.4;21.6;78;910.2;9;0.5;2;
83736;22/01/2018;1800;27;21.6;61;907.1;18;0.5;8;
83736;23/01/2018;0000;18.6;18.6;100;910.6;27;0.5;10;
83736;23/01/2018;1200;22.2;20.4;83;910.6;9;0.5;8;
83736;23/01/2018;1800;30;21.6;47;907.5;18;1;8;
83736;24/01/2018;0000;21.4;19.4;82;909.8;0;0;5;
83736;24/01/2018;1200;24.2;21.4;77;910.2;18;1.5;8;
83736;24/01/2018;1800;31.2;23.2;49;907.3;36;3.6;8;
83736;25/01/2018;0000;20.4;19.2;89;909.1;0;0;7;
83736;25/01/2018;1200;23.8;21.2;79;909.3;27;0.5;2;
83736;25/01/2018;1800;23.6;22;85;906.6;18;3.6;9;
83736;26/01/2018;0000;19.8;19.4;95;908.9;0;0;8;
83736;26/01/2018;1200;22.8;21.8;91;910;18;1.5;9;
83736;26/01/2018;1800;27.8;20.4;50;906.9;18;1;8;
83736;27/01/2018;0000;21;19.2;83;909;18;2.1;10;
83736;27/01/2018;1200;22.4;20.4;83;910;18;0.5;9;
83736;27/01/2018;1800;23;21.2;85;908;27;1;9;
83736;28/01/2018;0000;21.8;19.8;82;908.5;0;0;9;
83736;28/01/2018;1200;21.2;19.4;84;910.2;27;1;10;
83736;28/01/2018;1800;28.4;22.4;59;906.5;27;1;8;
83736;29/01/2018;0000;22;21.2;93;907;0;0;4;
83736;29/01/2018;1200;20.8;20.6;99;908.1;18;0.5;10;
83736;29/01/2018;1800;23;21.4;87;905.4;18;0.5;10;
83736;30/01/2018;0000;19.2;18.8;96;906.2;18;1;10;
83736;30/01/2018;1200;20.4;20.2;98;906.3;0;0;10;
83736;30/01/2018;1800;25.6;22.4;74;903.3;18;0.5;10;
83736;31/01/2018;0000;19.2;18.6;94;905.8;18;1.5;10;
83736;31/01/2018;1200;21.2;19.2;83;906.6;18;0.5;10;
83736;31/01/2018;1800;26.8;21.2;59;905.6;18;3.1;6;
83736;01/02/2018;0000;21.4;16.8;89;910.6;27;1.02888;8.75;
83736;01/02/2018;1200;19.6;17.4;80;908.4;18;1;1;
83736;01/02/2018;1800;28.2;18.2;35;905.2;32;1.5;4;
83736;02/02/2018;0000;20.6;18;76;906.3;18;1.5;5;
83736;02/02/2018;1200;22.2;19.4;75;907.2;18;0.5;8;
83736;02/02/2018;1800;28.4;22.8;61;903.4;18;1.5;7;
83736;03/02/2018;0000;22;19.4;78;904.4;18;0.5;6;
83736;03/02/2018;1200;22.4;19.5;76;906.2;18;1;6;
83736;03/02/2018;1800;28.2;20.8;49;903.5;18;2.1;6;
83736;04/02/2018;0000;19.8;17.8;81;907.7;18;1;8;
83736;04/02/2018;1200;20.4;18;79;909.2;0;0;10;
83736;04/02/2018;1800;22.6;20.8;83;906.2;18;2.1;9;
83736;05/02/2018;0000;19.4;17.4;81;908.1;18;2.1;10;
83736;05/02/2018;1200;19.4;17.6;82;907.1;27;0.5;10;
83736;05/02/2018;1800;20.8;19.2;86;905.8;18;2.6;10;
83736;06/02/2018;0000;18.6;16.6;81;907.1;18;1;10;
83736;06/02/2018;1200;18.8;17.6;88;907.6;0;0;10;
83736;06/02/2018;1800;26.2;20.6;58;904.1;32;2.1;7;
83736;07/02/2018;0000;19.8;18.4;86;907;18;1;10;
83736;07/02/2018;1200;20.4;18.8;86;908.4;18;0.5;10;
83736;07/02/2018;1800;27.2;20.2;52;906.1;27;3.1;6;
83736;08/02/2018;0000;20.6;18.2;78;907.6;0;0;10;
83736;08/02/2018;1200;21.2;19.4;84;910.4;18;0.5;1;
83736;08/02/2018;1800;30;21.2;45;907.8;18;1.5;4;
83736;09/02/2018;0000;21;17.4;69;909.1;18;1;4;
83736;09/02/2018;1200;22.2;19;72;912.2;18;0.5;1;
83736;09/02/2018;1800;31.2;20.6;36;908.3;23;1;5;
83736;10/02/2018;0000;23.4;19.6;70;910;0;0;3;
83736;10/02/2018;1200;23.4;20.2;74;911.7;18;0.5;8;
83736;10/02/2018;1800;25.8;22.8;76;909.2;36;2.1;9;
83736;11/02/2018;0000;20.8;19.4;88;911.5;36;1;6;
83736;11/02/2018;1200;23;20.8;82;911.8;0;0;4;
83736;11/02/2018;1800;31.4;23.2;49;907.9;36;2.1;5;
83736;12/02/2018;0000;24.6;21.6;75;908.8;0;0;5;
83736;12/02/2018;1200;24.8;21.6;75;911.2;9;0.5;9;
83736;12/02/2018;1800;31;23.6;52;907.7;36;1;5;
83736;13/02/2018;0000;24.2;21.6;78;909.5;18;0.5;4;
83736;13/02/2018;1200;23.8;20.8;76;912.1;36;0.5;10;
83736;13/02/2018;1800;23.6;21.2;79;911.9;18;3.1;10;
83736;14/02/2018;0000;20.6;19;85;913;18;0.9;10;
83736;14/02/2018;1200;23.4;20;73;914.3;9;1.5;6;
83736;14/02/2018;1800;24.8;21.4;73;911.6;18;2.1;9;
83736;15/02/2018;0000;21.2;18.4;76;914;32;1.5;2;
