--------------------
BDMEP - INMET
--------------------
Estação           : UBERABA - MG (OMM: 83577)
Latitude  (graus) : -19.73
Longitude (graus) : -47.95
Altitude  (metros): 737.00
Estação Operante
Inicio de operação: 11/10/1913
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83577;01/01/2018;1200;22.6;21.2;86;930;5;2;3;
83577;01/01/2018;1800;30.4;23.6;55;926;5;2;3;
83577;02/01/2018;0000;23.2;21.6;86;927.7;0;0;10;
83577;02/01/2018;1200;21.2;20.8;97;928.1;0;0;10;
83577;02/01/2018;1800;29.8;25.4;69;923.4;36;2;5;
83577;03/01/2018;0000;21;20.2;92;924.9;0;0;10;
83577;03/01/2018;1200;23.6;21.8;84;926.6;0;0;10;
83577;03/01/2018;1800;23.6;23.2;95;924.4;0;0;10;
83577;04/01/2018;0000;21.2;20.8;97;926;0;0;10;
83577;04/01/2018;1200;23;22.2;94;929.1;0;0;10;
83577;04/01/2018;1800;26;22.4;73;927.2;0;0;10;
83577;05/01/2018;0000;22.8;21.2;86;928.3;5;3;6;
83577;05/01/2018;1200;22.6;22;93;929.6;0;0;10;
83577;05/01/2018;1800;25.8;23;78;929.1;0;0;10;
83577;06/01/2018;0000;21.2;20.8;97;929.5;0;0;10;
83577;06/01/2018;1200;20.8;20.4;97;930.9;0;0;10;
83577;06/01/2018;1800;23.8;21.4;80;927.4;32;2;10;
83577;07/01/2018;0000;22.2;21.2;90;928.3;0;0;10;
83577;08/01/2018;1200;23.2;21;81;931.4;5;2;10;
83577;08/01/2018;1800;23.8;22.8;91;929.5;0;0;10;
83577;09/01/2018;0000;21.2;20.4;93;930.6;0;0;10;
83577;09/01/2018;1200;23.4;21.6;85;933.4;0;0;10;
83577;09/01/2018;1800;30;23.6;58;931.2;5;2;6;
83577;10/01/2018;0000;21.2;20.4;93;932;0;0;10;
83577;10/01/2018;1200;25.2;20.8;65;933.6;5;5;5;
83577;10/01/2018;1800;30;23.2;55;931.6;0;0;10;
83577;11/01/2018;0000;24;21.8;83;931.6;0;0;6;
83577;11/01/2018;1200;25.4;21.4;69;932.8;36;2;8;
83577;11/01/2018;1800;29;22;52;930.3;36;3;10;
83577;12/01/2018;0000;24.6;21;71;930.4;5;2;10;
83577;12/01/2018;1200;21.8;20;83;931.7;0;0;10;
83577;12/01/2018;1800;28;22.4;59;929.4;27;2;10;
83577;13/01/2018;0000;21.4;20.6;92;928.8;0;0;10;
83577;13/01/2018;1200;24;21;77;929.7;0;0;10;
83577;13/01/2018;1800;23;21.4;87;927.1;0;0;10;
83577;14/01/2018;0000;20.4;19.6;93;927.9;0;0;8;
83577;15/01/2018;1200;24.6;21.4;73;931.5;5;2;10;
83577;15/01/2018;1800;25.8;21.6;67;928.6;5;2;10;
83577;16/01/2018;0000;20;19;91;931.8;0;0;10;
83577;16/01/2018;1200;22.6;20.8;83;932.3;0;0;10;
83577;16/01/2018;1800;25.8;23.6;82;931;0;0;10;
83577;17/01/2018;0000;22.6;21.2;86;930.2;0;0;0;
83577;17/01/2018;1200;26.8;23;70;931.6;0;0;8;
83577;17/01/2018;1800;32.2;23.4;46;929.4;36;4;10;
83577;18/01/2018;0000;25.8;22.6;75;929.8;0;0;8;
