--------------------
BDMEP - INMET
--------------------
Estação           : UNAI - MG (OMM: 83428)
Latitude  (graus) : -16.36
Longitude (graus) : -46.88
Altitude  (metros): 460.00
Estação Operante
Inicio de operação: 07/04/1976
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83428;01/01/2018;0000;24.2;22.4;84;;14;1;10;
83428;01/01/2018;1200;25.4;22.8;79;;9;1;8;
83428;01/01/2018;1800;29;24.6;68;;14;2;5;
83428;02/01/2018;0000;23.2;21.6;85;;5;1;9;
83428;02/01/2018;1200;25.4;23.2;82;;5;1;7;
83428;02/01/2018;1800;27.4;23.2;67;;18;1;9;
83428;03/01/2018;0000;22.6;21.8;91;;14;1;10;
83428;03/01/2018;1200;26;23;77;;36;2;7;
83428;03/01/2018;1800;30.6;25.2;64;;18;1;6;
83428;04/01/2018;0000;23.4;21.8;87;;5;1;10;
83428;04/01/2018;1200;25.6;22.6;75;;32;4;8;
83428;04/01/2018;1800;27.8;23.8;71;;23;4;8;
83428;05/01/2018;0000;21.8;21.4;95;;5;1;10;
83428;05/01/2018;1200;23.8;22.6;89;;32;2;10;
83428;05/01/2018;1800;24.2;22.6;86;;9;1;10;
83428;06/01/2018;0000;22.4;20.8;86;;36;1;10;
83428;06/01/2018;1200;23.8;21.6;81;;36;1;9;
83428;06/01/2018;1800;25.8;23.6;82;;5;3;10;
83428;07/01/2018;0000;21;20.6;95;;5;2;10;
83428;07/01/2018;1200;23;22;92;;5;1;10;
83428;07/01/2018;1800;23.4;22.2;90;;0;0;8;
83428;08/01/2018;0000;23.2;22.4;92;;14;2;2;
83428;08/01/2018;1200;24.6;22.4;81;;14;2;6;
83428;08/01/2018;1800;28;24.2;70;;23;2;3;
83428;09/01/2018;0000;25;22.8;83;;5;1;2;
