--------------------
BDMEP - INMET
--------------------
Estação           : VICOSA - MG (OMM: 83642)
Latitude  (graus) : -20.76
Longitude (graus) : -42.86
Altitude  (metros): 712.20
Estação Operante
Inicio de operação: 01/10/1919
Periodo solicitado dos dados: 01/01/2018 a 31/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83642;01/01/2018;0000;21.6;21;95;936;;;10;
83642;02/01/2018;1200;23;22;92;933.3;;;;
83642;03/01/2018;1200;25.2;21.8;72;931.3;;;10;
83642;04/01/2018;1200;21.4;20.4;90;935.2;;;10;
83642;05/01/2018;1200;22.8;21.4;87;937.2;;;10;
83642;06/01/2018;1200;21.6;20.4;90;937.9;;;10;
83642;07/01/2018;1200;23.4;20.6;77;937;;;8;
83642;08/01/2018;1200;23;20.2;77;939.1;;;5;
83642;09/01/2018;1200;21.8;19.6;80;941;;;6;
83642;10/01/2018;1200;24;20.4;72;942.2;;;6;
83642;11/01/2018;1200;22.2;19.5;76;940.5;;;10;
83642;12/01/2018;1200;22.6;19;69;937.8;;;8;
83642;13/01/2018;1200;22.8;19.6;73;937;;;8;
83642;14/01/2018;1200;22.6;19.4;72;936.8;;;8;
83642;15/01/2018;1200;23.8;21.2;78;938.2;;;10;
83642;16/01/2018;1200;25.8;22;70;938.4;;;8;
83642;17/01/2018;1200;25.2;21.4;70;938;;;8;
83642;18/01/2018;1200;23.8;20;69;940.3;;;6;
83642;19/01/2018;1200;25.2;20.8;65;939.5;;;2;
83642;20/01/2018;1200;26.4;20.4;56;937.7;;;0;
83642;21/01/2018;1200;25.8;21.4;66;936.3;;;3;
83642;22/01/2018;1200;23.4;20.4;76;935.4;;;3;
83642;23/01/2018;1200;23.4;20.4;76;936.1;;;10;
83642;24/01/2018;1200;24.8;19.6;60;936.6;;;5;
83642;25/01/2018;1200;23;19.6;72;935.5;;;8;
83642;26/01/2018;1200;23.6;20.2;71;935.5;;;8;
83642;27/01/2018;1200;24.4;20.8;72;935.4;;;8;
83642;29/01/2018;1200;24.8;21.6;74;933.1;;;8;
83642;30/01/2018;1200;22.6;21.6;90;931.6;;;10;
83642;31/01/2018;1200;20;19.6;96;933;;;10;
83642;01/02/2018;1200;21.6;;80;933.8;;;10;
83642;02/02/2018;1200;22.6;;81;931.8;;;7.5;
83642;03/02/2018;1200;23;;77;931.2;;;10;
83642;05/02/2018;1200;17;;98;933.4;;;10;
83642;06/02/2018;1200;19.6;;97;932;;;10;
83642;07/02/2018;1200;20.6;;86;933.6;;;10;
83642;08/02/2018;1200;21.2;;91;935.6;;;10;
83642;15/02/2018;1200;23;;91;941;;;7.5;
83642;16/02/2018;1200;22;;82;941.8;;;6.25;
83642;17/02/2018;1200;22.2;;87;939.4;;;5;
83642;18/02/2018;1200;23.8;;76;936.8;;;5;
83642;19/02/2018;1200;22.4;;83;935.1;;;10;
83642;21/02/2018;1200;23.6;;83;934.4;;;10;
83642;22/02/2018;1200;23.2;;87;933.9;;;10;
83642;23/02/2018;1200;22;;88;935.2;;;10;
83642;24/02/2018;1200;23;;85;937;;;10;
83642;25/02/2018;1200;21.8;;76;937.8;;;10;
83642;26/02/2018;1200;22.4;;85;938.3;;;10;
83642;27/02/2018;1200;23;;85;937;;;10;
83642;28/02/2018;1200;23.4;;88;935.6;;;10;
83642;01/03/2018;1200;22.8;;91;937.8;;;10;
83642;02/03/2018;1200;25.4;;76;938;;;5;
83642;03/03/2018;1200;24.2;;85;935;;;10;
83642;05/03/2018;1200;23.8;;77;932.8;;;10;
83642;06/03/2018;1200;23;;93;933;;;10;
83642;07/03/2018;1200;24;;85;933.6;;;7.5;
