Id,Label,timeset,modularity_class,pageranks
Campo Belo,Campo Belo,,6,0.002153
Santa Juliana,Santa Juliana,,6,0.002113
Bonfinópolis de Minas,Bonfinópolis de Minas,,0,0.000982
Sete Lagoas,Sete Lagoas,,0,0.006259
Pedrinópolis,Pedrinópolis,,6,0.001303
Mato Verde,Mato Verde,,0,0.001717
Pai Pedro,Pai Pedro,,0,0.000649
Belo Horizonte,Belo Horizonte,,0,0.031683
Rio Acima,Rio Acima,,0,0.000508
Capim Branco,Capim Branco,,0,0.000541
Pedro Leopoldo,Pedro Leopoldo,,0,0.00142
Raposos,Raposos,,0,0.000508
Nova Lima,Nova Lima,,0,0.000615
Gonzaga,Gonzaga,,4,0.00106
Governador Valadares,Governador Valadares,,3,0.007744
Pará de Minas,Pará de Minas,,6,0.003763
Perdizes,Perdizes,,6,0.001987
Porteirinha,Porteirinha,,0,0.002527
Estrela Dalva,Estrela Dalva,,5,0.000513
Volta Grande,Volta Grande,,5,0.000707
Florestal,Florestal,,0,0.000447
Juatuba,Juatuba,,6,0.003584
Betim,Betim,,6,0.005051
Brumadinho,Brumadinho,,0,0.000974
Formiga,Formiga,,6,0.00339
Buritis,Buritis,,0,0.001339
Marilac,Marilac,,4,0.000485
Virgolândia,Virgolândia,,4,0.001196
Guaxupé,Guaxupé,,2,0.002467
Juruaia,Juruaia,,2,0.000453
Monte Alegre de Minas,Monte Alegre de Minas,,6,0.00153
Nova Serrana,Nova Serrana,,6,0.003968
Orizânia,Orizânia,,3,0.001139
Santa Margarida,Santa Margarida,,3,0.001181
Cônego Marinho,Cônego Marinho,,0,0.00043
Januária,Januária,,0,0.002528
Pirapetinga,Pirapetinga,,5,0.000628
Eugenópolis,Eugenópolis,,3,0.000769
Tombos,Tombos,,3,0.001048
Icaraí de Minas,Icaraí de Minas,,0,0.000259
Săo Francisco,Săo Francisco,,0,0.002269
Itaobim,Itaobim,,3,0.002826
Mata Verde,Mata Verde,,3,0.000815
Juramento,Juramento,,0,0.000528
Montes Claros,Montes Claros,,0,0.006596
Manga,Manga,,0,0.001423
