source,target,weight
Campo Belo,Santa Juliana,520
Bonfinópolis de Minas,Sete Lagoas,450
Campo Belo,Pedrinópolis,505
Mato Verde,Pai Pedro,120
Belo Horizonte,Rio Acima,85
Capim Branco,Pedro Leopoldo,40
Belo Horizonte,Raposos,80
Nova Lima,Rio Acima,50
Gonzaga,Governador Valadares,100
Pará de Minas,Perdizes,310
Pai Pedro,Porteirinha,60
Estrela Dalva,Volta Grande,20
Florestal,Juatuba,35
Betim,Brumadinho,80
Formiga,Santa Juliana,465
Bonfinópolis de Minas,Buritis,700
Marilac,Virgolândia,55
Guaxupé,Juruaia,40
Monte Alegre de Minas,Nova Serrana,370
Formiga,Pedrinópolis,440
Orizânia,Santa Margarida,90
Cônego Marinho,Januária,90
Pirapetinga,Volta Grande,50
Eugenópolis,Tombos,60
Icaraí de Minas,São Francisco,120
Itaobim,Mata Verde,300
Juramento,Montes Claros,60
Manga,Miravânia,180
Nova Porteirinha,Pai Pedro,100
Capim Branco,Confins,70
Formiga,Perdizes,390
Belo Horizonte,Esmeraldas,90
Contagem,Florestal,80
Santana do Manhuaçu,São José do Mantimento,40
Berilo,Virgem da Lapa,105
Belo Horizonte,Florestal,110
Araújos,Perdigão,30
Santana do Manhuaçu,Taparuba,50
Nova Serrana,Perdizes,275
Bugre,Ipatinga,95
Congonhas,Jeceaba,60
Passos,São João Batista do Glória,40
Estrela Dalva,Pirapetinga,30
Belo Horizonte,Itatiaiuçu,100
Carangola,Faria Lemos,30
Claro dos Poções,Montes Claros,180
Chapada do Norte,Virgem da Lapa,180
Delfim Moreira,Itajubá,60
Itajubá,Marmelópolis,120
Astolfo Dutra,Rodeiro,40
Baldim,Funilândia,40
Nova Serrana,Patrocínio,275
Muriaé,Pedra Dourada,150
Caparaó,Espera Feliz,45
Pedra do Anta,Teixeiras,30
Manhuaçu,Reduto,20
Eugenópolis,Pedra Dourada,100
Almenara,Bandeira,90
Patos de Minas,São Gonçalo do Abaeté,90
Manhuaçu,São João do Manhuaçu,40
Funilândia,Sete Lagoas,30
Belo Horizonte,Rio Manso,95
Mantena,Nova Belém,120
Dona Eusébia,Ubá,110
Nova Módica,São José do Divino,30
Andradas,Jacutinga,110
Berilo,Chapada do Norte,75
Cataguases,Rodeiro,100
Cambuí,Gonçalves,110
Alto Caparaó,Alto Jequitibá,30
Caparaó,Alto Jequitibá,60
Chapada Gaúcha,Itacarambi,390
Muzambinho,Nova Resende,105
Córrego do Bom Jesus,Gonçalves,95
Arinos,Manga,600
Gameleiras,Monte Azul,120
Cambuí,Senador Amaral,50
Alto Caparaó,Manhumirim,50
Carrancas,Lavras,95
Arcos,Santa Juliana,415
Almenara,Santa Maria do Salto,150
Águas Vermelhas,Divisa Alegre,30
Caranaíba,Cristiano Otoni,30
Mar de Espanha,Senador Cortes,30
Caputira,Manhuaçu,70
Carrancas,Itutinga,35
Itaú de Minas,Pratápolis,25
Chapada Gaúcha,Januária,240
Conceição das Pedras,Pedralva,50
Leme do Prado,Minas Novas,180
Chapada Gaúcha,Montalvânia,570
Ipanema,São José do Mantimento,50
Carangola,Alto Jequitibá,105
Belo Horizonte,Rio do Prado,810
Arinos,Januária,400
Marilac,Nacip Raydan,100
Caparaó,Manhumirim,75
Arinos,Montalvânia,720
Belo Horizonte,São João do Pacuí,480
Coração de Jesus,São João do Pacuí,40
Cruzília,São Thomé das Letras,80
Itacarambi,Manga,120
Itacarambi,São João das Missões,80
Miravânia,Montalvânia,120
Muriaé,Tombos,90
Nova Módica,Pescador,40
Rio Pardo de Minas,Taiobeiras,60
Martins Soares,Reduto,25
Cipotânea,Desterro do Melo,105
Barroso,Carandaí,150
Leopoldina,Tombos,180
Arcos,Pedrinópolis,390
Nova Lima,Raposos,30
Leopoldina,Rodeiro,135
Divisa Alegre,Taiobeiras,165
Poté,Teófilo Otoni,60
Açucena,Guanhães,195
Itabirinha,Mantena,90
Passabém,São Sebastião do Rio Preto,25
Belo Horizonte,Mamonas,780
Reduto,São João do Manhuaçu,85
Arceburgo,Monte Santo de Minas,30
Caiana,Carangola,60
Caratinga,Piedade de Caratinga,30
Divinópolis,São Sebastião do Oeste,45
Córrego Fundo,Formiga,30
Guiricema,Visconde do Rio Branco,25
Guaxupé,São Pedro da União,90
Carangola,Manhumirim,120
Pedra Bonita,Santa Margarida,40
Ibiraci,Passos,110
Astolfo Dutra,Ubá,70
Dona Eusébia,Rodeiro,50
Arinos,Buritis,90
Capelinha,Nova Serrana,600
Chapada Gaúcha,São Francisco,300
Delfim Moreira,Marmelópolis,60
Delta,Uberaba,45
