Município;Total;Pop_2018
Abadia dos Dourados;60;6.972
Abaeté;237;23.223
Abre Campo;3;13.465
Acaiaca;0;3.994
Açucena;3;9.575
Água Boa;91;13.600
Água Comprida;36;2.005
Aguanil;0;4.448
Águas Formosas;16;19.166
Águas Vermelhas;4;13.477
Aimorés;116;25.193
Aiuruoca;0;6.032
Alagoa;2;2.683
Albertina;2;3.003
Além Paraíba;12;35.321
Alfenas;388;79.481
Alfredo Vasconcelos;2;6.831
Almenara;4;41.642
Alpercata;3;7.411
Alpinópolis;103;19.745
Alterosa;5;14.414
Alto Caparaó;0;5.799
Alto Jequitibá;0;8.333
Alto Rio Doce;0;11.146
Alvarenga;130;3.973
Alvinópolis;278;15.239
Alvorada de Minas;2;3.606
Amparo do Serra;0;4.751
Andradas;37;40.747
Andrelândia;1;12.242
Angelândia;50;8.481
Antônio Carlos;2;11.432
Antônio Dias;9;9.363
Antônio Prado de Minas;2;1.609
Araçaí;9;2.341
Aracitaba;0;2.066
Araçuaí;63;36.705
Araguari;2.010;116.691
Arantina;0;2.804
Araponga;1;8.425
Araporã;23;6.804
Arapuá;38;2.833
Araújos;56;9.142
Araxá;569;105.083
Arceburgo;129;10.657
Arcos;3.051;39.793
Areado;20;14.955
Argirita;2;2.751
Aricanduva;4;5.191
Arinos;113;17.888
Astolfo Dutra;7;14.085
Ataléia;0;13.064
Augusto de Lima;162;4.888
Baependi;2;19.094
Baldim;43;7.851
Bambuí;164;23.757
Bandeira;0;4.825
Bandeira do Sul;1;5.713
Barão de Cocais;214;32.319
Barão de Monte Alto;6;5.443
Barbacena;29;136.392
Barra Longa;2;5.250
Barroso;13;20.720
Bela Vista de Minas;64;10.248
Belmiro Braga;7;3.433
Belo Horizonte;50.052;2.501.576
Belo Oriente;55;26.396
Belo Vale;51;7.710
Berilo;15;11.995
Berizal;0;4.705
Bertópolis;6;4.602
Betim;25.019;432.575
Bias Fortes;0;3.430
Bicas;65;14.431
Biquinhas;5;2.532
Boa Esperança;198;40.031
Bocaina de Minas;0;5.091
Bocaiúva;929;49.942
Bom Despacho;19;50.166
Bom Jardim de Minas;0;6.489
Bom Jesus da Penha;6;4.190
Bom Jesus do Amparo;216;6.031
Bom Jesus do Galho;27;15.010
Bom Repouso;0;10.558
Bom Sucesso;4;17.598
Bonfim;41;6.876
Bonfinópolis de Minas;14;5.544
Bonito de Minas;186;11.088
Borda da Mata;2;19.202
Botelhos;1;14.995
Botumirim;20;6.350
Brás Pires;4;4.374
Brasilândia de Minas;119;16.321
Brasília de Minas;650;32.288
Brasópolis;0;14.508
Braúnas;1;4.835
Brumadinho;182;39.520
Bueno Brandão;1;11.010
Buenópolis;168;10.377
Bugre;1;4.074
Buritis;890;24.663
Buritizeiro;498;27.988
Cabeceira Grande;116;6.909
Cabo Verde;3;14.075
Cachoeira da Prata;23;3.616
Cachoeira de Minas;3;11.514
Cachoeira de Pajeú;0;9.382
Cachoeira Dourada;26;2.677
Caetanópolis;59;11.495
Caeté;410;44.377
Caiana;0;5.450
Cajuri;3;4.002
Caldas;1;14.417
Camacho;3;2.934
Camanducaia;1;21.738
Cambuí;1;29.278
Cambuquira;1;12.816
Campanário;16;3.711
Campanha;4;16.565
Campestre;1;21.056
Campina Verde;187;19.738
Campo Azul;109;3.810
Campo Belo;283;53.866
Campo do Meio;28;11.658
Campo Florido;80;8.029
Campos Altos;30;15.356
Campos Gerais;347;28.703
Cana Verde;2;5.612
Canaã;0;4.579
Canápolis;205;12.025
Candeias;229;14.883
Cantagalo;17;4.498
Caparaó;6;5.424
Capela Nova;1;4.673
Capelinha;30;37.856
Capetinga;81;6.952
Capim Branco;279;9.679
Capinópolis;316;16.109
Capitão Andrade;0;5.420
Capitão Enéas;121;15.153
Capitólio;49;8.601
Caputira;3;9.287
Caraí;5;23.586
Caranaíba;1;3.200
Carandaí;24;25.327
Carangola;60;32.988
Caratinga;19;91.503
Carbonita;6;9.396
Careaçu;17;6.721
Carlos Chagas;11;19.007
Carmésia;0;2.617
Carmo da Cachoeira;0;12.158
Carmo da Mata;6;11.439
Carmo de Minas;1;14.769
Carmo do Cajuru;156;22.257
Carmo do Paranaíba;94;30.324
Carmo do Rio Claro;121;21.180
